id,week_ending,hscp,simd_quintile,admission_type,admission_type_qf,number_admissions,average20182019,percent_variation
119,20200105,S37000029,5,All,d,11,7.5,46.7
120,20200105,S37000030,1,All,d,92,91,1.1
121,20200105,S37000030,2,All,d,180,142,26.8
122,20200105,S37000030,3,All,d,105,81,29.6
123,20200105,S37000030,4,All,d,81,72,12.5
124,20200105,S37000030,5,All,d,48,44.5,7.9
125,20200105,S37000031,2,All,d,9,20,-55
126,20200105,S37000031,3,All,d,72,75.5,-4.6
127,20200105,S37000032,1,All,d,262,275,-4.7
128,20200105,S37000032,2,All,d,254,249.5,1.8
129,20200105,S37000032,3,All,d,199,200.5,-0.7
130,20200105,S37000032,4,All,d,182,185.5,-1.9
131,20200105,S37000032,5,All,d,128,142,-9.9
132,20200105,S37000033,1,All,d,25,29.5,-15.3
133,20200105,S37000033,2,All,d,53,61,-13.1
134,20200105,S37000033,3,All,d,73,83.5,-12.6
135,20200105,S37000033,4,All,d,144,116,24.1
136,20200105,S37000033,5,All,d,81,80,1.2
137,20200105,S37000034,1,All,d,903,987,-8.5
138,20200105,S37000034,2,All,d,308,293.5,4.9
139,20200105,S37000034,3,All,d,165,169,-2.4
140,20200105,S37000034,4,All,d,118,148,-20.3
141,20200105,S37000034,5,All,d,104,105.5,-1.4
142,20200105,S37000035,1,All,d,432,396.5,9
143,20200105,S37000035,2,All,d,304,305,-0.3
144,20200105,S37000035,3,All,d,141,155,-9
145,20200105,S37000035,4,All,d,122,123,-0.8
146,20200105,S37000035,5,All,d,64,67,-4.5
147,20200112,S37000001,1,All,d,88,76.5,15
148,20200112,S37000001,2,All,d,144,156.5,-8
149,20200112,S37000001,3,All,d,83,82.5,0.6
150,20200112,S37000001,4,All,d,74,73,1.4
151,20200112,S37000001,5,All,d,126,142.5,-11.6
152,20200112,S37000002,1,All,d,12,22,-45.5
153,20200112,S37000002,2,All,d,59,71.5,-17.5
154,20200112,S37000002,3,All,d,133,129.5,2.7
155,20200112,S37000002,4,All,d,203,215,-5.6
156,20200112,S37000002,5,All,d,134,134,0
157,20200112,S37000003,1,All,d,23,30,-23.3
158,20200112,S37000003,2,All,d,74,87.5,-15.4
159,20200112,S37000003,3,All,d,81,98.5,-17.8
160,20200112,S37000003,4,All,d,86,89.5,-3.9
161,20200112,S37000003,5,All,d,30,39,-23.1
162,20200112,S37000004,1,All,d,34,28,21.4
163,20200112,S37000004,2,All,d,49,50,-2
164,20200112,S37000004,3,All,d,108,117,-7.7
165,20200112,S37000004,4,All,d,64,64.5,-0.8
166,20200112,S37000004,5,All,d,18,24.5,-26.5
167,20200112,S37000005,1,All,d,106,161.5,-34.4
168,20200112,S37000005,2,All,d,80,118.5,-32.5
169,20200112,S37000005,3,All,d,50,89,-43.8
170,20200112,S37000005,4,All,d,74,127,-41.7
171,20200112,S37000005,5,All,d,60,98.5,-39.1
172,20200112,S37000006,1,All,d,50,62,-19.4
173,20200112,S37000006,2,All,d,138,134,3
174,20200112,S37000006,3,All,d,191,196,-2.6
175,20200112,S37000006,4,All,d,72,81,-11.1
176,20200112,S37000006,5,All,d,44,32,37.5
177,20200112,S37000007,1,All,d,202,207.5,-2.7
178,20200112,S37000007,2,All,d,101,105.5,-4.3
179,20200112,S37000007,3,All,d,55,37.5,46.7
180,20200112,S37000007,4,All,d,67,53,26.4
181,20200112,S37000007,5,All,d,50,57.5,-13
182,20200112,S37000008,1,All,d,151,144.5,4.5
183,20200112,S37000008,2,All,d,97,115,-15.7
184,20200112,S37000008,3,All,d,39,71.5,-45.5
185,20200112,S37000008,4,All,d,40,54,-25.9
186,20200112,S37000008,5,All,d,28,31,-9.7
187,20200112,S37000009,1,All,d,16,11,45.5
188,20200112,S37000009,2,All,d,54,71,-23.9
189,20200112,S37000009,3,All,d,34,26.5,28.3
190,20200112,S37000009,4,All,d,61,53,15.1
191,20200112,S37000009,5,All,d,124,140,-11.4
192,20200112,S37000010,1,All,d,22,15,46.7
193,20200112,S37000010,2,All,d,101,78.5,28.7
194,20200112,S37000010,3,All,d,54,56,-3.6
195,20200112,S37000010,4,All,d,43,42,2.4
196,20200112,S37000010,5,All,d,32,39,-17.9
197,20200112,S37000011,1,All,d,20,22.5,-11.1
198,20200112,S37000011,2,All,d,33,31,6.5
199,20200112,S37000011,3,All,d,17,22.5,-24.4
200,20200112,S37000011,4,All,d,54,47,14.9
201,20200112,S37000011,5,All,d,105,117.5,-10.6
202,20200112,S37000012,1,All,d,181,173,4.6
203,20200112,S37000012,2,All,d,221,182,21.4
204,20200112,S37000012,3,All,d,145,124.5,16.5
205,20200112,S37000012,4,All,d,182,152,19.7
206,20200112,S37000012,5,All,d,340,333.5,1.9
207,20200112,S37000013,1,All,d,105,138.5,-24.2
208,20200112,S37000013,2,All,d,137,208,-34.1
209,20200112,S37000013,3,All,d,100,204,-51
210,20200112,S37000013,4,All,d,63,106.5,-40.8
211,20200112,S37000013,5,All,d,80,82,-2.4
212,20200112,S37000016,1,All,d,99,83,19.3
213,20200112,S37000016,2,All,d,128,129,-0.8
214,20200112,S37000016,3,All,d,225,222,1.4
215,20200112,S37000016,4,All,d,190,168,13.1
216,20200112,S37000016,5,All,d,50,40,25
217,20200112,S37000017,1,All,d,119,132.5,-10.2
218,20200112,S37000017,2,All,d,29,36,-19.4
219,20200112,S37000017,3,All,d,41,31,32.3
220,20200112,S37000017,4,All,d,25,22,13.6
221,20200112,S37000017,5,All,d,26,22.5,15.6
222,20200112,S37000018,1,All,d,19,24.5,-22.4
223,20200112,S37000018,2,All,d,96,94,2.1
224,20200112,S37000018,3,All,d,55,57,-3.5
225,20200112,S37000018,4,All,d,47,38.5,22.1
226,20200112,S37000018,5,All,d,23,23,0
227,20200112,S37000019,1,All,d,14,7.5,86.7
228,20200112,S37000019,2,All,d,42,35.5,18.3
229,20200112,S37000019,3,All,d,95,84,13.1
230,20200112,S37000019,4,All,d,84,74,13.5
231,20200112,S37000019,5,All,d,19,19,0
232,20200112,S37000020,1,All,d,234,224.5,4.2
233,20200112,S37000020,2,All,d,102,84,21.4
234,20200112,S37000020,3,All,d,46,63,-27
235,20200112,S37000020,4,All,d,42,54,-22.2
236,20200112,S37000020,5,All,d,22,31,-29
237,20200112,S37000022,2,All,d,8,11.5,-30.4
238,20200112,S37000022,3,All,d,13,10,30
239,20200112,S37000022,4,All,d,42,37,13.5
240,20200112,S37000024,1,All,d,172,167.5,2.7
241,20200112,S37000024,2,All,d,129,132.5,-2.6
