id,week_ending,hb,hbqf,age_group,age_group_qf,sex,sex_qf,number_attendances,average20182019,percent_variation
1,20200105,S08000015,,Under 5,,All,d,214,194.5,10
2,20200105,S08000015,,5 - 14,,All,d,116,119,-2.5
3,20200105,S08000015,,15 - 44,,All,d,681,694.5,-1.9
4,20200105,S08000015,,45 - 64,,All,d,485,455.5,6.5
5,20200105,S08000015,,65 - 74,,All,d,222,212,4.7
6,20200105,S08000015,,75 - 84,,All,d,182,184.5,-1.4
7,20200105,S08000015,,85 and over,,All,d,123,101.5,21.2
8,20200105,S08000015,,All ages,d,All,d,2048,1972.5,3.8
9,20200105,S08000015,,All ages,d,Female,,973,991,-1.8
10,20200105,S08000015,,All ages,d,Male,,1050,970.5,8.2
11,20200105,S08000016,,Under 5,,All,d,34,28.5,19.3
12,20200105,S08000016,,5 - 14,,All,d,20,28.5,-29.8
13,20200105,S08000016,,15 - 44,,All,d,215,183,17.5
14,20200105,S08000016,,45 - 64,,All,d,164,146.5,11.9
15,20200105,S08000016,,65 - 74,,All,d,95,81.5,16.6
16,20200105,S08000016,,75 - 84,,All,d,86,80,7.5
17,20200105,S08000016,,85 and over,,All,d,63,51,23.5
18,20200105,S08000016,,All ages,d,All,d,696,611,13.9
19,20200105,S08000016,,All ages,d,Female,,359,301,19.3
20,20200105,S08000016,,All ages,d,Male,,318,298,6.7
21,20200105,S08000017,,Under 5,,All,d,73,85.5,-14.6
22,20200105,S08000017,,5 - 14,,All,d,38,57,-33.3
23,20200105,S08000017,,15 - 44,,All,d,329,320.5,2.7
24,20200105,S08000017,,45 - 64,,All,d,219,194.5,12.6
25,20200105,S08000017,,65 - 74,,All,d,111,106.5,4.2
26,20200105,S08000017,,75 - 84,,All,d,113,96,17.7
27,20200105,S08000017,,85 and over,,All,d,58,47.5,22.1
28,20200105,S08000017,,All ages,d,All,d,958,909.5,5.3
29,20200105,S08000017,,All ages,d,Female,,473,455.5,3.8
30,20200105,S08000017,,All ages,d,Male,,468,452,3.5
31,20200105,S08000019,,Under 5,,All,d,100,84.5,18.3
32,20200105,S08000019,,5 - 14,,All,d,55,61.5,-10.6
33,20200105,S08000019,,15 - 44,,All,d,415,392.5,5.7
34,20200105,S08000019,,45 - 64,,All,d,324,287.5,12.7
35,20200105,S08000019,,65 - 74,,All,d,133,127.5,4.3
36,20200105,S08000019,,75 - 84,,All,d,163,136.5,19.4
37,20200105,S08000019,,85 and over,,All,d,67,79.5,-15.7
38,20200105,S08000019,,All ages,d,All,d,1289,1221,5.6
39,20200105,S08000019,,All ages,d,Female,,596,596,0
40,20200105,S08000019,,All ages,d,Male,,661,573.5,15.3
41,20200105,S08000020,,Under 5,,All,d,178,160,11.2
42,20200105,S08000020,,5 - 14,,All,d,159,117.5,35.3
43,20200105,S08000020,,15 - 44,,All,d,754,702.5,7.3
44,20200105,S08000020,,45 - 64,,All,d,457,425.5,7.4
45,20200105,S08000020,,65 - 74,,All,d,210,190,10.5
46,20200105,S08000020,,75 - 84,,All,d,185,172.5,7.2
47,20200105,S08000020,,85 and over,,All,d,113,96.5,17.1
48,20200105,S08000020,,All ages,d,All,d,2111,1912,10.4
49,20200105,S08000020,,All ages,d,Female,,1041,907.5,14.7
50,20200105,S08000020,,All ages,d,Male,,1015,957,6.1
51,20200105,S08000022,,Under 5,,All,d,63,63.5,-0.8
52,20200105,S08000022,,5 - 14,,All,d,64,41.5,54.2
53,20200105,S08000022,,15 - 44,,All,d,439,383.5,14.5
54,20200105,S08000022,,45 - 64,,All,d,299,297,0.7
55,20200105,S08000022,,65 - 74,,All,d,143,133,7.5
56,20200105,S08000022,,75 - 84,,All,d,149,112,33
57,20200105,S08000022,,85 and over,,All,d,66,60.5,9.1
58,20200105,S08000022,,All ages,d,All,d,1307,1149.5,13.7
59,20200105,S08000022,,All ages,d,Female,,600,544.5,10.2
60,20200105,S08000022,,All ages,d,Male,,623,546.5,14
61,20200105,S08000024,,Under 5,,All,d,563,609,-7.6
62,20200105,S08000024,,5 - 14,,All,d,347,348.5,-0.4
63,20200105,S08000024,,15 - 44,,All,d,1391,1363,2.1
64,20200105,S08000024,,45 - 64,,All,d,854,808.5,5.6
65,20200105,S08000024,,65 - 74,,All,d,344,349.5,-1.6
66,20200105,S08000024,,75 - 84,,All,d,320,345.5,-7.4
67,20200105,S08000024,,85 and over,,All,d,197,215,-8.4
68,20200105,S08000024,,All ages,d,All,d,4282,4248,0.8
69,20200105,S08000024,,All ages,d,Female,,2035,2080,-2.2
70,20200105,S08000024,,All ages,d,Male,,1981,1959,1.1
71,20200105,S08000025,,Under 5,,All,d,11,7.5,46.7
72,20200105,S08000025,,5 - 14,,All,d,6,5,20
73,20200105,S08000025,,15 - 44,,All,d,38,36,5.6
74,20200105,S08000025,,45 - 64,,All,d,30,24,25
75,20200105,S08000025,,65 - 74,,All,d,20,15.5,29
76,20200105,S08000025,,75 - 84,,All,d,17,16.5,3
77,20200105,S08000025,,85 and over,,All,d,7,8,-12.5
78,20200105,S08000025,,All ages,d,All,d,135,114.5,17.9
79,20200105,S08000025,,All ages,d,Female,,73,55.5,31.5
80,20200105,S08000025,,All ages,d,Male,,56,57,-1.8
81,20200105,S08000026,,Under 5,,All,d,18,14,28.6
82,20200105,S08000026,,15 - 44,,All,d,54,48.5,11.3
83,20200105,S08000026,,45 - 64,,All,d,31,37,-16.2
84,20200105,S08000026,,65 - 74,,All,d,11,10.5,4.8
85,20200105,S08000026,,75 - 84,,All,d,16,16,0
86,20200105,S08000026,,All ages,d,All,d,139,141,-1.4
87,20200105,S08000026,,All ages,d,Female,,59,73.5,-19.7
88,20200105,S08000026,,All ages,d,Male,,79,64,23.4
89,20200105,S08000028,,Under 5,,All,d,8,6,33.3
90,20200105,S08000028,,5 - 14,,All,d,7,7,0
91,20200105,S08000028,,15 - 44,,All,d,42,36.5,15.1
92,20200105,S08000028,,45 - 64,,All,d,32,31.5,1.6
93,20200105,S08000028,,65 - 74,,All,d,22,18,22.2
94,20200105,S08000028,,75 - 84,,All,d,10,16,-37.5
95,20200105,S08000028,,85 and over,,All,d,17,12.5,36
96,20200105,S08000028,,All ages,d,All,d,145,131,10.7
97,20200105,S08000028,,All ages,d,Female,,65,65.5,-0.8
98,20200105,S08000028,,All ages,d,Male,,73,62,17.7
99,20200105,S08000029,,Under 5,,All,d,90,92.5,-2.7
100,20200105,S08000029,,5 - 14,,All,d,71,63,12.7
101,20200105,S08000029,,15 - 44,,All,d,483,465,3.9
102,20200105,S08000029,,45 - 64,,All,d,304,317.5,-4.3
103,20200105,S08000029,,65 - 74,,All,d,138,142,-2.8
104,20200105,S08000029,,75 - 84,,All,d,130,115,13
105,20200105,S08000029,,85 and over,,All,d,79,75.5,4.6
106,20200105,S08000029,,All ages,d,All,d,1317,1286.5,2.4
107,20200105,S08000029,,All ages,d,Female,,665,652,2
108,20200105,S08000029,,All ages,d,Male,,630,618.5,1.9
109,20200105,S08000030,,Under 5,,All,d,96,105,-8.6
110,20200105,S08000030,,5 - 14,,All,d,75,73,2.7
111,20200105,S08000030,,15 - 44,,All,d,506,511,-1
112,20200105,S08000030,,45 - 64,,All,d,283,313,-9.6
113,20200105,S08000030,,65 - 74,,All,d,142,146.5,-3.1
114,20200105,S08000030,,75 - 84,,All,d,134,135.5,-1.1
115,20200105,S08000030,,85 and over,,All,d,100,105,-4.8
116,20200105,S08000030,,All ages,d,All,d,1357,1392.5,-2.5
117,20200105,S08000030,,All ages,d,Female,,673,673.5,-0.1
118,20200105,S08000030,,All ages,d,Male,,663,715.5,-7.3
119,20200105,S08000031,,Under 5,,All,d,739,856.5,-13.7
120,20200105,S08000031,,5 - 14,,All,d,423,447.5,-5.5
121,20200105,S08000031,,15 - 44,,All,d,2399,2345,2.3
122,20200105,S08000031,,45 - 64,,All,d,1518,1535.5,-1.1
123,20200105,S08000031,,65 - 74,,All,d,606,633.5,-4.3
124,20200105,S08000031,,75 - 84,,All,d,566,598.5,-5.4
125,20200105,S08000031,,85 and over,,All,d,325,353,-7.9
126,20200105,S08000031,,All ages,d,All,d,6732,6786,-0.8
127,20200105,S08000031,,All ages,d,Female,,3291,3420,-3.8
128,20200105,S08000031,,All ages,d,Male,,3285,3349.5,-1.9
129,20200105,S08000032,,Under 5,,All,d,204,205,-0.5
130,20200105,S08000032,,5 - 14,,All,d,167,163.5,2.1
131,20200105,S08000032,,15 - 44,,All,d,1320,1289.5,2.4
132,20200105,S08000032,,45 - 64,,All,d,1037,1011,2.6
133,20200105,S08000032,,65 - 74,,All,d,513,449.5,14.1
134,20200105,S08000032,,75 - 84,,All,d,439,429,2.3
135,20200105,S08000032,,85 and over,,All,d,214,214.5,-0.2
136,20200105,S08000032,,All ages,d,All,d,3937,3810,3.3
137,20200105,S08000032,,All ages,d,Female,,2009,1946.5,3.2
138,20200105,S08000032,,All ages,d,Male,,1885,1815.5,3.8
139,20200105,S92000003,d,Under 5,,All,d,2391,2512,-4.8
140,20200105,S92000003,d,5 - 14,,All,d,1552,1540,0.8
141,20200105,S92000003,d,15 - 44,,All,d,9066,8771,3.4
142,20200105,S92000003,d,45 - 64,,All,d,6037,5884.5,2.6
143,20200105,S92000003,d,65 - 74,,All,d,2710,2615.5,3.6
144,20200105,S92000003,d,75 - 84,,All,d,2510,2453.5,2.3
145,20200105,S92000003,d,85 and over,,All,d,1433,1424,0.6
146,20200105,S92000003,d,All ages,d,All,d,26453,25685,3
147,20200105,S92000003,d,All ages,d,Female,,12912,12762,1.2
148,20200105,S92000003,d,All ages,d,Male,,12787,12438.5,2.8
149,20200112,S08000015,,Under 5,,All,d,156,195.5,-20.2
150,20200112,S08000015,,5 - 14,,All,d,186,172,8.1
151,20200112,S08000015,,15 - 44,,All,d,636,654.5,-2.8
152,20200112,S08000015,,45 - 64,,All,d,442,456,-3.1
153,20200112,S08000015,,65 - 74,,All,d,211,202,4.5
154,20200112,S08000015,,75 - 84,,All,d,199,186,7
155,20200112,S08000015,,85 and over,,All,d,115,82,40.2
156,20200112,S08000015,,All ages,d,All,d,1963,1957.5,0.3
157,20200112,S08000015,,All ages,d,Female,,972,938.5,3.6
158,20200112,S08000015,,All ages,d,Male,,973,1009.5,-3.6
159,20200112,S08000016,,Under 5,,All,d,17,24,-29.2
160,20200112,S08000016,,5 - 14,,All,d,25,33.5,-25.4
161,20200112,S08000016,,15 - 44,,All,d,155,172,-9.9
162,20200112,S08000016,,45 - 64,,All,d,141,124.5,13.3
163,20200112,S08000016,,65 - 74,,All,d,71,79,-10.1
164,20200112,S08000016,,75 - 84,,All,d,92,81.5,12.9
165,20200112,S08000016,,85 and over,,All,d,44,54.5,-19.3
166,20200112,S08000016,,All ages,d,All,d,557,574,-3
167,20200112,S08000016,,All ages,d,Female,,267,270,-1.1
168,20200112,S08000016,,All ages,d,Male,,278,299,-7
169,20200112,S08000017,,Under 5,,All,d,62,74,-16.2
170,20200112,S08000017,,5 - 14,,All,d,65,69.5,-6.5
171,20200112,S08000017,,15 - 44,,All,d,275,265,3.8
172,20200112,S08000017,,45 - 64,,All,d,200,172,16.3
173,20200112,S08000017,,65 - 74,,All,d,105,98,7.1
174,20200112,S08000017,,75 - 84,,All,d,87,87,0
175,20200112,S08000017,,85 and over,,All,d,47,45,4.4
176,20200112,S08000017,,All ages,d,All,d,852,811,5.1
177,20200112,S08000017,,All ages,d,Female,,434,415,4.6
178,20200112,S08000017,,All ages,d,Male,,407,395.5,2.9
179,20200112,S08000019,,Under 5,,All,d,63,75.5,-16.6
180,20200112,S08000019,,5 - 14,,All,d,88,87,1.1
181,20200112,S08000019,,15 - 44,,All,d,436,381,14.4
182,20200112,S08000019,,45 - 64,,All,d,293,248.5,17.9
183,20200112,S08000019,,65 - 74,,All,d,142,101,40.6
184,20200112,S08000019,,75 - 84,,All,d,133,121,9.9
185,20200112,S08000019,,85 and over,,All,d,67,69,-2.9
186,20200112,S08000019,,All ages,d,All,d,1231,1135,8.5
187,20200112,S08000019,,All ages,d,Female,,555,526.5,5.4
188,20200112,S08000019,,All ages,d,Male,,667,556.5,19.9
189,20200112,S08000020,,Under 5,,All,d,154,140,10
190,20200112,S08000020,,5 - 14,,All,d,172,170,1.2
191,20200112,S08000020,,15 - 44,,All,d,644,634.5,1.5
192,20200112,S08000020,,45 - 64,,All,d,359,384.5,-6.6
193,20200112,S08000020,,65 - 74,,All,d,166,131.5,26.2
194,20200112,S08000020,,75 - 84,,All,d,180,153,17.6
195,20200112,S08000020,,85 and over,,All,d,105,82,28
196,20200112,S08000020,,All ages,d,All,d,1813,1738.5,4.3
197,20200112,S08000020,,All ages,d,Female,,861,829.5,3.8
198,20200112,S08000020,,All ages,d,Male,,919,866,6.1
199,20200112,S08000022,,Under 5,,All,d,54,63,-14.3
200,20200112,S08000022,,5 - 14,,All,d,69,64.5,7
201,20200112,S08000022,,15 - 44,,All,d,366,347.5,5.3
202,20200112,S08000022,,45 - 64,,All,d,267,229,16.6
203,20200112,S08000022,,65 - 74,,All,d,136,96,41.7
204,20200112,S08000022,,75 - 84,,All,d,107,94,13.8
205,20200112,S08000022,,85 and over,,All,d,67,60.5,10.7
206,20200112,S08000022,,All ages,d,All,d,1097,983.5,11.5
207,20200112,S08000022,,All ages,d,Female,,535,447.5,19.6
208,20200112,S08000022,,All ages,d,Male,,531,507,4.7
209,20200112,S08000024,,Under 5,,All,d,508,570.5,-11
210,20200112,S08000024,,5 - 14,,All,d,438,451,-2.9
211,20200112,S08000024,,15 - 44,,All,d,1321,1257,5.1
212,20200112,S08000024,,45 - 64,,All,d,877,807,8.7
213,20200112,S08000024,,65 - 74,,All,d,345,316.5,9
214,20200112,S08000024,,75 - 84,,All,d,321,305.5,5.1
215,20200112,S08000024,,85 and over,,All,d,180,193,-6.7
216,20200112,S08000024,,All ages,d,All,d,4129,4024.5,2.6
217,20200112,S08000024,,All ages,d,Female,,2056,1941,5.9
218,20200112,S08000024,,All ages,d,Male,,1934,1959.5,-1.3
219,20200112,S08000025,,Under 5,,All,d,10,5,100
220,20200112,S08000025,,5 - 14,,All,d,10,7,42.9
221,20200112,S08000025,,15 - 44,,All,d,38,29.5,28.8
222,20200112,S08000025,,45 - 64,,All,d,37,22,68.2
223,20200112,S08000025,,65 - 74,,All,d,14,15.5,-9.7
224,20200112,S08000025,,75 - 84,,All,d,28,10.5,166.7
225,20200112,S08000025,,85 and over,,All,d,6,6.5,-7.7
226,20200112,S08000025,,All ages,d,All,d,148,99,49.5
227,20200112,S08000025,,All ages,d,Female,,64,51.5,24.3
228,20200112,S08000025,,All ages,d,Male,,79,44.5,77.5
229,20200112,S08000026,,Under 5,,All,d,9,13.5,-33.3
230,20200112,S08000026,,5 - 14,,All,d,9,10,-10
231,20200112,S08000026,,15 - 44,,All,d,45,42.5,5.9
232,20200112,S08000026,,45 - 64,,All,d,28,28,0
233,20200112,S08000026,,65 - 74,,All,d,14,14.5,-3.4
234,20200112,S08000026,,75 - 84,,All,d,11,18,-38.9
235,20200112,S08000026,,85 and over,,All,d,8,9,-11.1
236,20200112,S08000026,,All ages,d,All,d,128,139.5,-8.2
237,20200112,S08000026,,All ages,d,Female,,65,66,-1.5
238,20200112,S08000026,,All ages,d,Male,,59,69.5,-15.1
239,20200112,S08000028,,Under 5,,All,d,8,5,60
240,20200112,S08000028,,5 - 14,,All,d,8,10.5,-23.8
241,20200112,S08000028,,15 - 44,,All,d,36,32,12.5
242,20200112,S08000028,,45 - 64,,All,d,37,28,32.1
243,20200112,S08000028,,65 - 74,,All,d,16,14,14.3
244,20200112,S08000028,,75 - 84,,All,d,19,14.5,31
245,20200112,S08000028,,85 and over,,All,d,10,8.5,17.6
246,20200112,S08000028,,All ages,d,All,d,134,115,16.5
247,20200112,S08000028,,All ages,d,Female,,62,50,24
248,20200112,S08000028,,All ages,d,Male,,72,62.5,15.2
249,20200112,S08000029,,Under 5,,All,d,84,79,6.3
250,20200112,S08000029,,5 - 14,,All,d,73,95.5,-23.6
251,20200112,S08000029,,15 - 44,,All,d,446,429,4
252,20200112,S08000029,,45 - 64,,All,d,301,258.5,16.4
253,20200112,S08000029,,65 - 74,,All,d,124,121.5,2.1
254,20200112,S08000029,,75 - 84,,All,d,97,110,-11.8
255,20200112,S08000029,,85 and over,,All,d,81,72.5,11.7
256,20200112,S08000029,,All ages,d,All,d,1218,1175,3.7
257,20200112,S08000029,,All ages,d,Female,,615,549.5,11.9
258,20200112,S08000029,,All ages,d,Male,,591,616.5,-4.1
259,20200112,S08000030,,Under 5,,All,d,83,109,-23.9
260,20200112,S08000030,,5 - 14,,All,d,99,121.5,-18.5
261,20200112,S08000030,,15 - 44,,All,d,500,492,1.6
262,20200112,S08000030,,45 - 64,,All,d,287,277,3.6
263,20200112,S08000030,,65 - 74,,All,d,130,108,20.4
264,20200112,S08000030,,75 - 84,,All,d,114,119,-4.2
265,20200112,S08000030,,85 and over,,All,d,78,73.5,6.1
266,20200112,S08000030,,All ages,d,All,d,1313,1300,1
267,20200112,S08000030,,All ages,d,Female,,626,609.5,2.7
268,20200112,S08000030,,All ages,d,Male,,665,690.5,-3.7
269,20200112,S08000031,,Under 5,,All,d,723,805,-10.2
270,20200112,S08000031,,5 - 14,,All,d,580,589.5,-1.6
271,20200112,S08000031,,15 - 44,,All,d,2317,2318.5,-0.1
272,20200112,S08000031,,45 - 64,,All,d,1532,1489.5,2.9
273,20200112,S08000031,,65 - 74,,All,d,561,565.5,-0.8
274,20200112,S08000031,,75 - 84,,All,d,570,537,6.1
275,20200112,S08000031,,85 and over,,All,d,340,302,12.6
276,20200112,S08000031,,All ages,d,All,d,6756,6616,2.1
277,20200112,S08000031,,All ages,d,Female,,3355,3221,4.2
278,20200112,S08000031,,All ages,d,Male,,3268,3386,-3.5
279,20200112,S08000032,,Under 5,,All,d,181,179,1.1
280,20200112,S08000032,,5 - 14,,All,d,262,249.5,5
281,20200112,S08000032,,15 - 44,,All,d,1379,1303.5,5.8
282,20200112,S08000032,,45 - 64,,All,d,1090,982,11
283,20200112,S08000032,,65 - 74,,All,d,464,442,5
284,20200112,S08000032,,75 - 84,,All,d,409,380.5,7.5
285,20200112,S08000032,,85 and over,,All,d,212,205,3.4
286,20200112,S08000032,,All ages,d,All,d,4036,3771.5,7
287,20200112,S08000032,,All ages,d,Female,,2030,1895.5,7.1
288,20200112,S08000032,,All ages,d,Male,,1967,1846,6.6
289,20200112,S92000003,d,Under 5,,All,d,2112,2338,-9.7
290,20200112,S92000003,d,5 - 14,,All,d,2084,2131,-2.2
291,20200112,S92000003,d,15 - 44,,All,d,8594,8358.5,2.8
292,20200112,S92000003,d,45 - 64,,All,d,5891,5506.5,7
293,20200112,S92000003,d,65 - 74,,All,d,2499,2305,8.4
294,20200112,S92000003,d,75 - 84,,All,d,2367,2217.5,6.7
295,20200112,S92000003,d,85 and over,,All,d,1360,1263,7.7
296,20200112,S92000003,d,All ages,d,All,d,25375,24440,3.8
297,20200112,S92000003,d,All ages,d,Female,,12497,11811,5.8
298,20200112,S92000003,d,All ages,d,Male,,12410,12308.5,0.8
299,20200119,S08000015,,Under 5,,All,d,157,201.5,-22.1
300,20200119,S08000015,,5 - 14,,All,d,204,171.5,19
301,20200119,S08000015,,15 - 44,,All,d,615,660.5,-6.9
302,20200119,S08000015,,45 - 64,,All,d,418,415.5,0.6
303,20200119,S08000015,,65 - 74,,All,d,202,181,11.6
304,20200119,S08000015,,75 - 84,,All,d,192,168.5,13.9
305,20200119,S08000015,,85 and over,,All,d,108,93.5,15.5
306,20200119,S08000015,,All ages,d,All,d,1909,1900.5,0.4
307,20200119,S08000015,,All ages,d,Female,,910,935.5,-2.7
308,20200119,S08000015,,All ages,d,Male,,986,956.5,3.1
309,20200119,S08000016,,Under 5,,All,d,18,28,-35.7
310,20200119,S08000016,,5 - 14,,All,d,36,31,16.1
311,20200119,S08000016,,15 - 44,,All,d,144,151.5,-5
312,20200119,S08000016,,45 - 64,,All,d,157,117,34.2
313,20200119,S08000016,,65 - 74,,All,d,96,68.5,40.1
314,20200119,S08000016,,75 - 84,,All,d,84,65,29.2
315,20200119,S08000016,,85 and over,,All,d,48,52,-7.7
316,20200119,S08000016,,All ages,d,All,d,591,518.5,14
317,20200119,S08000016,,All ages,d,Female,,298,254,17.3
318,20200119,S08000016,,All ages,d,Male,,285,259,10
319,20200119,S08000017,,Under 5,,All,d,51,87,-41.4
320,20200119,S08000017,,5 - 14,,All,d,65,78,-16.7
321,20200119,S08000017,,15 - 44,,All,d,269,263.5,2.1
322,20200119,S08000017,,45 - 64,,All,d,188,158,19
323,20200119,S08000017,,65 - 74,,All,d,95,90,5.6
324,20200119,S08000017,,75 - 84,,All,d,90,89,1.1
325,20200119,S08000017,,85 and over,,All,d,41,44.5,-7.9
326,20200119,S08000017,,All ages,d,All,d,817,814.5,0.3
327,20200119,S08000017,,All ages,d,Female,,404,387.5,4.3
328,20200119,S08000017,,All ages,d,Male,,395,422.5,-6.5
329,20200119,S08000019,,Under 5,,All,d,115,77,49.4
330,20200119,S08000019,,5 - 14,,All,d,89,85.5,4.1
331,20200119,S08000019,,15 - 44,,All,d,413,404,2.2
332,20200119,S08000019,,45 - 64,,All,d,292,268.5,8.8
333,20200119,S08000019,,65 - 74,,All,d,109,103.5,5.3
334,20200119,S08000019,,75 - 84,,All,d,113,91,24.2
335,20200119,S08000019,,85 and over,,All,d,64,60,6.7
336,20200119,S08000019,,All ages,d,All,d,1214,1139,6.6
337,20200119,S08000019,,All ages,d,Female,,617,542,13.8
338,20200119,S08000019,,All ages,d,Male,,578,547.5,5.6
339,20200119,S08000020,,Under 5,,All,d,133,150,-11.3
340,20200119,S08000020,,5 - 14,,All,d,196,195.5,0.3
341,20200119,S08000020,,15 - 44,,All,d,681,655,4
342,20200119,S08000020,,45 - 64,,All,d,437,365,19.7
343,20200119,S08000020,,65 - 74,,All,d,184,165,11.5
344,20200119,S08000020,,75 - 84,,All,d,177,142,24.6
345,20200119,S08000020,,85 and over,,All,d,115,88.5,29.9
346,20200119,S08000020,,All ages,d,All,d,1977,1798.5,9.9
347,20200119,S08000020,,All ages,d,Female,,957,867.5,10.3
348,20200119,S08000020,,All ages,d,Male,,966,893.5,8.1
349,20200119,S08000022,,Under 5,,All,d,46,52.5,-12.4
350,20200119,S08000022,,5 - 14,,All,d,86,79,8.9
351,20200119,S08000022,,15 - 44,,All,d,376,343.5,9.5
352,20200119,S08000022,,45 - 64,,All,d,234,245,-4.5
353,20200119,S08000022,,65 - 74,,All,d,127,118,7.6
354,20200119,S08000022,,75 - 84,,All,d,87,101.5,-14.3
355,20200119,S08000022,,85 and over,,All,d,41,58.5,-29.9
356,20200119,S08000022,,All ages,d,All,d,1022,1038,-1.5
357,20200119,S08000022,,All ages,d,Female,,487,469.5,3.7
358,20200119,S08000022,,All ages,d,Male,,510,528.5,-3.5
359,20200119,S08000024,,Under 5,,All,d,489,571.5,-14.4
360,20200119,S08000024,,5 - 14,,All,d,487,515,-5.4
361,20200119,S08000024,,15 - 44,,All,d,1493,1317.5,13.3
362,20200119,S08000024,,45 - 64,,All,d,825,755,9.3
363,20200119,S08000024,,65 - 74,,All,d,366,306.5,19.4
364,20200119,S08000024,,75 - 84,,All,d,335,299.5,11.9
365,20200119,S08000024,,85 and over,,All,d,190,182.5,4.1
366,20200119,S08000024,,All ages,d,All,d,4362,4071,7.1
367,20200119,S08000024,,All ages,d,Female,,2129,1967.5,8.2
368,20200119,S08000024,,All ages,d,Male,,2056,1980,3.8
369,20200119,S08000025,,Under 5,,All,d,10,1.5,566.7
370,20200119,S08000025,,5 - 14,,All,d,11,8.5,29.4
371,20200119,S08000025,,15 - 44,,All,d,45,32,40.6
372,20200119,S08000025,,45 - 64,,All,d,40,30.5,31.1
373,20200119,S08000025,,65 - 74,,All,d,9,12,-25
374,20200119,S08000025,,75 - 84,,All,d,15,18,-16.7
375,20200119,S08000025,,85 and over,,All,d,7,6,16.7
376,20200119,S08000025,,All ages,d,All,d,139,110,26.4
377,20200119,S08000025,,All ages,d,Female,,59,50.5,16.8
378,20200119,S08000025,,All ages,d,Male,,78,58,34.5
379,20200119,S08000026,,5 - 14,,All,d,12,13,-7.7
380,20200119,S08000026,,15 - 44,,All,d,47,43.5,8
381,20200119,S08000026,,45 - 64,,All,d,26,30.5,-14.8
382,20200119,S08000026,,65 - 74,,All,d,5,15,-66.7
383,20200119,S08000026,,75 - 84,,All,d,18,16,12.5
384,20200119,S08000026,,85 and over,,All,d,8,7.5,6.7
385,20200119,S08000026,,All ages,d,All,d,123,142.5,-13.7
386,20200119,S08000026,,All ages,d,Female,,50,61,-18
387,20200119,S08000026,,All ages,d,Male,,70,76,-7.9
388,20200119,S08000028,,Under 5,,All,d,8,8.5,-5.9
389,20200119,S08000028,,5 - 14,,All,d,11,7.5,46.7
390,20200119,S08000028,,15 - 44,,All,d,23,30,-23.3
391,20200119,S08000028,,45 - 64,,All,d,30,22,36.4
392,20200119,S08000028,,65 - 74,,All,d,13,13,0
393,20200119,S08000028,,75 - 84,,All,d,11,16,-31.2
394,20200119,S08000028,,85 and over,,All,d,6,9.5,-36.8
395,20200119,S08000028,,All ages,d,All,d,109,109.5,-0.5
396,20200119,S08000028,,All ages,d,Female,,53,50,6
397,20200119,S08000028,,All ages,d,Male,,49,56.5,-13.3
398,20200119,S08000029,,Under 5,,All,d,97,85.5,13.5
399,20200119,S08000029,,5 - 14,,All,d,135,105.5,28
400,20200119,S08000029,,15 - 44,,All,d,468,410.5,14
401,20200119,S08000029,,45 - 64,,All,d,265,271,-2.2
402,20200119,S08000029,,65 - 74,,All,d,112,107,4.7
403,20200119,S08000029,,75 - 84,,All,d,107,105.5,1.4
404,20200119,S08000029,,85 and over,,All,d,77,73,5.5
405,20200119,S08000029,,All ages,d,All,d,1268,1167.5,8.6
406,20200119,S08000029,,All ages,d,Female,,620,579,7.1
407,20200119,S08000029,,All ages,d,Male,,641,579,10.7
408,20200119,S08000030,,Under 5,,All,d,101,94.5,6.9
409,20200119,S08000030,,5 - 14,,All,d,128,114.5,11.8
410,20200119,S08000030,,15 - 44,,All,d,499,492.5,1.3
411,20200119,S08000030,,45 - 64,,All,d,265,254,4.3
412,20200119,S08000030,,65 - 74,,All,d,134,112.5,19.1
413,20200119,S08000030,,75 - 84,,All,d,119,114.5,3.9
414,20200119,S08000030,,85 and over,,All,d,71,71.5,-0.7
415,20200119,S08000030,,All ages,d,All,d,1337,1258,6.3
416,20200119,S08000030,,All ages,d,Female,,615,608,1.2
417,20200119,S08000030,,All ages,d,Male,,702,646,8.7
418,20200119,S08000031,,Under 5,,All,d,742,812.5,-8.7
419,20200119,S08000031,,5 - 14,,All,d,658,595,10.6
420,20200119,S08000031,,15 - 44,,All,d,2329,2290,1.7
421,20200119,S08000031,,45 - 64,,All,d,1512,1388,8.9
422,20200119,S08000031,,65 - 74,,All,d,575,530,8.5
423,20200119,S08000031,,75 - 84,,All,d,534,503.5,6.1
424,20200119,S08000031,,85 and over,,All,d,333,325.5,2.3
425,20200119,S08000031,,All ages,d,All,d,6724,6476,3.8
426,20200119,S08000031,,All ages,d,Female,,3316,3176,4.4
427,20200119,S08000031,,All ages,d,Male,,3367,3268.5,3
428,20200119,S08000032,,Under 5,,All,d,177,193,-8.3
429,20200119,S08000032,,5 - 14,,All,d,296,257.5,15
430,20200119,S08000032,,15 - 44,,All,d,1365,1277.5,6.8
431,20200119,S08000032,,45 - 64,,All,d,948,938.5,1
432,20200119,S08000032,,65 - 74,,All,d,440,396,11.1
433,20200119,S08000032,,75 - 84,,All,d,409,346,18.2
434,20200119,S08000032,,85 and over,,All,d,187,204.5,-8.6
435,20200119,S08000032,,All ages,d,All,d,3855,3653,5.5
436,20200119,S08000032,,All ages,d,Female,,1976,1844,7.2
