"id","week_ending","hscp","age_group","age_group_qf","sex","sex_qf","sas_incidents","average20182019","percent_variation"
2266,20200223,"S37000033","45 - 64","","All","d",63,58.5,7.7
2267,20200223,"S37000033","65 - 74","","All","d",50,39,28.2
2268,20200223,"S37000033","75 - 84","","All","d",62,59.5,4.2
2269,20200223,"S37000033","85 and over","","All","d",48,45.5,5.5
2270,20200223,"S37000033","All ages","d","All","d",311,280,11.1
2271,20200223,"S37000033","All ages","d","Female","",174,133,30.8
2272,20200223,"S37000033","All ages","d","Male","",137,147,-6.8
2273,20200223,"S37000034","Under 5","","All","d",29,44.5,-34.8
2274,20200223,"S37000034","5 - 14","","All","d",23,24.5,-6.1
2275,20200223,"S37000034","15 - 44","","All","d",323,345,-6.4
2276,20200223,"S37000034","45 - 64","","All","d",352,359.5,-2.1
2277,20200223,"S37000034","65 - 74","","All","d",191,200,-4.5
2278,20200223,"S37000034","75 - 84","","All","d",188,234.5,-19.8
2279,20200223,"S37000034","85 and over","","All","d",156,155.5,0.3
2280,20200223,"S37000034","All ages","d","All","d",1262,1363.5,-7.4
2281,20200223,"S37000034","All ages","d","Female","",630,678,-7.1
2282,20200223,"S37000034","All ages","d","Male","",632,685.5,-7.8
2283,20200223,"S37000035","Under 5","","All","d",23,25,-8
2284,20200223,"S37000035","5 - 14","","All","d",8,20,-60
2285,20200223,"S37000035","15 - 44","","All","d",200,154,29.9
2286,20200223,"S37000035","45 - 64","","All","d",153,192.5,-20.5
2287,20200223,"S37000035","65 - 74","","All","d",120,129.5,-7.3
2288,20200223,"S37000035","75 - 84","","All","d",125,143,-12.6
2289,20200223,"S37000035","85 and over","","All","d",89,69,29
2290,20200223,"S37000035","All ages","d","All","d",718,733,-2
2291,20200223,"S37000035","All ages","d","Female","",379,358.5,5.7
2292,20200223,"S37000035","All ages","d","Male","",339,374.5,-9.5
2293,20200301,"S37000001","Under 5","","All","d",12,13,-7.7
2294,20200301,"S37000001","5 - 14","","All","d",7,7,0
2295,20200301,"S37000001","15 - 44","","All","d",109,101,7.9
2296,20200301,"S37000001","45 - 64","","All","d",86,94.5,-9
2297,20200301,"S37000001","65 - 74","","All","d",80,55.5,44.1
2298,20200301,"S37000001","75 - 84","","All","d",69,64.5,7
2299,20200301,"S37000001","85 and over","","All","d",63,59.5,5.9
2300,20200301,"S37000001","All ages","d","All","d",426,395,7.8
2301,20200301,"S37000001","All ages","d","Female","",216,205.5,5.1
2302,20200301,"S37000001","All ages","d","Male","",210,189.5,10.8
2303,20200301,"S37000002","Under 5","","All","d",11,15,-26.7
2304,20200301,"S37000002","5 - 14","","All","d",6,6,0
2305,20200301,"S37000002","15 - 44","","All","d",85,77.5,9.7
2306,20200301,"S37000002","45 - 64","","All","d",101,82,23.2
2307,20200301,"S37000002","65 - 74","","All","d",88,65.5,34.4
2308,20200301,"S37000002","75 - 84","","All","d",88,86.5,1.7
2309,20200301,"S37000002","85 and over","","All","d",89,66.5,33.8
2310,20200301,"S37000002","All ages","d","All","d",468,399,17.3
2311,20200301,"S37000002","All ages","d","Female","",239,207.5,15.2
2312,20200301,"S37000002","All ages","d","Male","",229,191.5,19.6
2313,20200301,"S37000003","Under 5","","All","d",6,9,-33.3
2314,20200301,"S37000003","5 - 14","","All","d",6,4,50
2315,20200301,"S37000003","15 - 44","","All","d",53,46,15.2
2316,20200301,"S37000003","45 - 64","","All","d",46,47,-2.1
2317,20200301,"S37000003","65 - 74","","All","d",51,34.5,47.8
2318,20200301,"S37000003","75 - 84","","All","d",59,56,5.4
2319,20200301,"S37000003","85 and over","","All","d",36,43,-16.3
2320,20200301,"S37000003","All ages","d","All","d",257,239.5,7.3
2321,20200301,"S37000003","All ages","d","Female","",150,120.5,24.5
2322,20200301,"S37000003","All ages","d","Male","",107,119,-10.1
2323,20200301,"S37000004","5 - 14","","All","d",5,1.5,233.3
2324,20200301,"S37000004","15 - 44","","All","d",41,41,0
2325,20200301,"S37000004","45 - 64","","All","d",50,41,22
2326,20200301,"S37000004","65 - 74","","All","d",43,36,19.4
2327,20200301,"S37000004","75 - 84","","All","d",66,52.5,25.7
2328,20200301,"S37000004","85 and over","","All","d",43,41,4.9
2329,20200301,"S37000004","All ages","d","All","d",252,216,16.7
2330,20200301,"S37000004","All ages","d","Female","",122,121,0.8
2331,20200301,"S37000004","All ages","d","Male","",130,95,36.8
2332,20200301,"S37000005","Under 5","","All","d",9,10.5,-14.3
2333,20200301,"S37000005","5 - 14","","All","d",10,7,42.9
2334,20200301,"S37000005","15 - 44","","All","d",54,65,-16.9
2335,20200301,"S37000005","45 - 64","","All","d",66,64.5,2.3
2336,20200301,"S37000005","65 - 74","","All","d",48,42.5,12.9
2337,20200301,"S37000005","75 - 84","","All","d",61,57,7
2338,20200301,"S37000005","85 and over","","All","d",24,31,-22.6
2339,20200301,"S37000005","All ages","d","All","d",272,277.5,-2
2340,20200301,"S37000005","All ages","d","Female","",144,133.5,7.9
2341,20200301,"S37000005","All ages","d","Male","",128,144,-11.1
2342,20200301,"S37000006","Under 5","","All","d",8,8,0
2343,20200301,"S37000006","5 - 14","","All","d",5,2.5,100
2344,20200301,"S37000006","15 - 44","","All","d",58,56.5,2.7
2345,20200301,"S37000006","45 - 64","","All","d",74,63,17.5
2346,20200301,"S37000006","65 - 74","","All","d",60,67,-10.4
2347,20200301,"S37000006","75 - 84","","All","d",89,79,12.7
2348,20200301,"S37000006","85 and over","","All","d",60,60,0
2349,20200301,"S37000006","All ages","d","All","d",354,336,5.4
2350,20200301,"S37000006","All ages","d","Female","",182,177.5,2.5
2351,20200301,"S37000006","All ages","d","Male","",172,158.5,8.5
2352,20200301,"S37000007","Under 5","","All","d",9,9,0
2353,20200301,"S37000007","5 - 14","","All","d",7,4,75
2354,20200301,"S37000007","15 - 44","","All","d",88,81.5,8
2355,20200301,"S37000007","45 - 64","","All","d",78,80,-2.5
2356,20200301,"S37000007","65 - 74","","All","d",51,56,-8.9
2357,20200301,"S37000007","75 - 84","","All","d",63,54,16.7
2358,20200301,"S37000007","85 and over","","All","d",45,44.5,1.1
2359,20200301,"S37000007","All ages","d","All","d",341,329,3.6
2360,20200301,"S37000007","All ages","d","Female","",180,158,13.9
2361,20200301,"S37000007","All ages","d","Male","",161,171,-5.8
2362,20200301,"S37000008","Under 5","","All","d",12,14.5,-17.2
2363,20200301,"S37000008","15 - 44","","All","d",63,68,-7.4
2364,20200301,"S37000008","45 - 64","","All","d",64,62.5,2.4
2365,20200301,"S37000008","65 - 74","","All","d",49,44.5,10.1
2366,20200301,"S37000008","75 - 84","","All","d",65,65,0
2367,20200301,"S37000008","85 and over","","All","d",52,35,48.6
2368,20200301,"S37000008","All ages","d","All","d",309,296,4.4
2369,20200301,"S37000008","All ages","d","Female","",154,140.5,9.6
2370,20200301,"S37000008","All ages","d","Male","",155,155.5,-0.3
2371,20200301,"S37000009","Under 5","","All","d",7,5.5,27.3
2372,20200301,"S37000009","15 - 44","","All","d",30,31,-3.2
2373,20200301,"S37000009","45 - 64","","All","d",41,36.5,12.3
2374,20200301,"S37000009","65 - 74","","All","d",25,30.5,-18
2375,20200301,"S37000009","75 - 84","","All","d",36,46,-21.7
2376,20200301,"S37000009","85 and over","","All","d",42,34.5,21.7
2377,20200301,"S37000009","All ages","d","All","d",183,187,-2.1
2378,20200301,"S37000009","All ages","d","Female","",83,88.5,-6.2
2379,20200301,"S37000009","All ages","d","Male","",100,98.5,1.5
2380,20200301,"S37000010","Under 5","","All","d",5,5.5,-9.1
2381,20200301,"S37000010","5 - 14","","All","d",9,2.5,260
2382,20200301,"S37000010","15 - 44","","All","d",49,44.5,10.1
2383,20200301,"S37000010","45 - 64","","All","d",46,42,9.5
2384,20200301,"S37000010","65 - 74","","All","d",28,27.5,1.8
2385,20200301,"S37000010","75 - 84","","All","d",35,33.5,4.5
2386,20200301,"S37000010","85 and over","","All","d",29,28,3.6
2387,20200301,"S37000010","All ages","d","All","d",201,183.5,9.5
2388,20200301,"S37000010","All ages","d","Female","",113,99.5,13.6
2389,20200301,"S37000010","All ages","d","Male","",88,84,4.8
2390,20200301,"S37000011","15 - 44","","All","d",22,21,4.8
2391,20200301,"S37000011","45 - 64","","All","d",26,26.5,-1.9
2392,20200301,"S37000011","65 - 74","","All","d",22,19.5,12.8
2393,20200301,"S37000011","75 - 84","","All","d",24,27.5,-12.7
2394,20200301,"S37000011","85 and over","","All","d",39,34,14.7
2395,20200301,"S37000011","All ages","d","All","d",138,134.5,2.6
2396,20200301,"S37000011","All ages","d","Female","",78,77,1.3
2397,20200301,"S37000011","All ages","d","Male","",60,57.5,4.3
2398,20200301,"S37000012","Under 5","","All","d",30,28,7.1
2399,20200301,"S37000012","5 - 14","","All","d",8,15,-46.7
2400,20200301,"S37000012","15 - 44","","All","d",227,216,5.1
2401,20200301,"S37000012","45 - 64","","All","d",199,180,10.6
2402,20200301,"S37000012","65 - 74","","All","d",108,89,21.3
2403,20200301,"S37000012","75 - 84","","All","d",125,139,-10.1
2404,20200301,"S37000012","85 and over","","All","d",120,110.5,8.6
2405,20200301,"S37000012","All ages","d","All","d",817,777.5,5.1
2406,20200301,"S37000012","All ages","d","Female","",422,412,2.4
2407,20200301,"S37000012","All ages","d","Male","",395,365.5,8.1
2408,20200301,"S37000013","Under 5","","All","d",11,11,0
2409,20200301,"S37000013","5 - 14","","All","d",9,3,200
2410,20200301,"S37000013","15 - 44","","All","d",62,69,-10.1
2411,20200301,"S37000013","45 - 64","","All","d",76,70,8.6
2412,20200301,"S37000013","65 - 74","","All","d",47,39.5,19
2413,20200301,"S37000013","75 - 84","","All","d",46,60,-23.3
2414,20200301,"S37000013","85 and over","","All","d",38,34.5,10.1
2415,20200301,"S37000013","All ages","d","All","d",289,287,0.7
2416,20200301,"S37000013","All ages","d","Female","",130,139,-6.5
2417,20200301,"S37000013","All ages","d","Male","",159,148,7.4
2418,20200301,"S37000016","Under 5","","All","d",28,15,86.7
2419,20200301,"S37000016","5 - 14","","All","d",9,8,12.5
2420,20200301,"S37000016","15 - 44","","All","d",108,86,25.6
2421,20200301,"S37000016","45 - 64","","All","d",96,101.5,-5.4
2422,20200301,"S37000016","65 - 74","","All","d",83,82,1.2
2423,20200301,"S37000016","75 - 84","","All","d",110,109.5,0.5
2424,20200301,"S37000016","85 and over","","All","d",93,74,25.7
2425,20200301,"S37000016","All ages","d","All","d",527,476.5,10.6
2426,20200301,"S37000016","All ages","d","Female","",273,253,7.9
2427,20200301,"S37000016","All ages","d","Male","",254,223.5,13.6
2428,20200301,"S37000017","15 - 44","","All","d",29,32.5,-10.8
2429,20200301,"S37000017","45 - 64","","All","d",40,42.5,-5.9
2430,20200301,"S37000017","65 - 74","","All","d",24,35.5,-32.4
2431,20200301,"S37000017","75 - 84","","All","d",36,42,-14.3
2432,20200301,"S37000017","85 and over","","All","d",23,26,-11.5
2433,20200301,"S37000017","All ages","d","All","d",158,191.5,-17.5
2434,20200301,"S37000017","All ages","d","Female","",93,98.5,-5.6
2435,20200301,"S37000017","All ages","d","Male","",65,93,-30.1
2436,20200301,"S37000018","15 - 44","","All","d",23,40.5,-43.2
2437,20200301,"S37000018","45 - 64","","All","d",46,33.5,37.3
2438,20200301,"S37000018","65 - 74","","All","d",28,33,-15.2
2439,20200301,"S37000018","75 - 84","","All","d",42,22.5,86.7
2440,20200301,"S37000018","85 and over","","All","d",16,16.5,-3
2441,20200301,"S37000018","All ages","d","All","d",163,155,5.2
2442,20200301,"S37000018","All ages","d","Female","",61,79,-22.8
2443,20200301,"S37000018","All ages","d","Male","",102,76,34.2
2444,20200301,"S37000019","Under 5","","All","d",6,8,-25
2445,20200301,"S37000019","5 - 14","","All","d",6,6,0
2446,20200301,"S37000019","15 - 44","","All","d",40,30,33.3
2447,20200301,"S37000019","45 - 64","","All","d",40,35,14.3
2448,20200301,"S37000019","65 - 74","","All","d",32,35,-8.6
2449,20200301,"S37000019","75 - 84","","All","d",46,43,7
2450,20200301,"S37000019","85 and over","","All","d",19,31,-38.7
2451,20200301,"S37000019","All ages","d","All","d",189,188,0.5
2452,20200301,"S37000019","All ages","d","Female","",99,105.5,-6.2
2453,20200301,"S37000019","All ages","d","Male","",90,82.5,9.1
2454,20200301,"S37000020","Under 5","","All","d",13,12,8.3
2455,20200301,"S37000020","15 - 44","","All","d",78,76,2.6
2456,20200301,"S37000020","45 - 64","","All","d",84,82.5,1.8
2457,20200301,"S37000020","65 - 74","","All","d",73,58.5,24.8
2458,20200301,"S37000020","75 - 84","","All","d",81,83,-2.4
2459,20200301,"S37000020","85 and over","","All","d",50,51.5,-2.9
2460,20200301,"S37000020","All ages","d","All","d",383,372.5,2.8
2461,20200301,"S37000020","All ages","d","Female","",191,194,-1.5
2462,20200301,"S37000020","All ages","d","Male","",192,178.5,7.6
2463,20200301,"S37000022","45 - 64","","All","d",10,6.5,53.8
2464,20200301,"S37000022","65 - 74","","All","d",11,11.5,-4.3
2465,20200301,"S37000022","75 - 84","","All","d",7,6.5,7.7
2466,20200301,"S37000022","85 and over","","All","d",7,6.5,7.7
2467,20200301,"S37000022","All ages","d","All","d",41,39,5.1
2468,20200301,"S37000022","All ages","d","Female","",26,22,18.2
2469,20200301,"S37000022","All ages","d","Male","",15,17,-11.8
2470,20200301,"S37000024","Under 5","","All","d",9,13,-30.8
2471,20200301,"S37000024","5 - 14","","All","d",7,5,40
2472,20200301,"S37000024","15 - 44","","All","d",61,70.5,-13.5
2473,20200301,"S37000024","45 - 64","","All","d",106,76.5,38.6
2474,20200301,"S37000024","65 - 74","","All","d",46,58,-20.7
2475,20200301,"S37000024","75 - 84","","All","d",74,70.5,5
2476,20200301,"S37000024","85 and over","","All","d",47,53.5,-12.1
2477,20200301,"S37000024","All ages","d","All","d",350,347,0.9
2478,20200301,"S37000024","All ages","d","Female","",164,189.5,-13.5
2479,20200301,"S37000024","All ages","d","Male","",186,157.5,18.1
2480,20200301,"S37000025","Under 5","","All","d",6,7.5,-20
2481,20200301,"S37000025","15 - 44","","All","d",45,49,-8.2
2482,20200301,"S37000025","45 - 64","","All","d",53,41,29.3
2483,20200301,"S37000025","65 - 74","","All","d",44,44.5,-1.1
2484,20200301,"S37000025","75 - 84","","All","d",43,57.5,-25.2
2485,20200301,"S37000025","85 and over","","All","d",52,39.5,31.6
2486,20200301,"S37000025","All ages","d","All","d",247,242.5,1.9
2487,20200301,"S37000025","All ages","d","Female","",136,130,4.6
2488,20200301,"S37000025","All ages","d","Male","",111,112.5,-1.3
2489,20200301,"S37000026","15 - 44","","All","d",15,6,150
2490,20200301,"S37000026","45 - 64","","All","d",7,8.5,-17.6
2491,20200301,"S37000026","65 - 74","","All","d",16,12.5,28
2492,20200301,"S37000026","85 and over","","All","d",7,4,75
2493,20200301,"S37000026","All ages","d","All","d",48,41,17.1
2494,20200301,"S37000026","All ages","d","Female","",22,16,37.5
2495,20200301,"S37000026","All ages","d","Male","",26,25,4
2496,20200301,"S37000027","Under 5","","All","d",9,8.5,5.9
2497,20200301,"S37000027","15 - 44","","All","d",59,47.5,24.2
2498,20200301,"S37000027","45 - 64","","All","d",65,68.5,-5.1
2499,20200301,"S37000027","65 - 74","","All","d",39,48.5,-19.6
2500,20200301,"S37000027","75 - 84","","All","d",81,72.5,11.7
2501,20200301,"S37000027","85 and over","","All","d",48,42.5,12.9
2502,20200301,"S37000027","All ages","d","All","d",302,294,2.7
2503,20200301,"S37000027","All ages","d","Female","",178,147,21.1
2504,20200301,"S37000027","All ages","d","Male","",124,147,-15.6
2505,20200301,"S37000028","Under 5","","All","d",17,22.5,-24.4
2506,20200301,"S37000028","5 - 14","","All","d",14,15.5,-9.7
2507,20200301,"S37000028","15 - 44","","All","d",127,124.5,2
2508,20200301,"S37000028","45 - 64","","All","d",151,149,1.3
2509,20200301,"S37000028","65 - 74","","All","d",111,111.5,-0.4
2510,20200301,"S37000028","75 - 84","","All","d",113,122.5,-7.8
2511,20200301,"S37000028","85 and over","","All","d",92,90,2.2
2512,20200301,"S37000028","All ages","d","All","d",625,635.5,-1.7
2513,20200301,"S37000028","All ages","d","Female","",328,314.5,4.3
2514,20200301,"S37000028","All ages","d","Male","",297,321,-7.5
2515,20200301,"S37000029","Under 5","","All","d",6,9,-33.3
2516,20200301,"S37000029","15 - 44","","All","d",47,51.5,-8.7
2517,20200301,"S37000029","45 - 64","","All","d",47,50,-6
2518,20200301,"S37000029","65 - 74","","All","d",35,25,40
2519,20200301,"S37000029","75 - 84","","All","d",36,34,5.9
2520,20200301,"S37000029","85 and over","","All","d",23,26.5,-13.2
2521,20200301,"S37000029","All ages","d","All","d",196,199,-1.5
2522,20200301,"S37000029","All ages","d","Female","",99,100.5,-1.5
2523,20200301,"S37000029","All ages","d","Male","",97,98.5,-1.5
2524,20200301,"S37000030","Under 5","","All","d",13,24.5,-46.9
2525,20200301,"S37000030","5 - 14","","All","d",16,11.5,39.1
2526,20200301,"S37000030","15 - 44","","All","d",97,83,16.9
2527,20200301,"S37000030","45 - 64","","All","d",87,84.5,3
2528,20200301,"S37000030","65 - 74","","All","d",52,39,33.3
2529,20200301,"S37000030","75 - 84","","All","d",55,56.5,-2.7
2530,20200301,"S37000030","85 and over","","All","d",41,34,20.6
2531,20200301,"S37000030","All ages","d","All","d",361,333,8.4
2532,20200301,"S37000030","All ages","d","Female","",172,172,0
2533,20200301,"S37000030","All ages","d","Male","",189,161,17.4
2534,20200301,"S37000031","15 - 44","","All","d",10,3.5,185.7
2535,20200301,"S37000031","45 - 64","","All","d",10,22.5,-55.6
2536,20200301,"S37000031","65 - 74","","All","d",24,10,140
2537,20200301,"S37000031","75 - 84","","All","d",30,24.5,22.4
2538,20200301,"S37000031","85 and over","","All","d",22,13,69.2
2539,20200301,"S37000031","All ages","d","All","d",96,76.5,25.5
2540,20200301,"S37000031","All ages","d","Female","",53,38,39.5
2541,20200301,"S37000031","All ages","d","Male","",43,38.5,11.7
2542,20200301,"S37000032","Under 5","","All","d",27,33.5,-19.4
2543,20200301,"S37000032","5 - 14","","All","d",20,13,53.8
2544,20200301,"S37000032","15 - 44","","All","d",169,179.5,-5.8
2545,20200301,"S37000032","45 - 64","","All","d",182,180,1.1
2546,20200301,"S37000032","65 - 74","","All","d",130,135,-3.7
2547,20200301,"S37000032","75 - 84","","All","d",132,142,-7
2548,20200301,"S37000032","85 and over","","All","d",120,113.5,5.7
2549,20200301,"S37000032","All ages","d","All","d",780,796.5,-2.1
2550,20200301,"S37000032","All ages","d","Female","",407,408.5,-0.4
2551,20200301,"S37000032","All ages","d","Male","",373,388,-3.9
2552,20200301,"S37000033","Under 5","","All","d",12,7,71.4
2553,20200301,"S37000033","5 - 14","","All","d",5,4,25
2554,20200301,"S37000033","15 - 44","","All","d",47,58.5,-19.7
2555,20200301,"S37000033","45 - 64","","All","d",54,53.5,0.9
2556,20200301,"S37000033","65 - 74","","All","d",42,42.5,-1.2
2557,20200301,"S37000033","75 - 84","","All","d",67,55.5,20.7
2558,20200301,"S37000033","85 and over","","All","d",60,40.5,48.1
2559,20200301,"S37000033","All ages","d","All","d",287,261.5,9.8
2560,20200301,"S37000033","All ages","d","Female","",133,133.5,-0.4
2561,20200301,"S37000033","All ages","d","Male","",154,128,20.3
2562,20200301,"S37000034","Under 5","","All","d",25,52,-51.9
2563,20200301,"S37000034","5 - 14","","All","d",25,18,38.9
2564,20200301,"S37000034","15 - 44","","All","d",298,334.5,-10.9
2565,20200301,"S37000034","45 - 64","","All","d",369,324,13.9
2566,20200301,"S37000034","65 - 74","","All","d",178,183,-2.7
2567,20200301,"S37000034","75 - 84","","All","d",181,218.5,-17.2
2568,20200301,"S37000034","85 and over","","All","d",135,148,-8.8
2569,20200301,"S37000034","All ages","d","All","d",1211,1278.5,-5.3
2570,20200301,"S37000034","All ages","d","Female","",619,647,-4.3
2571,20200301,"S37000034","All ages","d","Male","",592,631.5,-6.3
2572,20200301,"S37000035","Under 5","","All","d",22,24,-8.3
2573,20200301,"S37000035","5 - 14","","All","d",11,20,-45
2574,20200301,"S37000035","15 - 44","","All","d",151,166,-9
2575,20200301,"S37000035","45 - 64","","All","d",187,182.5,2.5
2576,20200301,"S37000035","65 - 74","","All","d",115,116,-0.9
2577,20200301,"S37000035","75 - 84","","All","d",129,120.5,7.1
2578,20200301,"S37000035","85 and over","","All","d",95,80,18.8
2579,20200301,"S37000035","All ages","d","All","d",710,709,0.1
2580,20200301,"S37000035","All ages","d","Female","",385,371,3.8
2581,20200301,"S37000035","All ages","d","Male","",325,338,-3.8
2582,20200308,"S37000001","Under 5","","All","d",13,12,8.3
2583,20200308,"S37000001","5 - 14","","All","d",8,7.5,6.7
2584,20200308,"S37000001","15 - 44","","All","d",131,99.5,31.7
2585,20200308,"S37000001","45 - 64","","All","d",83,97,-14.4
2586,20200308,"S37000001","65 - 74","","All","d",91,58.5,55.6
2587,20200308,"S37000001","75 - 84","","All","d",64,62,3.2
2588,20200308,"S37000001","85 and over","","All","d",67,60.5,10.7
2589,20200308,"S37000001","All ages","d","All","d",457,397,15.1
2590,20200308,"S37000001","All ages","d","Female","",252,206.5,22
2591,20200308,"S37000001","All ages","d","Male","",205,190.5,7.6
2592,20200308,"S37000002","Under 5","","All","d",15,15,0
2593,20200308,"S37000002","5 - 14","","All","d",8,9.5,-15.8
2594,20200308,"S37000002","15 - 44","","All","d",79,81.5,-3.1
2595,20200308,"S37000002","45 - 64","","All","d",84,93.5,-10.2
2596,20200308,"S37000002","65 - 74","","All","d",70,88.5,-20.9
2597,20200308,"S37000002","75 - 84","","All","d",93,95.5,-2.6
2598,20200308,"S37000002","85 and over","","All","d",87,71,22.5
2599,20200308,"S37000002","All ages","d","All","d",436,454.5,-4.1
2600,20200308,"S37000002","All ages","d","Female","",240,231.5,3.7
2601,20200308,"S37000002","All ages","d","Male","",196,223,-12.1
2602,20200308,"S37000003","Under 5","","All","d",8,7,14.3
2603,20200308,"S37000003","5 - 14","","All","d",5,5,0
2604,20200308,"S37000003","15 - 44","","All","d",41,46.5,-11.8
2605,20200308,"S37000003","45 - 64","","All","d",32,43,-25.6
2606,20200308,"S37000003","65 - 74","","All","d",33,35.5,-7
2607,20200308,"S37000003","75 - 84","","All","d",64,57.5,11.3
2608,20200308,"S37000003","85 and over","","All","d",49,38,28.9
2609,20200308,"S37000003","All ages","d","All","d",232,232.5,-0.2
2610,20200308,"S37000003","All ages","d","Female","",126,115,9.6
2611,20200308,"S37000003","All ages","d","Male","",106,117.5,-9.8
2612,20200308,"S37000004","Under 5","","All","d",7,8,-12.5
2613,20200308,"S37000004","5 - 14","","All","d",5,3.5,42.9
2614,20200308,"S37000004","15 - 44","","All","d",44,38,15.8
2615,20200308,"S37000004","45 - 64","","All","d",54,56,-3.6
2616,20200308,"S37000004","65 - 74","","All","d",34,53,-35.8
2617,20200308,"S37000004","75 - 84","","All","d",61,57.5,6.1
2618,20200308,"S37000004","85 and over","","All","d",62,40,55
2619,20200308,"S37000004","All ages","d","All","d",267,256,4.3
2620,20200308,"S37000004","All ages","d","Female","",150,134,11.9
2621,20200308,"S37000004","All ages","d","Male","",117,122,-4.1
2622,20200308,"S37000005","Under 5","","All","d",8,8,0
2623,20200308,"S37000005","5 - 14","","All","d",7,6,16.7
2624,20200308,"S37000005","15 - 44","","All","d",58,68,-14.7
2625,20200308,"S37000005","45 - 64","","All","d",65,68.5,-5.1
17463,20210314,"S37000026","All ages","d","All","d",43,43,0
2626,20200308,"S37000005","65 - 74","","All","d",37,42.5,-12.9
2627,20200308,"S37000005","75 - 84","","All","d",48,52.5,-8.6
2628,20200308,"S37000005","85 and over","","All","d",51,30,70
2629,20200308,"S37000005","All ages","d","All","d",274,275.5,-0.5
2630,20200308,"S37000005","All ages","d","Female","",148,131.5,12.5
2631,20200308,"S37000005","All ages","d","Male","",126,144,-12.5
2632,20200308,"S37000006","Under 5","","All","d",7,9,-22.2
2633,20200308,"S37000006","15 - 44","","All","d",55,57,-3.5
2634,20200308,"S37000006","45 - 64","","All","d",70,58,20.7
2635,20200308,"S37000006","65 - 74","","All","d",58,50,16
2636,20200308,"S37000006","75 - 84","","All","d",87,85,2.4
2637,20200308,"S37000006","85 and over","","All","d",71,71,0
2638,20200308,"S37000006","All ages","d","All","d",352,335,5.1
2639,20200308,"S37000006","All ages","d","Female","",176,180.5,-2.5
2640,20200308,"S37000006","All ages","d","Male","",176,154.5,13.9
2641,20200308,"S37000007","Under 5","","All","d",6,6.5,-7.7
2642,20200308,"S37000007","5 - 14","","All","d",6,8.5,-29.4
2643,20200308,"S37000007","15 - 44","","All","d",84,75,12
2644,20200308,"S37000007","45 - 64","","All","d",75,88.5,-15.3
2645,20200308,"S37000007","65 - 74","","All","d",50,51.5,-2.9
2646,20200308,"S37000007","75 - 84","","All","d",59,58.5,0.9
2647,20200308,"S37000007","85 and over","","All","d",40,37,8.1
2648,20200308,"S37000007","All ages","d","All","d",320,325.5,-1.7
2649,20200308,"S37000007","All ages","d","Female","",158,164,-3.7
2650,20200308,"S37000007","All ages","d","Male","",162,161.5,0.3
2651,20200308,"S37000008","Under 5","","All","d",9,12,-25
2652,20200308,"S37000008","5 - 14","","All","d",8,7.5,6.7
2653,20200308,"S37000008","15 - 44","","All","d",63,65.5,-3.8
2654,20200308,"S37000008","45 - 64","","All","d",68,72,-5.6
2655,20200308,"S37000008","65 - 74","","All","d",50,54.5,-8.3
2656,20200308,"S37000008","75 - 84","","All","d",55,67,-17.9
2657,20200308,"S37000008","85 and over","","All","d",39,35.5,9.9
2658,20200308,"S37000008","All ages","d","All","d",292,314,-7
2659,20200308,"S37000008","All ages","d","Female","",142,158,-10.1
2660,20200308,"S37000008","All ages","d","Male","",150,156,-3.8
2661,20200308,"S37000009","Under 5","","All","d",11,6,83.3
2662,20200308,"S37000009","5 - 14","","All","d",5,4.5,11.1
2663,20200308,"S37000009","15 - 44","","All","d",21,29,-27.6
2664,20200308,"S37000009","45 - 64","","All","d",26,44,-40.9
2665,20200308,"S37000009","65 - 74","","All","d",23,31,-25.8
2666,20200308,"S37000009","75 - 84","","All","d",53,45.5,16.5
2667,20200308,"S37000009","85 and over","","All","d",30,43.5,-31
2668,20200308,"S37000009","All ages","d","All","d",169,203.5,-17
2669,20200308,"S37000009","All ages","d","Female","",98,103,-4.9
2670,20200308,"S37000009","All ages","d","Male","",71,100.5,-29.4
2671,20200308,"S37000010","Under 5","","All","d",12,10,20
2672,20200308,"S37000010","15 - 44","","All","d",41,38.5,6.5
2673,20200308,"S37000010","45 - 64","","All","d",47,41,14.6
2674,20200308,"S37000010","65 - 74","","All","d",32,23.5,36.2
2675,20200308,"S37000010","75 - 84","","All","d",42,39.5,6.3
2676,20200308,"S37000010","85 and over","","All","d",36,21,71.4
2677,20200308,"S37000010","All ages","d","All","d",214,177,20.9
2678,20200308,"S37000010","All ages","d","Female","",112,97.5,14.9
2679,20200308,"S37000010","All ages","d","Male","",102,79.5,28.3
2680,20200308,"S37000011","15 - 44","","All","d",18,23.5,-23.4
2681,20200308,"S37000011","45 - 64","","All","d",33,34.5,-4.3
2682,20200308,"S37000011","65 - 74","","All","d",14,25,-44
2683,20200308,"S37000011","75 - 84","","All","d",33,29.5,11.9
2684,20200308,"S37000011","85 and over","","All","d",29,32.5,-10.8
2685,20200308,"S37000011","All ages","d","All","d",130,151.5,-14.2
2686,20200308,"S37000011","All ages","d","Female","",72,80,-10
2687,20200308,"S37000011","All ages","d","Male","",58,71.5,-18.9
2688,20200308,"S37000012","Under 5","","All","d",25,32,-21.9
2689,20200308,"S37000012","5 - 14","","All","d",26,15.5,67.7
2690,20200308,"S37000012","15 - 44","","All","d",215,225.5,-4.7
2691,20200308,"S37000012","45 - 64","","All","d",206,195,5.6
