"id","date","hb","hb_name","daily_positive","cumulative_positive","crude_rate_positive","crude_rate7day_positive","daily_deaths","cumulative_deaths","crude_rate_deaths","daily_negative","cumulative_negative","crude_rate_negative","total_tests","positive_tests","positive_percentage","positive_percentage7day","total_pillar1","total_pillar2","hospital_admissions","hospital_admissions_qf","icu_admissions","icu_admissions_qf","positive_pillar1","positive_pillar2"
2965,20200913,"S08000019","NHS Forth Valley",7,1246,407.282711731442,11.7673977707319,0,135,44.1277416402445,204,26490,8658.84352629687,420,9,2.14285714285714,0.696753760886778,188,232,NA,":",NA,":",1,8
2966,20200913,"S08000020","NHS Grampian",7,2003,342.071556656135,6.83118435658782,0,155,26.4708393817778,383,57359,9795.74758773802,720,10,1.38888888888889,0.486084635913077,343,377,NA,":",NA,":",1,9
2967,20200913,"S08000022","NHS Highland",5,515,160.506139749423,11.5315090693761,0,65,20.2580564732282,185,28080,8751.48039643458,341,5,1.46627565982405,0.635658914728682,123,218,NA,":",NA,":",0,5
2968,20200913,"S08000024","NHS Lothian",22,3653,400.333154335938,17.8632094598297,0,490,53.6992186215739,540,77651,8509.79188813028,1141,34,2.97984224364592,1.22045220966084,372,769,NA,":",NA,":",1,33
2969,20200913,"S08000025","NHS Orkney",0,18,80.3571428571429,0,0,1,4.46428571428571,12,1574,7026.78571428571,20,0,0,0,19,1,NA,":",NA,":",0,0
2970,20200913,"S08000026","NHS Shetland",0,57,249.23480542195,4.37254044599913,0,5,21.8627022299956,22,2468,10791.4298207258,70,0,0,0.169204737732657,26,44,NA,":",NA,":",0,0
2971,20200913,"S08000028","NHS Western Isles",0,9,33.9622641509434,0,0,0,0,8,1860,7018.8679245283,16,0,0,0,13,3,NA,":",NA,":",0,0
2972,20200913,"S08000029","NHS Fife",2,1054,281.720257664448,6.94945607141903,0,126,33.6781332691845,173,30931,8267.44714404084,389,2,0.51413881748072,0.449612403100775,188,201,NA,":",NA,":",0,2
2973,20200913,"S08000030","NHS Tayside",9,2219,532.709158564398,8.64241987756572,0,209,50.1740487336454,191,40243,9661.02508702437,401,9,2.24438902743142,0.51931602279924,235,166,NA,":",NA,":",0,9
2974,20200913,"S08000031","NHS Greater Glasgow and Clyde",69,6639,560.139718538018,47.7540413755864,0,755,63.7001788667274,662,114638,9672.13391380649,1944,75,3.85802469135802,2.47874821334537,784,1160,NA,":",NA,":",4,71
2975,20200913,"S08000032","NHS Lanarkshire",31,3446,520.575261345096,43.0539609644087,1,362,54.6860837512841,378,60870,9195.41966281951,932,31,3.32618025751073,2.13995292103574,308,624,NA,":",NA,":",3,28
2976,20200913,"S92000003","Scotland",166,23086,422.356384924991,23.5821441639224,1,2557,46.7800951335529,3090,497678,9104.97621661178,7300,191,2.61643835616438,1.38007790762382,3095,4205,12,"",0,"",11,180
2977,20200914,"S08000015","NHS Ayrshire and Arran",10,1499,407.34802576157,18.4787630098644,0,175,47.5556400989157,286,31624,8593.71178564635,1101,10,0.908265213442325,1.02278612118074,425,676,NA,":",NA,":",3,7
2978,20200914,"S08000016","NHS Borders",1,398,345.366192294342,13.8840680319334,0,39,33.8424158278376,96,10187,8839.81256508157,475,8,1.68421052631579,1.81034482758621,173,302,NA,":",NA,":",2,6
2979,20200914,"S08000017","NHS Dumfries and Galloway",2,343,231.303526873019,12.1383775035404,0,40,26.9741722300897,132,14217,9587.29516487963,369,3,0.813008130081301,0.682360968952576,215,154,NA,":",NA,":",2,1
2980,20200914,"S08000019","NHS Forth Valley",3,1249,408.263328212336,11.1136534501357,0,135,44.1277416402445,325,26815,8765.07697839375,1262,4,0.316957210776545,0.637887553775404,365,897,NA,":",NA,":",0,4
2981,20200914,"S08000020","NHS Grampian",9,2012,343.608573136368,8.02664161899069,1,156,26.6416189906925,535,57894,9887.11467850739,1620,9,0.555555555555556,0.549138420753645,614,1006,NA,":",NA,":",2,7
2982,20200914,"S08000022","NHS Highland",6,521,162.376114193106,13.4014835130587,0,65,20.2580564732282,285,28365,8840.30418250951,935,6,0.641711229946524,0.740274058906914,384,551,NA,":",NA,":",3,3
2983,20200914,"S08000024","NHS Lothian",29,3682,403.511271356398,17.9727997019145,0,490,53.6992186215739,746,78397,8591.54620872558,2578,31,1.20248254460822,1.19756644252321,741,1837,NA,":",NA,":",4,27
2984,20200914,"S08000025","NHS Orkney",0,18,80.3571428571429,0,0,1,4.46428571428571,20,1594,7116.07142857143,56,0,0,0,34,22,NA,":",NA,":",0,0
2985,20200914,"S08000026","NHS Shetland",0,57,249.23480542195,4.37254044599913,0,5,21.8627022299956,41,2509,10970.7039790118,188,0,0,0.165562913907285,40,148,NA,":",NA,":",0,0
2986,20200914,"S08000028","NHS Western Isles",0,9,33.9622641509434,0,0,0,0,22,1882,7101.88679245283,78,0,0,0,33,45,NA,":",NA,":",0,0
2987,20200914,"S08000029","NHS Fife",3,1057,282.522117980381,6.14759575548606,0,126,33.6781332691845,284,31215,8343.35658728249,912,3,0.328947368421053,0.391052713905835,276,636,NA,":",NA,":",1,2
3061,20200919,"S08000028","NHS Western Isles",0,10,37.7358490566038,3.77358490566038,0,0,0,4,1942,7328.30188679245,10,0,0,0.224215246636771,9,1,NA,":",NA,":",0,0
2988,20200914,"S08000030","NHS Tayside",4,2223,533.669427439683,8.64241987756572,0,209,50.1740487336454,355,40598,9746.24894970592,1007,5,0.496524329692155,0.499615680245965,458,549,NA,":",NA,":",1,4
2989,20200914,"S08000031","NHS Greater Glasgow and Clyde",79,6718,566.805035267119,46.7415882015457,0,755,63.7001788667274,1151,115789,9769.24504741656,4301,87,2.02278539874448,2.41389682659046,1742,2559,NA,":",NA,":",15,72
2990,20200914,"S08000032","NHS Lanarkshire",31,3477,525.258323765786,44.5646262614055,2,364,54.9882168106834,636,61506,9291.4979757085,2131,33,1.5485687470671,2.20715522215811,906,1225,NA,":",NA,":",5,28
2991,20200914,"S92000003","Scotland",177,23263,425.594584705452,23.7650933040615,3,2560,46.8349798755946,4914,502592,9194.87742407611,17016,199,1.16948754113775,1.37497345165431,6406,10610,20,"",0,"",38,161
2992,20200915,"S08000015","NHS Ayrshire and Arran",9,1508,409.793744395228,18.4787630098644,0,175,47.5556400989157,295,31919,8673.87700752738,1544,10,0.647668393782383,0.988342625443487,456,1088,NA,":",NA,":",4,6
2993,20200915,"S08000016","NHS Borders",0,398,345.366192294342,11.2808052759459,0,39,33.8424158278376,74,10261,8904.02637972926,400,7,1.75,1.89925681255161,130,270,NA,":",NA,":",0,7
2994,20200915,"S08000017","NHS Dumfries and Galloway",1,344,231.977881178771,10.7896688920359,0,40,26.9741722300897,120,14337,9668.2176815699,511,1,0.195694716242661,0.644930132568972,231,280,NA,":",NA,":",1,0
2995,20200915,"S08000019","NHS Forth Valley",11,1260,411.858921975615,14.0555028928186,0,135,44.1277416402445,253,27068,8847.77563494917,1419,12,0.845665961945032,0.763688760806917,547,872,NA,":",NA,":",1,11
2996,20200915,"S08000020","NHS Grampian",3,2015,344.120911963112,7.6850824011613,0,156,26.6416189906925,426,58320,9959.86679190505,2200,4,0.181818181818182,0.541002277904328,646,1554,NA,":",NA,":",0,4
2997,20200915,"S08000022","NHS Highland",9,530,165.18107585863,15.5831203640217,0,65,20.2580564732282,336,28701,8945.02275135573,1392,11,0.790229885057471,0.8688906128782,350,1042,NA,":",NA,":",0,11
2998,20200915,"S08000024","NHS Lothian",46,3728,408.552422492301,22.2468191432235,0,490,53.6992186215739,715,79112,8669.90323181624,3082,51,1.65476963011032,1.45493481136235,784,2298,NA,":",NA,":",7,44
