id,week_ending,hb,hbqf,age_group,age_group_qf,sex,sex_qf,admission_type,admission_type_qf,number_admissions,average20182019,percent_variation
88,20200105,S08000028,,85 and over,,All,d,All,d,13,14,-7.1
89,20200105,S08000028,,All ages,d,All,d,All,d,66,86,-23.3
90,20200105,S08000028,,All ages,d,Female,,All,d,30,43.5,-31
91,20200105,S08000028,,All ages,d,Male,,All,d,34,41.5,-18.1
92,20200105,S08000029,,Under 5,,All,d,All,d,73,77,-5.2
93,20200105,S08000029,,5 - 14,,All,d,All,d,21,22.5,-6.7
94,20200105,S08000029,,15 - 44,,All,d,All,d,175,172,1.7
95,20200105,S08000029,,45 - 64,,All,d,All,d,193,210.5,-8.3
96,20200105,S08000029,,65 - 74,,All,d,All,d,162,155.5,4.2
97,20200105,S08000029,,75 - 84,,All,d,All,d,174,158,10.1
98,20200105,S08000029,,85 and over,,All,d,All,d,116,109,6.4
99,20200105,S08000029,,All ages,d,All,d,All,d,914,904.5,1.1
100,20200105,S08000029,,All ages,d,Female,,All,d,445,435.5,2.2
101,20200105,S08000029,,All ages,d,Male,,All,d,461,464,-0.6
102,20200105,S08000030,,Under 5,,All,d,All,d,75,98.5,-23.9
103,20200105,S08000030,,5 - 14,,All,d,All,d,40,42.5,-5.9
104,20200105,S08000030,,15 - 44,,All,d,All,d,209,193.5,8
105,20200105,S08000030,,45 - 64,,All,d,All,d,233,241.5,-3.5
106,20200105,S08000030,,65 - 74,,All,d,All,d,182,194.5,-6.4
107,20200105,S08000030,,75 - 84,,All,d,All,d,227,230,-1.3
108,20200105,S08000030,,85 and over,,All,d,All,d,173,173,0
109,20200105,S08000030,,All ages,d,All,d,All,d,1139,1173.5,-2.9
110,20200105,S08000030,,All ages,d,Female,,All,d,578,610,-5.2
111,20200105,S08000030,,All ages,d,Male,,All,d,549,562,-2.3
112,20200105,S08000031,,Under 5,,All,d,All,d,256,298,-14.1
113,20200105,S08000031,,5 - 14,,All,d,All,d,138,122,13.1
114,20200105,S08000031,,15 - 44,,All,d,All,d,732,666,9.9
115,20200105,S08000031,,45 - 64,,All,d,All,d,899,912,-1.4
116,20200105,S08000031,,65 - 74,,All,d,All,d,565,600,-5.8
117,20200105,S08000031,,75 - 84,,All,d,All,d,606,667.5,-9.2
118,20200105,S08000031,,85 and over,,All,d,All,d,396,434,-8.8
119,20200105,S08000031,,All ages,d,All,d,All,d,3592,3699.5,-2.9
120,20200105,S08000031,,All ages,d,Female,,All,d,1789,1858.5,-3.7
121,20200105,S08000031,,All ages,d,Male,,All,d,1750,1795,-2.5
122,20200105,S08000032,,Under 5,,All,d,All,d,163,189.5,-14
123,20200105,S08000032,,5 - 14,,All,d,All,d,45,33,36.4
124,20200105,S08000032,,15 - 44,,All,d,All,d,294,300.5,-2.2
125,20200105,S08000032,,45 - 64,,All,d,All,d,385,404,-4.7
126,20200105,S08000032,,65 - 74,,All,d,All,d,312,269.5,15.8
127,20200105,S08000032,,75 - 84,,All,d,All,d,287,304.5,-5.7
128,20200105,S08000032,,85 and over,,All,d,All,d,154,146.5,5.1
129,20200105,S08000032,,All ages,d,All,d,All,d,1640,1647.5,-0.5
130,20200105,S08000032,,All ages,d,Female,,All,d,753,799,-5.8
131,20200105,S08000032,,All ages,d,Male,,All,d,805,794.5,1.3
132,20200105,S92000003,d,Under 5,,All,d,All,d,1088,1201.5,-9.4
133,20200105,S92000003,d,5 - 14,,All,d,All,d,462,436.5,5.8
134,20200105,S92000003,d,15 - 44,,All,d,All,d,2635,2572,2.4
135,20200105,S92000003,d,45 - 64,,All,d,All,d,3273,3339,-2
136,20200105,S92000003,d,65 - 74,,All,d,All,d,2335,2437,-4.2
137,20200105,S92000003,d,75 - 84,,All,d,All,d,2515,2710,-7.2
138,20200105,S92000003,d,85 and over,,All,d,All,d,1636,1786,-8.4
139,20200105,S92000003,d,All ages,d,All,d,All,d,13944,14482,-3.7
140,20200105,S92000003,d,All ages,d,Female,,All,d,6874,7177.5,-4.2
