id,week_ending,hb,hbqf,age_group,age_group_qf,sex,sex_qf,sas_incidents,average20182019,percent_variation
99,20200105,S08000030,,Under 5,,All,d,26,29,-10.3
100,20200105,S08000030,,5 - 14,,All,d,10,7,42.9
101,20200105,S08000030,,15 - 44,,All,d,216,206.5,4.6
102,20200105,S08000030,,45 - 64,,All,d,191,198.5,-3.8
103,20200105,S08000030,,65 - 74,,All,d,151,157,-3.8
104,20200105,S08000030,,75 - 84,,All,d,212,199.5,6.3
105,20200105,S08000030,,85 and over,,All,d,183,175,4.6
106,20200105,S08000030,,All ages,d,All,d,1026,1017.5,0.8
107,20200105,S08000030,,All ages,d,Female,,478,486.5,-1.7
108,20200105,S08000030,,All ages,d,Male,,476,456.5,4.3
109,20200105,S08000031,,Under 5,,All,d,63,81,-22.2
110,20200105,S08000031,,5 - 14,,All,d,34,41.5,-18.1
111,20200105,S08000031,,15 - 44,,All,d,558,600.5,-7.1
112,20200105,S08000031,,45 - 64,,All,d,663,668,-0.7
113,20200105,S08000031,,65 - 74,,All,d,387,430,-10
114,20200105,S08000031,,75 - 84,,All,d,460,544,-15.4
115,20200105,S08000031,,85 and over,,All,d,341,398.5,-14.4
116,20200105,S08000031,,All ages,d,All,d,2698,2962,-8.9
117,20200105,S08000031,,All ages,d,Female,,1216,1390.5,-12.5
118,20200105,S08000031,,All ages,d,Male,,1170,1268.5,-7.8
119,20200105,S08000032,,Under 5,,All,d,35,51,-31.4
120,20200105,S08000032,,5 - 14,,All,d,25,10.5,138.1
121,20200105,S08000032,,15 - 44,,All,d,291,296,-1.7
122,20200105,S08000032,,45 - 64,,All,d,372,352,5.7
123,20200105,S08000032,,65 - 74,,All,d,266,269.5,-1.3
124,20200105,S08000032,,75 - 84,,All,d,305,320,-4.7
125,20200105,S08000032,,85 and over,,All,d,182,214,-15
126,20200105,S08000032,,All ages,d,All,d,1553,1582,-1.8
127,20200105,S08000032,,All ages,d,Female,,759,779,-2.6
128,20200105,S08000032,,All ages,d,Male,,659,693,-4.9
129,20200105,S92000003,d,Under 5,,All,d,360,390.5,-7.8
130,20200105,S92000003,d,5 - 14,,All,d,154,158.5,-2.8
131,20200105,S92000003,d,15 - 44,,All,d,2606,2689.5,-3.1
132,20200105,S92000003,d,45 - 64,,All,d,2854,2869.5,-0.5
133,20200105,S92000003,d,65 - 74,,All,d,2005,2054.5,-2.4
134,20200105,S92000003,d,75 - 84,,All,d,2435,2504.5,-2.8
135,20200105,S92000003,d,85 and over,,All,d,1869,1902.5,-1.8
136,20200105,S92000003,d,All ages,d,All,d,13034,13281,-1.9
137,20200105,S92000003,d,All ages,d,Female,,6124,6274,-2.4
138,20200105,S92000003,d,All ages,d,Male,,5621,5806.5,-3.2
139,20200112,S08000015,,Under 5,,All,d,22,25.5,-13.7
140,20200112,S08000015,,5 - 14,,All,d,13,12,8.3
141,20200112,S08000015,,15 - 44,,All,d,180,196,-8.2
142,20200112,S08000015,,45 - 64,,All,d,215,229.5,-6.3
143,20200112,S08000015,,65 - 74,,All,d,154,192,-19.8
144,20200112,S08000015,,75 - 84,,All,d,200,230,-13
145,20200112,S08000015,,85 and over,,All,d,162,138.5,17
146,20200112,S08000015,,All ages,d,All,d,987,1064,-7.2
147,20200112,S08000015,,All ages,d,Female,,512,537.5,-4.7
148,20200112,S08000015,,All ages,d,Male,,405,462.5,-12.4
149,20200112,S08000016,,15 - 44,,All,d,51,45,13.3
150,20200112,S08000016,,45 - 64,,All,d,54,55.5,-2.7
151,20200112,S08000016,,65 - 74,,All,d,46,54,-14.8
152,20200112,S08000016,,75 - 84,,All,d,81,67.5,20
153,20200112,S08000016,,85 and over,,All,d,42,59.5,-29.4
154,20200112,S08000016,,All ages,d,All,d,288,299.5,-3.8
155,20200112,S08000016,,All ages,d,Female,,148,146.5,1
156,20200112,S08000016,,All ages,d,Male,,117,136.5,-14.3
157,20200112,S08000017,,Under 5,,All,d,5,9,-44.4
158,20200112,S08000017,,5 - 14,,All,d,6,3.5,71.4
159,20200112,S08000017,,15 - 44,,All,d,52,62,-16.1
160,20200112,S08000017,,45 - 64,,All,d,73,60.5,20.7
161,20200112,S08000017,,65 - 74,,All,d,77,75.5,2
162,20200112,S08000017,,75 - 84,,All,d,90,97.5,-7.7
163,20200112,S08000017,,85 and over,,All,d,69,72,-4.2
164,20200112,S08000017,,All ages,d,All,d,390,393,-0.8
165,20200112,S08000017,,All ages,d,Female,,196,182.5,7.4
166,20200112,S08000017,,All ages,d,Male,,160,182.5,-12.3
167,20200112,S08000019,,Under 5,,All,d,11,18,-38.9
168,20200112,S08000019,,5 - 14,,All,d,10,14,-28.6
169,20200112,S08000019,,15 - 44,,All,d,128,114.5,11.8
170,20200112,S08000019,,45 - 64,,All,d,145,127,14.2
171,20200112,S08000019,,65 - 74,,All,d,95,89,6.7
172,20200112,S08000019,,75 - 84,,All,d,122,132.5,-7.9
173,20200112,S08000019,,85 and over,,All,d,80,93,-14
174,20200112,S08000019,,All ages,d,All,d,619,619.5,-0.1
175,20200112,S08000019,,All ages,d,Female,,280,291,-3.8
176,20200112,S08000019,,All ages,d,Male,,294,275.5,6.7
177,20200112,S08000020,,Under 5,,All,d,30,36,-16.7
178,20200112,S08000020,,5 - 14,,All,d,16,22,-27.3
179,20200112,S08000020,,15 - 44,,All,d,216,233.5,-7.5
180,20200112,S08000020,,45 - 64,,All,d,209,239,-12.6
181,20200112,S08000020,,65 - 74,,All,d,168,168.5,-0.3
182,20200112,S08000020,,75 - 84,,All,d,236,238.5,-1
183,20200112,S08000020,,85 and over,,All,d,182,176.5,3.1
184,20200112,S08000020,,All ages,d,All,d,1105,1164.5,-5.1
185,20200112,S08000020,,All ages,d,Female,,530,556,-4.7
186,20200112,S08000020,,All ages,d,Male,,493,519.5,-5.1
187,20200112,S08000022,,Under 5,,All,d,28,22,27.3
188,20200112,S08000022,,5 - 14,,All,d,9,8.5,5.9
189,20200112,S08000022,,15 - 44,,All,d,137,131,4.6
190,20200112,S08000022,,45 - 64,,All,d,173,151.5,14.2
191,20200112,S08000022,,65 - 74,,All,d,147,122,20.5
192,20200112,S08000022,,75 - 84,,All,d,185,167,10.8
193,20200112,S08000022,,85 and over,,All,d,151,141,7.1
194,20200112,S08000022,,All ages,d,All,d,870,791,10
195,20200112,S08000022,,All ages,d,Female,,411,376,9.3
196,20200112,S08000022,,All ages,d,Male,,381,332.5,14.6
197,20200112,S08000024,,Under 5,,All,d,60,75,-20
198,20200112,S08000024,,5 - 14,,All,d,25,22,13.6
199,20200112,S08000024,,15 - 44,,All,d,362,380,-4.7
200,20200112,S08000024,,45 - 64,,All,d,390,402,-3
201,20200112,S08000024,,65 - 74,,All,d,226,231.5,-2.4
202,20200112,S08000024,,75 - 84,,All,d,298,277,7.6
203,20200112,S08000024,,85 and over,,All,d,221,226,-2.2
204,20200112,S08000024,,All ages,d,All,d,1673,1701,-1.6
205,20200112,S08000024,,All ages,d,Female,,803,791,1.5
206,20200112,S08000024,,All ages,d,Male,,709,752,-5.7
207,20200112,S08000025,,15 - 44,,All,d,5,6.5,-23.1
208,20200112,S08000025,,45 - 64,,All,d,10,6,66.7
209,20200112,S08000025,,65 - 74,,All,d,6,7.5,-20
210,20200112,S08000025,,75 - 84,,All,d,17,9.5,78.9
211,20200112,S08000025,,85 and over,,All,d,8,5.5,45.5
212,20200112,S08000025,,All ages,d,All,d,49,39,25.6
213,20200112,S08000025,,All ages,d,Female,,31,20.5,51.2
214,20200112,S08000025,,All ages,d,Male,,16,16,0
215,20200112,S08000026,,15 - 44,,All,d,6,5.5,9.1
216,20200112,S08000026,,65 - 74,,All,d,7,7.5,-6.7
217,20200112,S08000026,,75 - 84,,All,d,6,10.5,-42.9
218,20200112,S08000026,,85 and over,,All,d,6,7,-14.3
219,20200112,S08000026,,All ages,d,All,d,35,41,-14.6
