id,week_ending,hb,hbqf,age_group,age_group_qf,sex,sex_qf,sas_incidents,average20182019,percent_variation
978,20200216,S92000003,d,65 - 74,,All,d,1873,1816,3.1
979,20200216,S92000003,d,75 - 84,,All,d,2175,2282.5,-4.7
980,20200216,S92000003,d,85 and over,,All,d,1671,1666.5,0.3
981,20200216,S92000003,d,All ages,d,All,d,11860,12388.5,-4.3
982,20200216,S92000003,d,All ages,d,Female,,5659,5887,-3.9
983,20200216,S92000003,d,All ages,d,Male,,5167,5468.5,-5.5
984,20200223,S08000015,,Under 5,,All,d,20,31.5,-36.5
985,20200223,S08000015,,5 - 14,,All,d,16,18.5,-13.5
986,20200223,S08000015,,15 - 44,,All,d,213,199.5,6.8
987,20200223,S08000015,,45 - 64,,All,d,192,195.5,-1.8
988,20200223,S08000015,,65 - 74,,All,d,143,170,-15.9
989,20200223,S08000015,,75 - 84,,All,d,210,200.5,4.7
990,20200223,S08000015,,85 and over,,All,d,144,117,23.1
991,20200223,S08000015,,All ages,d,All,d,971,970,0.1
992,20200223,S08000015,,All ages,d,Female,,491,476,3.2
993,20200223,S08000015,,All ages,d,Male,,414,420,-1.4
994,20200223,S08000016,,Under 5,,All,d,6,3.5,71.4
995,20200223,S08000016,,15 - 44,,All,d,38,49,-22.4
996,20200223,S08000016,,45 - 64,,All,d,65,49.5,31.3
997,20200223,S08000016,,65 - 74,,All,d,50,45,11.1
998,20200223,S08000016,,75 - 84,,All,d,64,57.5,11.3
999,20200223,S08000016,,85 and over,,All,d,53,46,15.2
1000,20200223,S08000016,,All ages,d,All,d,291,263,10.6
1001,20200223,S08000016,,All ages,d,Female,,116,135,-14.1
1002,20200223,S08000016,,All ages,d,Male,,146,111,31.5
1003,20200223,S08000017,,Under 5,,All,d,5,11,-54.5
1004,20200223,S08000017,,15 - 44,,All,d,62,64,-3.1
1005,20200223,S08000017,,45 - 64,,All,d,72,74,-2.7
1006,20200223,S08000017,,65 - 74,,All,d,61,75,-18.7
1007,20200223,S08000017,,75 - 84,,All,d,98,91.5,7.1
1008,20200223,S08000017,,85 and over,,All,d,70,63.5,10.2
1009,20200223,S08000017,,All ages,d,All,d,380,397.5,-4.4
1010,20200223,S08000017,,All ages,d,Female,,176,183.5,-4.1
1011,20200223,S08000017,,All ages,d,Male,,177,193,-8.3
1012,20200223,S08000019,,Under 5,,All,d,17,21,-19
1013,20200223,S08000019,,5 - 14,,All,d,6,11.5,-47.8
1014,20200223,S08000019,,15 - 44,,All,d,119,125,-4.8
1015,20200223,S08000019,,45 - 64,,All,d,144,150.5,-4.3
1016,20200223,S08000019,,65 - 74,,All,d,95,100,-5
1017,20200223,S08000019,,75 - 84,,All,d,91,124,-26.6
1018,20200223,S08000019,,85 and over,,All,d,72,74.5,-3.4
1019,20200223,S08000019,,All ages,d,All,d,577,634,-9
1020,20200223,S08000019,,All ages,d,Female,,268,284.5,-5.8
1021,20200223,S08000019,,All ages,d,Male,,254,297.5,-14.6
1022,20200223,S08000020,,Under 5,,All,d,43,32.5,32.3
1023,20200223,S08000020,,5 - 14,,All,d,17,22.5,-24.4
1024,20200223,S08000020,,15 - 44,,All,d,231,265,-12.8
1025,20200223,S08000020,,45 - 64,,All,d,242,228,6.1
1026,20200223,S08000020,,65 - 74,,All,d,168,163,3.1
1027,20200223,S08000020,,75 - 84,,All,d,220,191,15.2
1028,20200223,S08000020,,85 and over,,All,d,188,167,12.6
1029,20200223,S08000020,,All ages,d,All,d,1150,1118,2.9
1030,20200223,S08000020,,All ages,d,Female,,563,547.5,2.8
1031,20200223,S08000020,,All ages,d,Male,,505,488,3.5
1032,20200223,S08000022,,Under 5,,All,d,29,22,31.8
1033,20200223,S08000022,,5 - 14,,All,d,8,20,-60
1034,20200223,S08000022,,15 - 44,,All,d,157,158.5,-0.9
1035,20200223,S08000022,,45 - 64,,All,d,179,160.5,11.5
1036,20200223,S08000022,,65 - 74,,All,d,122,127.5,-4.3
1037,20200223,S08000022,,75 - 84,,All,d,160,157.5,1.6
1038,20200223,S08000022,,85 and over,,All,d,135,142.5,-5.3
1039,20200223,S08000022,,All ages,d,All,d,845,841.5,0.4
1040,20200223,S08000022,,All ages,d,Female,,370,401,-7.7
1041,20200223,S08000022,,All ages,d,Male,,373,341,9.4
1042,20200223,S08000024,,Under 5,,All,d,54,56.5,-4.4
1043,20200223,S08000024,,5 - 14,,All,d,40,36.5,9.6
1044,20200223,S08000024,,15 - 44,,All,d,410,414.5,-1.1
1045,20200223,S08000024,,45 - 64,,All,d,362,388.5,-6.8
1046,20200223,S08000024,,65 - 74,,All,d,254,224,13.4
1047,20200223,S08000024,,75 - 84,,All,d,276,245.5,12.4
1048,20200223,S08000024,,85 and over,,All,d,214,185.5,15.4
1049,20200223,S08000024,,All ages,d,All,d,1722,1665,3.4
1050,20200223,S08000024,,All ages,d,Female,,817,744.5,9.7
1051,20200223,S08000024,,All ages,d,Male,,713,724.5,-1.6
1052,20200223,S08000025,,Under 5,,All,d,7,1,600
1053,20200223,S08000025,,15 - 44,,All,d,7,6.5,7.7
1054,20200223,S08000025,,45 - 64,,All,d,8,6.5,23.1
1055,20200223,S08000025,,65 - 74,,All,d,6,10.5,-42.9
1056,20200223,S08000025,,75 - 84,,All,d,16,6.5,146.2
1057,20200223,S08000025,,85 and over,,All,d,10,6,66.7
1058,20200223,S08000025,,All ages,d,All,d,57,39,46.2
1059,20200223,S08000025,,All ages,d,Female,,32,19.5,64.1
1060,20200223,S08000025,,All ages,d,Male,,17,17,0
1061,20200223,S08000026,,15 - 44,,All,d,12,9,33.3
1062,20200223,S08000026,,45 - 64,,All,d,10,3.5,185.7
1063,20200223,S08000026,,65 - 74,,All,d,5,8,-37.5
1064,20200223,S08000026,,75 - 84,,All,d,6,5.5,9.1
1065,20200223,S08000026,,85 and over,,All,d,10,6.5,53.8
1066,20200223,S08000026,,All ages,d,All,d,45,35,28.6
1067,20200223,S08000026,,All ages,d,Female,,23,13.5,70.4
1068,20200223,S08000026,,All ages,d,Male,,17,16.5,3
1069,20200223,S08000028,,15 - 44,,All,d,8,4.5,77.8
1070,20200223,S08000028,,45 - 64,,All,d,18,9.5,89.5
1071,20200223,S08000028,,65 - 74,,All,d,20,11,81.8
1072,20200223,S08000028,,75 - 84,,All,d,30,26.5,13.2
1073,20200223,S08000028,,85 and over,,All,d,14,14,0
1074,20200223,S08000028,,All ages,d,All,d,94,72.5,29.7
1075,20200223,S08000028,,All ages,d,Female,,39,36,8.3
1076,20200223,S08000028,,All ages,d,Male,,42,28,50
1077,20200223,S08000029,,Under 5,,All,d,26,28,-7.1
1078,20200223,S08000029,,5 - 14,,All,d,14,19,-26.3
1079,20200223,S08000029,,15 - 44,,All,d,154,197,-21.8
1080,20200223,S08000029,,45 - 64,,All,d,209,190.5,9.7
1081,20200223,S08000029,,65 - 74,,All,d,117,130,-10
1082,20200223,S08000029,,75 - 84,,All,d,149,155,-3.9
1083,20200223,S08000029,,85 and over,,All,d,147,121,21.5
1084,20200223,S08000029,,All ages,d,All,d,852,864,-1.4
1085,20200223,S08000029,,All ages,d,Female,,418,412,1.5
1086,20200223,S08000029,,All ages,d,Male,,382,397,-3.8
1087,20200223,S08000030,,Under 5,,All,d,26,33,-21.2
1088,20200223,S08000030,,5 - 14,,All,d,14,18,-22.2
1089,20200223,S08000030,,15 - 44,,All,d,218,206.5,5.6
1090,20200223,S08000030,,45 - 64,,All,d,176,185.5,-5.1
1091,20200223,S08000030,,65 - 74,,All,d,139,137.5,1.1
1092,20200223,S08000030,,75 - 84,,All,d,168,175,-4
1093,20200223,S08000030,,85 and over,,All,d,145,130.5,11.1
1094,20200223,S08000030,,All ages,d,All,d,925,923.5,0.2
1095,20200223,S08000030,,All ages,d,Female,,456,421.5,8.2
1096,20200223,S08000030,,All ages,d,Male,,388,438,-11.4
1097,20200223,S08000031,,Under 5,,All,d,68,91,-25.3
1098,20200223,S08000031,,5 - 14,,All,d,39,50.5,-22.8
1099,20200223,S08000031,,15 - 44,,All,d,591,621.5,-4.9
1100,20200223,S08000031,,45 - 64,,All,d,701,665.5,5.3
1101,20200223,S08000031,,65 - 74,,All,d,378,410.5,-7.9
1102,20200223,S08000031,,75 - 84,,All,d,427,474,-9.9
1103,20200223,S08000031,,85 and over,,All,d,340,329.5,3.2
1104,20200223,S08000031,,All ages,d,All,d,2726,2807,-2.9
1105,20200223,S08000031,,All ages,d,Female,,1244,1278.5,-2.7
1106,20200223,S08000031,,All ages,d,Male,,1188,1257,-5.5
1107,20200223,S08000032,,Under 5,,All,d,43,50.5,-14.9
1108,20200223,S08000032,,5 - 14,,All,d,25,36,-30.6
1109,20200223,S08000032,,15 - 44,,All,d,341,293.5,16.2
1110,20200223,S08000032,,45 - 64,,All,d,318,339.5,-6.3
1111,20200223,S08000032,,65 - 74,,All,d,214,227,-5.7
1112,20200223,S08000032,,75 - 84,,All,d,278,279,-0.4
1113,20200223,S08000032,,85 and over,,All,d,188,175,7.4
1114,20200223,S08000032,,All ages,d,All,d,1468,1466.5,0.1
1115,20200223,S08000032,,All ages,d,Female,,719,681.5,5.5
1116,20200223,S08000032,,All ages,d,Male,,655,680.5,-3.7
1117,20200223,S92000003,d,Under 5,,All,d,344,383.5,-10.3
1118,20200223,S92000003,d,5 - 14,,All,d,183,249,-26.5
1119,20200223,S92000003,d,15 - 44,,All,d,2567,2622.5,-2.1
1120,20200223,S92000003,d,45 - 64,,All,d,2701,2651.5,1.9
1121,20200223,S92000003,d,65 - 74,,All,d,1775,1841,-3.6
1122,20200223,S92000003,d,75 - 84,,All,d,2194,2193,0
1123,20200223,S92000003,d,85 and over,,All,d,1732,1580,9.6
1124,20200223,S92000003,d,All ages,d,All,d,12125,12122,0
1125,20200223,S92000003,d,All ages,d,Female,,5739,5646.5,1.6
1126,20200223,S92000003,d,All ages,d,Male,,5276,5417,-2.6
1127,20200301,S08000015,,Under 5,,All,d,37,38,-2.6
1128,20200301,S08000015,,5 - 14,,All,d,9,21.5,-58.1
1129,20200301,S08000015,,15 - 44,,All,d,209,200,4.5
1130,20200301,S08000015,,45 - 64,,All,d,230,214.5,7.2
1131,20200301,S08000015,,65 - 74,,All,d,158,150,5.3
1132,20200301,S08000015,,75 - 84,,All,d,226,221,2.3
1133,20200301,S08000015,,85 and over,,All,d,152,134,13.4
1134,20200301,S08000015,,All ages,d,All,d,1060,1016.5,4.3
1135,20200301,S08000015,,All ages,d,Female,,511,479.5,6.6
1136,20200301,S08000015,,All ages,d,Male,,475,469,1.3
1137,20200301,S08000016,,Under 5,,All,d,8,8.5,-5.9
1138,20200301,S08000016,,15 - 44,,All,d,49,51,-3.9
1139,20200301,S08000016,,45 - 64,,All,d,56,38.5,45.5
1140,20200301,S08000016,,65 - 74,,All,d,48,46.5,3.2
1141,20200301,S08000016,,75 - 84,,All,d,47,57.5,-18.3
1142,20200301,S08000016,,85 and over,,All,d,51,40.5,25.9
1143,20200301,S08000016,,All ages,d,All,d,268,255.5,4.9
1144,20200301,S08000016,,All ages,d,Female,,137,130.5,5
1145,20200301,S08000016,,All ages,d,Male,,113,110,2.7
1146,20200301,S08000017,,Under 5,,All,d,10,8.5,17.6
1147,20200301,S08000017,,5 - 14,,All,d,5,3,66.7
1148,20200301,S08000017,,15 - 44,,All,d,67,58.5,14.5
1149,20200301,S08000017,,45 - 64,,All,d,76,67.5,12.6
1150,20200301,S08000017,,65 - 74,,All,d,60,69.5,-13.7
1151,20200301,S08000017,,75 - 84,,All,d,90,78,15.4
1152,20200301,S08000017,,85 and over,,All,d,62,61.5,0.8
1153,20200301,S08000017,,All ages,d,All,d,378,359.5,5.1
1154,20200301,S08000017,,All ages,d,Female,,184,175,5.1
1155,20200301,S08000017,,All ages,d,Male,,168,158,6.3
1156,20200301,S08000019,,Under 5,,All,d,20,21,-4.8
1157,20200301,S08000019,,5 - 14,,All,d,18,10.5,71.4
1158,20200301,S08000019,,15 - 44,,All,d,126,142,-11.3
1159,20200301,S08000019,,45 - 64,,All,d,147,137,7.3
1160,20200301,S08000019,,65 - 74,,All,d,96,85.5,12.3
1161,20200301,S08000019,,75 - 84,,All,d,113,118.5,-4.6
1162,20200301,S08000019,,85 and over,,All,d,66,67.5,-2.2
1163,20200301,S08000019,,All ages,d,All,d,610,609,0.2
1164,20200301,S08000019,,All ages,d,Female,,277,277.5,-0.2
1165,20200301,S08000019,,All ages,d,Male,,287,288,-0.3
1166,20200301,S08000020,,Under 5,,All,d,30,36,-16.7
1167,20200301,S08000020,,5 - 14,,All,d,19,20.5,-7.3
1168,20200301,S08000020,,15 - 44,,All,d,256,226,13.3
1169,20200301,S08000020,,45 - 64,,All,d,243,225.5,7.8
1170,20200301,S08000020,,65 - 74,,All,d,207,165,25.5
1171,20200301,S08000020,,75 - 84,,All,d,209,199,5
1172,20200301,S08000020,,85 and over,,All,d,174,162,7.4
1173,20200301,S08000020,,All ages,d,All,d,1179,1075,9.7
1174,20200301,S08000020,,All ages,d,Female,,559,522,7.1
1175,20200301,S08000020,,All ages,d,Male,,535,472,13.3
1176,20200301,S08000022,,Under 5,,All,d,35,22.5,55.6
1177,20200301,S08000022,,5 - 14,,All,d,16,10.5,52.4
1178,20200301,S08000022,,15 - 44,,All,d,176,135,30.4
1179,20200301,S08000022,,45 - 64,,All,d,152,151.5,0.3
1180,20200301,S08000022,,65 - 74,,All,d,126,120,5
1181,20200301,S08000022,,75 - 84,,All,d,182,169.5,7.4
1182,20200301,S08000022,,85 and over,,All,d,142,119.5,18.8
1183,20200301,S08000022,,All ages,d,All,d,879,779,12.8
1184,20200301,S08000022,,All ages,d,Female,,398,375.5,6
1185,20200301,S08000022,,All ages,d,Male,,381,315.5,20.8
1186,20200301,S08000024,,Under 5,,All,d,53,67,-20.9
1187,20200301,S08000024,,5 - 14,,All,d,39,34,14.7
1188,20200301,S08000024,,15 - 44,,All,d,446,437,2.1
1189,20200301,S08000024,,45 - 64,,All,d,398,371,7.3
1190,20200301,S08000024,,65 - 74,,All,d,217,195,11.3
1191,20200301,S08000024,,75 - 84,,All,d,266,261,1.9
1192,20200301,S08000024,,85 and over,,All,d,211,193.5,9
1193,20200301,S08000024,,All ages,d,All,d,1735,1660.5,4.5
1194,20200301,S08000024,,All ages,d,Female,,778,772,0.8
1195,20200301,S08000024,,All ages,d,Male,,778,713.5,9
1196,20200301,S08000025,,45 - 64,,All,d,10,7,42.9
1197,20200301,S08000025,,65 - 74,,All,d,9,10.5,-14.3
1198,20200301,S08000025,,75 - 84,,All,d,7,5.5,27.3
1199,20200301,S08000025,,85 and over,,All,d,7,7,0
1200,20200301,S08000025,,All ages,d,All,d,41,37.5,9.3
1201,20200301,S08000025,,All ages,d,Female,,24,19.5,23.1
1202,20200301,S08000025,,All ages,d,Male,,15,15.5,-3.2
1203,20200301,S08000026,,15 - 44,,All,d,14,7,100
1204,20200301,S08000026,,65 - 74,,All,d,15,10.5,42.9
1205,20200301,S08000026,,85 and over,,All,d,5,4,25
1206,20200301,S08000026,,All ages,d,All,d,42,41.5,1.2
1207,20200301,S08000026,,All ages,d,Female,,20,15,33.3
1208,20200301,S08000026,,All ages,d,Male,,21,22.5,-6.7
1209,20200301,S08000028,,15 - 44,,All,d,8,3.5,128.6
1210,20200301,S08000028,,45 - 64,,All,d,10,21.5,-53.5
1211,20200301,S08000028,,65 - 74,,All,d,20,9,122.2
1212,20200301,S08000028,,75 - 84,,All,d,26,21.5,20.9
1213,20200301,S08000028,,85 and over,,All,d,21,15,40
1214,20200301,S08000028,,All ages,d,All,d,91,77,18.2
1215,20200301,S08000028,,All ages,d,Female,,42,35.5,18.3
1216,20200301,S08000028,,All ages,d,Male,,39,33.5,16.4
1217,20200301,S08000029,,Under 5,,All,d,28,32.5,-13.8
1218,20200301,S08000029,,5 - 14,,All,d,20,16,25
1219,20200301,S08000029,,15 - 44,,All,d,178,183.5,-3
1220,20200301,S08000029,,45 - 64,,All,d,183,184,-0.5
1221,20200301,S08000029,,65 - 74,,All,d,132,135,-2.2
1222,20200301,S08000029,,75 - 84,,All,d,129,143,-9.8
1223,20200301,S08000029,,85 and over,,All,d,124,116,6.9
1224,20200301,S08000029,,All ages,d,All,d,820,845.5,-3
1225,20200301,S08000029,,All ages,d,Female,,399,402,-0.7
1268,20200308,S08000015,,5 - 14,,All,d,22,24,-8.3
1226,20200301,S08000029,,All ages,d,Male,,368,385.5,-4.5
1227,20200301,S08000030,,Under 5,,All,d,29,27,7.4
1228,20200301,S08000030,,5 - 14,,All,d,19,12,58.3
1229,20200301,S08000030,,15 - 44,,All,d,217,195.5,11
1230,20200301,S08000030,,45 - 64,,All,d,180,182.5,-1.4
1231,20200301,S08000030,,65 - 74,,All,d,149,139,7.2
1232,20200301,S08000030,,75 - 84,,All,d,199,170.5,16.7
1233,20200301,S08000030,,85 and over,,All,d,145,130,11.5
1234,20200301,S08000030,,All ages,d,All,d,980,886,10.6
1235,20200301,S08000030,,All ages,d,Female,,471,414.5,13.6
1236,20200301,S08000030,,All ages,d,Male,,434,417,4.1
1237,20200301,S08000031,,Under 5,,All,d,59,95,-37.9
1238,20200301,S08000031,,5 - 14,,All,d,48,41,17.1
1239,20200301,S08000031,,15 - 44,,All,d,546,602.5,-9.4
1240,20200301,S08000031,,45 - 64,,All,d,656,595.5,10.2
1241,20200301,S08000031,,65 - 74,,All,d,361,376.5,-4.1
1242,20200301,S08000031,,75 - 84,,All,d,412,462,-10.8
1243,20200301,S08000031,,85 and over,,All,d,321,329.5,-2.6
1244,20200301,S08000031,,All ages,d,All,d,2561,2690,-4.8
1245,20200301,S08000031,,All ages,d,Female,,1185,1243,-4.7
1246,20200301,S08000031,,All ages,d,Male,,1129,1175,-3.9
1247,20200301,S08000032,,Under 5,,All,d,40,48.5,-17.5
1248,20200301,S08000032,,5 - 14,,All,d,24,35,-31.4
1249,20200301,S08000032,,15 - 44,,All,d,274,293,-6.5
1250,20200301,S08000032,,45 - 64,,All,d,344,344,0
1251,20200301,S08000032,,65 - 74,,All,d,232,228,1.8
1252,20200301,S08000032,,75 - 84,,All,d,251,246.5,1.8
1253,20200301,S08000032,,85 and over,,All,d,195,172,13.4
1254,20200301,S08000032,,All ages,d,All,d,1422,1414,0.6
1255,20200301,S08000032,,All ages,d,Female,,706,666,6
1256,20200301,S08000032,,All ages,d,Male,,616,656,-6.1
1257,20200301,S92000003,d,Under 5,,All,d,352,409,-13.9
1258,20200301,S92000003,d,5 - 14,,All,d,223,214,4.2
1259,20200301,S92000003,d,15 - 44,,All,d,2579,2547,1.3
1260,20200301,S92000003,d,45 - 64,,All,d,2692,2557.5,5.3
1261,20200301,S92000003,d,65 - 74,,All,d,1831,1741.5,5.1
1262,20200301,S92000003,d,75 - 84,,All,d,2161,2163,-0.1
1263,20200301,S92000003,d,85 and over,,All,d,1677,1553.5,7.9
1264,20200301,S92000003,d,All ages,d,All,d,12087,11773.5,2.7
1265,20200301,S92000003,d,All ages,d,Female,,5697,5539,2.9
1266,20200301,S92000003,d,All ages,d,Male,,5367,5242.5,2.4
1267,20200308,S08000015,,Under 5,,All,d,30,35.5,-15.5
1269,20200308,S08000015,,15 - 44,,All,d,213,205,3.9
1270,20200308,S08000015,,45 - 64,,All,d,200,229.5,-12.9
1271,20200308,S08000015,,65 - 74,,All,d,145,162.5,-10.8
1272,20200308,S08000015,,75 - 84,,All,d,206,212.5,-3.1
1273,20200308,S08000015,,85 and over,,All,d,154,136.5,12.8
1274,20200308,S08000015,,All ages,d,All,d,1025,1037,-1.2
1275,20200308,S08000015,,All ages,d,Female,,488,508.5,-4
1276,20200308,S08000015,,All ages,d,Male,,449,471,-4.7
1277,20200308,S08000016,,Under 5,,All,d,9,7,28.6
1278,20200308,S08000016,,15 - 44,,All,d,60,48,25
1279,20200308,S08000016,,45 - 64,,All,d,49,54,-9.3
1280,20200308,S08000016,,65 - 74,,All,d,43,54,-20.4
1281,20200308,S08000016,,75 - 84,,All,d,59,57.5,2.6
1282,20200308,S08000016,,85 and over,,All,d,55,48.5,13.4
1283,20200308,S08000016,,All ages,d,All,d,288,280.5,2.7
1284,20200308,S08000016,,All ages,d,Female,,144,134.5,7.1
1285,20200308,S08000016,,All ages,d,Male,,130,131,-0.8
1286,20200308,S08000017,,Under 5,,All,d,9,9.5,-5.3
1287,20200308,S08000017,,15 - 44,,All,d,58,60.5,-4.1
1288,20200308,S08000017,,45 - 64,,All,d,69,58.5,17.9
1289,20200308,S08000017,,65 - 74,,All,d,57,48,18.8
1290,20200308,S08000017,,75 - 84,,All,d,94,83.5,12.6
1291,20200308,S08000017,,85 and over,,All,d,75,72,4.2
1292,20200308,S08000017,,All ages,d,All,d,377,352.5,7
1293,20200308,S08000017,,All ages,d,Female,,174,173.5,0.3
1294,20200308,S08000017,,All ages,d,Male,,178,148,20.3
1295,20200308,S08000019,,Under 5,,All,d,21,19,10.5
1296,20200308,S08000019,,5 - 14,,All,d,14,9,55.6
1297,20200308,S08000019,,15 - 44,,All,d,134,144.5,-7.3
1298,20200308,S08000019,,45 - 64,,All,d,140,156.5,-10.5
1299,20200308,S08000019,,65 - 74,,All,d,86,98.5,-12.7
1300,20200308,S08000019,,75 - 84,,All,d,116,118.5,-2.1
1301,20200308,S08000019,,85 and over,,All,d,99,78,26.9
1302,20200308,S08000019,,All ages,d,All,d,642,660.5,-2.8
1303,20200308,S08000019,,All ages,d,Female,,306,295.5,3.6
1304,20200308,S08000019,,All ages,d,Male,,287,309,-7.1
1305,20200308,S08000020,,Under 5,,All,d,37,40,-7.5
1306,20200308,S08000020,,5 - 14,,All,d,20,22.5,-11.1
1307,20200308,S08000020,,15 - 44,,All,d,247,234,5.6
1308,20200308,S08000020,,45 - 64,,All,d,218,237,-8
1309,20200308,S08000020,,65 - 74,,All,d,202,181,11.6
1310,20200308,S08000020,,75 - 84,,All,d,207,201.5,2.7
1690,20200329,S08000015,,Under 5,,All,d,33,33,0
1311,20200308,S08000020,,85 and over,,All,d,189,166.5,13.5
1312,20200308,S08000020,,All ages,d,All,d,1181,1137.5,3.8
1313,20200308,S08000020,,All ages,d,Female,,575,532,8.1
1314,20200308,S08000020,,All ages,d,Male,,502,513.5,-2.2
1315,20200308,S08000022,,Under 5,,All,d,34,33.5,1.5
1316,20200308,S08000022,,5 - 14,,All,d,21,19.5,7.7
1317,20200308,S08000022,,15 - 44,,All,d,143,140.5,1.8
1318,20200308,S08000022,,45 - 64,,All,d,161,171,-5.8
1319,20200308,S08000022,,65 - 74,,All,d,127,137.5,-7.6
1320,20200308,S08000022,,75 - 84,,All,d,175,175.5,-0.3
1321,20200308,S08000022,,85 and over,,All,d,157,120,30.8
1322,20200308,S08000022,,All ages,d,All,d,871,847,2.8
1323,20200308,S08000022,,All ages,d,Female,,420,381,10.2
1324,20200308,S08000022,,All ages,d,Male,,356,382,-6.8
1325,20200308,S08000024,,Under 5,,All,d,59,70,-15.7
1326,20200308,S08000024,,5 - 14,,All,d,44,40,10
1327,20200308,S08000024,,15 - 44,,All,d,391,454,-13.9
1328,20200308,S08000024,,45 - 64,,All,d,371,399.5,-7.1
1329,20200308,S08000024,,65 - 74,,All,d,222,227,-2.2
1330,20200308,S08000024,,75 - 84,,All,d,264,276.5,-4.5
1331,20200308,S08000024,,85 and over,,All,d,228,197.5,15.4
1332,20200308,S08000024,,All ages,d,All,d,1699,1768.5,-3.9
1333,20200308,S08000024,,All ages,d,Female,,789,817.5,-3.5
1334,20200308,S08000024,,All ages,d,Male,,731,754,-3.1
1335,20200308,S08000025,,15 - 44,,All,d,7,6,16.7
1336,20200308,S08000025,,45 - 64,,All,d,9,9,0
1337,20200308,S08000025,,65 - 74,,All,d,11,9,22.2
1338,20200308,S08000025,,75 - 84,,All,d,5,12,-58.3
1339,20200308,S08000025,,85 and over,,All,d,10,4.5,122.2
1340,20200308,S08000025,,All ages,d,All,d,45,43,4.7
1341,20200308,S08000025,,All ages,d,Female,,18,22,-18.2
1342,20200308,S08000025,,All ages,d,Male,,25,19.5,28.2
1343,20200308,S08000026,,15 - 44,,All,d,7,9,-22.2
1344,20200308,S08000026,,45 - 64,,All,d,8,10,-20
1345,20200308,S08000026,,65 - 74,,All,d,8,7,14.3
1346,20200308,S08000026,,75 - 84,,All,d,10,8,25
1347,20200308,S08000026,,85 and over,,All,d,7,6,16.7
1348,20200308,S08000026,,All ages,d,All,d,41,43,-4.7
1349,20200308,S08000026,,All ages,d,Female,,18,17.5,2.9
1350,20200308,S08000026,,All ages,d,Male,,19,21,-9.5
1351,20200308,S08000028,,Under 5,,All,d,5,1.5,233.3
1352,20200308,S08000028,,45 - 64,,All,d,6,18,-66.7
1353,20200308,S08000028,,65 - 74,,All,d,12,12.5,-4
1354,20200308,S08000028,,75 - 84,,All,d,16,15,6.7
1355,20200308,S08000028,,85 and over,,All,d,16,16.5,-3
1356,20200308,S08000028,,All ages,d,All,d,63,79,-20.3
1357,20200308,S08000028,,All ages,d,Female,,31,33.5,-7.5
1358,20200308,S08000028,,All ages,d,Male,,24,41,-41.5
1359,20200308,S08000029,,Under 5,,All,d,23,22,4.5
1360,20200308,S08000029,,5 - 14,,All,d,16,14.5,10.3
1361,20200308,S08000029,,15 - 44,,All,d,193,206.5,-6.5
1362,20200308,S08000029,,45 - 64,,All,d,155,196.5,-21.1
1363,20200308,S08000029,,65 - 74,,All,d,127,136,-6.6
1364,20200308,S08000029,,75 - 84,,All,d,142,173,-17.9
1365,20200308,S08000029,,85 and over,,All,d,103,135,-23.7
1366,20200308,S08000029,,All ages,d,All,d,793,911.5,-13
1367,20200308,S08000029,,All ages,d,Female,,403,452,-10.8
1368,20200308,S08000029,,All ages,d,Male,,332,405,-18
1369,20200308,S08000030,,Under 5,,All,d,28,26,7.7
1370,20200308,S08000030,,5 - 14,,All,d,17,19,-10.5
1371,20200308,S08000030,,15 - 44,,All,d,200,177.5,12.7
1372,20200308,S08000030,,45 - 64,,All,d,164,190.5,-13.9
1373,20200308,S08000030,,65 - 74,,All,d,136,135.5,0.4
1374,20200308,S08000030,,75 - 84,,All,d,216,190,13.7
1375,20200308,S08000030,,85 and over,,All,d,145,124,16.9
1376,20200308,S08000030,,All ages,d,All,d,956,902.5,5.9
1377,20200308,S08000030,,All ages,d,Female,,449,422.5,6.3
1378,20200308,S08000030,,All ages,d,Male,,429,405.5,5.8
1379,20200308,S08000031,,Under 5,,All,d,80,70,14.3
1380,20200308,S08000031,,5 - 14,,All,d,46,48,-4.2
1381,20200308,S08000031,,15 - 44,,All,d,588,633.5,-7.2
1382,20200308,S08000031,,45 - 64,,All,d,623,648,-3.9
1383,20200308,S08000031,,65 - 74,,All,d,363,401.5,-9.6
1384,20200308,S08000031,,75 - 84,,All,d,454,492,-7.7
1385,20200308,S08000031,,85 and over,,All,d,332,351.5,-5.5
1386,20200308,S08000031,,All ages,d,All,d,2701,2835.5,-4.7
1387,20200308,S08000031,,All ages,d,Female,,1234,1309,-5.7
1388,20200308,S08000031,,All ages,d,Male,,1152,1240.5,-7.1
1389,20200308,S08000032,,Under 5,,All,d,60,58,3.4
1390,20200308,S08000032,,5 - 14,,All,d,39,33.5,16.4
1391,20200308,S08000032,,15 - 44,,All,d,295,309.5,-4.7
1392,20200308,S08000032,,45 - 64,,All,d,342,359,-4.7
1393,20200308,S08000032,,65 - 74,,All,d,216,231.5,-6.7
1394,20200308,S08000032,,75 - 84,,All,d,283,280,1.1
1395,20200308,S08000032,,85 and over,,All,d,179,180.5,-0.8
1396,20200308,S08000032,,All ages,d,All,d,1480,1518,-2.5
1397,20200308,S08000032,,All ages,d,Female,,735,723,1.7
1398,20200308,S08000032,,All ages,d,Male,,649,691.5,-6.1
1399,20200308,S92000003,d,Under 5,,All,d,397,394.5,0.6
