"id","date","country","simd_quintile","total_positive","crude_rate_positive","total_deaths","crude_rate_deaths","total_negative","crude_rate_negative"
1,20220131,"S92000003",1,257798,23810.0647716368,2921,269.781764008841,572040,52833.2626784037
2,20220131,"S92000003",2,240241,22167.0345163576,2416,222.924294319121,587603,54218.1225640723
3,20220131,"S92000003",3,209274,19169.8857083708,1902,174.226720076652,605203,55437.7148635911
4,20220131,"S92000003",4,219253,19671.6913654793,1679,150.642270813352,625045,56079.9274333123
5,20220131,"S92000003",5,217544,19898.7427452882,1371,125.405326296244,626936,57345.8159349831
