id,week_ending,hscp,age_group,age_group_qf,sex,sex_qf,number_attendances,average20182019,percent_variation
103,20200105,S37000011,15 - 44,,All,d,105,105,0
104,20200105,S37000011,45 - 64,,All,d,84,92,-8.7
105,20200105,S37000011,65 - 74,,All,d,44,36.5,20.5
106,20200105,S37000011,75 - 84,,All,d,41,44.5,-7.9
107,20200105,S37000011,85 and over,,All,d,23,31.5,-27
108,20200105,S37000011,All ages,d,All,d,350,395.5,-11.5
109,20200105,S37000011,All ages,d,Female,,183,198,-7.6
110,20200105,S37000011,All ages,d,Male,,165,197,-16.2
111,20200105,S37000012,Under 5,,All,d,332,333,-0.3
112,20200105,S37000012,5 - 14,,All,d,200,190,5.3
113,20200105,S37000012,15 - 44,,All,d,682,651,4.8
114,20200105,S37000012,45 - 64,,All,d,415,345,20.3
115,20200105,S37000012,65 - 74,,All,d,153,151,1.3
116,20200105,S37000012,75 - 84,,All,d,142,146.5,-3.1
117,20200105,S37000012,85 and over,,All,d,113,125,-9.6
118,20200105,S37000012,All ages,d,All,d,2095,1998.5,4.8
119,20200105,S37000012,All ages,d,Female,,1039,1013.5,2.5
120,20200105,S37000012,All ages,d,Male,,998,928,7.5
121,20200105,S37000013,Under 5,,All,d,68,53.5,27.1
122,20200105,S37000013,5 - 14,,All,d,50,43.5,14.9
123,20200105,S37000013,15 - 44,,All,d,245,231.5,5.8
124,20200105,S37000013,45 - 64,,All,d,200,192.5,3.9
125,20200105,S37000013,65 - 74,,All,d,72,79,-8.9
126,20200105,S37000013,75 - 84,,All,d,99,83,19.3
127,20200105,S37000013,85 and over,,All,d,39,40,-2.5
128,20200105,S37000013,All ages,d,All,d,775,734,5.6
129,20200105,S37000013,All ages,d,Female,,375,368,1.9
130,20200105,S37000013,All ages,d,Male,,398,355,12.1
131,20200105,S37000016,Under 5,,All,d,55,60,-8.3
132,20200105,S37000016,5 - 14,,All,d,51,33.5,52.2
133,20200105,S37000016,15 - 44,,All,d,366,330.5,10.7
134,20200105,S37000016,45 - 64,,All,d,257,251.5,2.2
135,20200105,S37000016,65 - 74,,All,d,121,114.5,5.7
136,20200105,S37000016,75 - 84,,All,d,120,96,25
137,20200105,S37000016,85 and over,,All,d,53,52.5,1
138,20200105,S37000016,All ages,d,All,d,1030,947,8.8
139,20200105,S37000016,All ages,d,Female,,489,467.5,4.6
140,20200105,S37000016,All ages,d,Male,,534,471,13.4
141,20200105,S37000017,Under 5,,All,d,40,50,-20
142,20200105,S37000017,5 - 14,,All,d,32,32,0
143,20200105,S37000017,15 - 44,,All,d,203,201.5,0.7
144,20200105,S37000017,45 - 64,,All,d,157,152.5,3
145,20200105,S37000017,65 - 74,,All,d,65,65.5,-0.8
146,20200105,S37000017,75 - 84,,All,d,60,62,-3.2
147,20200105,S37000017,85 and over,,All,d,35,37.5,-6.7
148,20200105,S37000017,All ages,d,All,d,594,601,-1.2
149,20200105,S37000017,All ages,d,Female,,334,313,6.7
150,20200105,S37000017,All ages,d,Male,,258,288,-10.4
151,20200105,S37000018,Under 5,,All,d,78,81.5,-4.3
152,20200105,S37000018,5 - 14,,All,d,38,40,-5
153,20200105,S37000018,15 - 44,,All,d,140,163,-14.1
154,20200105,S37000018,45 - 64,,All,d,111,93.5,18.7
155,20200105,S37000018,65 - 74,,All,d,51,42,21.4
156,20200105,S37000018,75 - 84,,All,d,56,41,36.6
157,20200105,S37000018,85 and over,,All,d,25,21,19
158,20200105,S37000018,All ages,d,All,d,503,483.5,4
159,20200105,S37000018,All ages,d,Female,,254,248.5,2.2
160,20200105,S37000018,All ages,d,Male,,245,233.5,4.9
161,20200105,S37000019,Under 5,,All,d,50,32,56.2
162,20200105,S37000019,5 - 14,,All,d,33,23,43.5
163,20200105,S37000019,15 - 44,,All,d,190,171.5,10.8
164,20200105,S37000019,45 - 64,,All,d,133,106.5,24.9
165,20200105,S37000019,65 - 74,,All,d,65,55.5,17.1
166,20200105,S37000019,75 - 84,,All,d,58,48,20.8
167,20200105,S37000019,85 and over,,All,d,29,25,16
168,20200105,S37000019,All ages,d,All,d,564,466.5,20.9
169,20200105,S37000019,All ages,d,Female,,295,232.5,26.9
170,20200105,S37000019,All ages,d,Male,,263,229,14.8
171,20200105,S37000020,Under 5,,All,d,73,72,1.4
172,20200105,S37000020,5 - 14,,All,d,46,47,-2.1
173,20200105,S37000020,15 - 44,,All,d,230,260,-11.5
174,20200105,S37000020,45 - 64,,All,d,174,146,19.2
175,20200105,S37000020,65 - 74,,All,d,88,85.5,2.9
176,20200105,S37000020,75 - 84,,All,d,66,62.5,5.6
177,20200105,S37000020,85 and over,,All,d,40,30,33.3
178,20200105,S37000020,All ages,d,All,d,719,706,1.8
179,20200105,S37000020,All ages,d,Female,,366,361.5,1.2
180,20200105,S37000020,All ages,d,Male,,351,341.5,2.8
181,20200105,S37000022,Under 5,,All,d,11,7.5,46.7
182,20200105,S37000022,5 - 14,,All,d,6,5,20
183,20200105,S37000022,15 - 44,,All,d,33,34,-2.9
184,20200105,S37000022,45 - 64,,All,d,25,25.5,-2
185,20200105,S37000022,65 - 74,,All,d,20,15,33.3
186,20200105,S37000022,75 - 84,,All,d,20,17.5,14.3
187,20200105,S37000022,85 and over,,All,d,7,8,-12.5
188,20200105,S37000022,All ages,d,All,d,122,112.5,8.4
189,20200105,S37000022,All ages,d,Female,,70,54.5,28.4
190,20200105,S37000022,All ages,d,Male,,52,58,-10.3
191,20200105,S37000024,Under 5,,All,d,74,93.5,-20.9
192,20200105,S37000024,5 - 14,,All,d,48,59,-18.6
193,20200105,S37000024,15 - 44,,All,d,387,375,3.2
194,20200105,S37000024,45 - 64,,All,d,273,266,2.6
195,20200105,S37000024,65 - 74,,All,d,103,116.5,-11.6
196,20200105,S37000024,75 - 84,,All,d,116,118.5,-2.1
197,20200105,S37000024,85 and over,,All,d,50,67.5,-25.9
198,20200105,S37000024,All ages,d,All,d,1056,1096,-3.6
199,20200105,S37000024,All ages,d,Female,,561,581,-3.4
200,20200105,S37000024,All ages,d,Male,,490,515,-4.9
201,20200105,S37000025,Under 5,,All,d,32,25.5,25.5
202,20200105,S37000025,5 - 14,,All,d,22,28,-21.4
203,20200105,S37000025,15 - 44,,All,d,211,179.5,17.5
204,20200105,S37000025,45 - 64,,All,d,160,142.5,12.3
205,20200105,S37000025,65 - 74,,All,d,94,83.5,12.6
206,20200105,S37000025,75 - 84,,All,d,84,80.5,4.3
207,20200105,S37000025,85 and over,,All,d,60,48,25
208,20200105,S37000025,All ages,d,All,d,672,591,13.7
209,20200105,S37000025,All ages,d,Female,,354,291.5,21.4
210,20200105,S37000025,All ages,d,Male,,309,296,4.4
211,20200105,S37000026,Under 5,,All,d,18,14,28.6
212,20200105,S37000026,5 - 14,,All,d,6,7.5,-20
213,20200105,S37000026,15 - 44,,All,d,52,45.5,14.3
214,20200105,S37000026,45 - 64,,All,d,30,35.5,-15.5
215,20200105,S37000026,65 - 74,,All,d,11,11,0
216,20200105,S37000026,75 - 84,,All,d,16,16,0
217,20200105,S37000026,All ages,d,All,d,138,134.5,2.6
218,20200105,S37000026,All ages,d,Female,,59,71.5,-17.5
