id,date,country,sex,sex_qf,age_group,age_group_qf,daily_positive,cumulative_positive,crude_rate_positive,daily_deaths,cumulative_deaths,crude_rate_deaths,cumulative_negative,crude_rate_negative
61,20200229,S92000003,Total,d,60+,,0,0,0,0,0,0,132,9.370680701863986
62,20200229,S92000003,Total,d,65 to 74,,0,0,0,0,0,0,69,11.769461828564996
63,20200229,S92000003,Total,d,75 to 84,,0,0,0,0,0,0,12,3.513847487306226
64,20200229,S92000003,Total,d,85plus,,0,0,0,0,0,0,4,3.117425629914816
65,20200229,S92000003,Total,d,Total,d,0,1,0.018294914013904134,0,0,0,706,12.916209293816317
66,20200301,S92000003,Female,,0 to 14,,0,0,0,0,0,0,46,10.975665041791038
67,20200301,S92000003,Female,,0 to 59,,0,0,0,0,0,0,301,14.764737881755542
68,20200301,S92000003,Female,,15 to 19,,0,0,0,0,0,0,8,5.800758449167229
69,20200301,S92000003,Female,,20 to 24,,0,0,0,0,0,0,39,23.15185838186319
70,20200301,S92000003,Female,,25 to 44,,0,0,0,0,0,0,106,14.663892516434627
71,20200301,S92000003,Female,,45 to 64,,0,0,0,0,0,0,131,16.96517606226608
72,20200301,S92000003,Female,,60+,,1,1,0.13120828396621648,0,0,0,76,9.971829581432454
73,20200301,S92000003,Female,,65 to 74,,1,1,0.32698545568693105,0,0,0,35,11.444490949042587
74,20200301,S92000003,Female,,75 to 84,,0,0,0,0,0,0,7,3.645263760870697
75,20200301,S92000003,Female,,85plus,,0,0,0,0,0,0,5,6.066120715802245
76,20200301,S92000003,Female,,Total,d,1,1,0.03570423752172603,0,0,0,377,13.460497545690712
77,20200301,S92000003,Male,,0 to 14,,0,0,0,0,0,0,69,15.657584511245096
78,20200301,S92000003,Male,,0 to 59,,1,2,0.09907317049006543,0,0,0,325,16.099390204635636
79,20200301,S92000003,Male,,15 to 19,,0,0,0,0,0,0,8,5.547580908000305
80,20200301,S92000003,Male,,20 to 24,,0,0,0,0,0,0,19,10.9635203286748
81,20200301,S92000003,Male,,25 to 44,,0,0,0,0,0,0,117,16.51513675803631
82,20200301,S92000003,Male,,45 to 64,,1,2,0.2767093721464346,0,0,0,135,18.677882619884336
83,20200301,S92000003,Male,,60+,,0,0,0,0,0,0,69,10.67282081107251
84,20200301,S92000003,Male,,65 to 74,,0,0,0,0,0,0,38,13.550183818941017
85,20200301,S92000003,Male,,75 to 84,,0,0,0,0,0,0,6,4.014022317964088
86,20200301,S92000003,Male,,85plus,,0,0,0,0,0,0,2,4.358627903935841
87,20200301,S92000003,Male,,Total,d,1,2,0.07504093482994974,0,0,0,394,14.783064161500098
88,20200301,S92000003,Total,d,0 to 14,,0,0,0,0,0,0,115,13.375359099314949
89,20200301,S92000003,Total,d,0 to 59,,1,2,0.049293245765525344,0,0,0,628,15.478079170374958
90,20200301,S92000003,Total,d,15 to 19,,0,0,0,0,0,0,16,5.671345526726216
91,20200301,S92000003,Total,d,20 to 24,,0,0,0,0,0,0,59,17.26382935143597
92,20200301,S92000003,Total,d,25 to 44,,0,0,0,0,0,0,224,15.65005362239355
93,20200301,S92000003,Total,d,45 to 64,,1,2,0.1337837385865748,0,0,0,266,17.79323723201445
94,20200301,S92000003,Total,d,60+,,1,1,0.0709900053171514,0,0,0,145,10.293550770986952
95,20200301,S92000003,Total,d,65 to 74,,1,1,0.170571910558913,0,0,0,73,12.451749470800648
96,20200301,S92000003,Total,d,75 to 84,,0,0,0,0,0,0,13,3.806668111248411
97,20200301,S92000003,Total,d,85plus,,0,0,0,0,0,0,7,5.455494852350929
98,20200301,S92000003,Total,d,Total,d,2,3,0.054884742041712405,0,0,0,773,14.141968532747896
99,20200302,S92000003,Female,,0 to 14,,0,0,0,0,0,0,67,15.986294734782598
100,20200302,S92000003,Female,,0 to 59,,0,0,0,0,0,0,364,17.855031857006704
101,20200302,S92000003,Female,,15 to 19,,0,0,0,0,0,0,9,6.525853255313132
102,20200302,S92000003,Female,,20 to 24,,0,0,0,0,0,0,45,26.71368274830368
103,20200302,S92000003,Female,,25 to 44,,0,0,0,0,0,0,123,17.015648863409993
104,20200302,S92000003,Female,,45 to 64,,0,0,0,0,0,0,155,20.07329992100185
105,20200302,S92000003,Female,,60+,,0,1,0.13120828396621648,0,0,0,98,12.858411828689217
106,20200302,S92000003,Female,,65 to 74,,0,1,0.32698545568693105,0,0,0,44,14.387360050224967
107,20200302,S92000003,Female,,75 to 84,,0,0,0,0,0,0,11,5.728271624225381
108,20200302,S92000003,Female,,85plus,,0,0,0,0,0,0,8,9.705793145283591
109,20200302,S92000003,Female,,Total,d,0,1,0.03570423752172603,0,0,0,462,16.495357735037427
110,20200302,S92000003,Male,,0 to 14,,0,0,0,0,0,0,91,20.649857833671067
111,20200302,S92000003,Male,,0 to 59,,1,3,0.14860975573509816,0,0,0,396,19.616487757032957
112,20200302,S92000003,Male,,15 to 19,,0,0,0,0,0,0,10,6.934476135000382
113,20200302,S92000003,Male,,20 to 24,,0,0,0,0,0,0,21,12.117575100114252
114,20200302,S92000003,Male,,25 to 44,,1,1,0.14115501502595135,0,0,0,138,19.479392073581288
115,20200302,S92000003,Male,,45 to 64,,0,2,0.2767093721464346,0,0,0,164,22.69016851600764
116,20200302,S92000003,Male,,60+,,0,0,0,0,0,0,92,14.23042774809668
117,20200302,S92000003,Male,,65 to 74,,0,0,0,0,0,0,52,18.542356804866657
118,20200302,S92000003,Male,,75 to 84,,0,0,0,0,0,0,8,5.35202975728545
119,20200302,S92000003,Male,,85plus,,0,0,0,0,0,0,4,8.717255807871682
120,20200302,S92000003,Male,,Total,d,1,3,0.11256140224492461,0,0,0,488,18.309988098507738
121,20200302,S92000003,Total,d,0 to 14,,0,0,0,0,0,0,158,18.37658032775445
122,20200302,S92000003,Total,d,0 to 59,,1,3,0.07393986864828801,0,0,0,762,18.780726636665154
123,20200302,S92000003,Total,d,15 to 19,,0,0,0,0,0,0,19,6.734722812987381
124,20200302,S92000003,Total,d,20 to 24,,0,0,0,0,0,0,67,19.60468756857983
125,20200302,S92000003,Total,d,25 to 44,,1,1,0.06986631081425691,0,0,0,262,18.304973433335313
126,20200302,S92000003,Total,d,45 to 64,,0,2,0.1337837385865748,0,0,0,319,21.33850630455868
127,20200302,S92000003,Total,d,60+,,0,1,0.0709900053171514,0,0,0,190,13.488101010258765
128,20200302,S92000003,Total,d,65 to 74,,0,1,0.170571910558913,0,0,0,96,16.374903413655645
129,20200302,S92000003,Total,d,75 to 84,,0,0,0,0,0,0,19,5.563591854901524
130,20200302,S92000003,Total,d,85plus,,0,0,0,0,0,0,12,9.35227688974445
131,20200302,S92000003,Total,d,Total,d,1,4,0.07317965605561653,0,0,0,952,17.416758141236738
132,20200303,S92000003,Female,,0 to 14,,0,0,0,0,0,0,81,19.326714530110305
133,20200303,S92000003,Female,,0 to 59,,0,0,0,0,0,0,443,21.730162397401013
134,20200303,S92000003,Female,,15 to 19,,0,0,0,0,0,0,13,9.426232479896747
135,20200303,S92000003,Female,,20 to 24,,0,0,0,0,0,0,50,29.681869720337428
136,20200303,S92000003,Female,,25 to 44,,0,0,0,0,0,0,155,21.442484340069502
137,20200303,S92000003,Female,,45 to 64,,0,0,0,0,0,0,185,23.958454744421566
138,20200303,S92000003,Female,,60+,,0,1,0.13120828396621648,0,0,0,120,15.74499407594598
139,20200303,S92000003,Female,,65 to 74,,0,1,0.32698545568693105,0,0,0,56,18.31118551846814
140,20200303,S92000003,Female,,75 to 84,,0,0,0,0,0,0,12,6.249023590064053
141,20200303,S92000003,Female,,85plus,,0,0,0,0,0,0,11,13.345465574764937
142,20200303,S92000003,Female,,Total,d,0,1,0.03570423752172603,0,0,0,563,20.101485724731756
143,20200303,S92000003,Male,,0 to 14,,0,0,0,0,0,0,120,27.230581758687123
144,20200303,S92000003,Male,,0 to 59,,3,6,0.2972195114701963,0,0,0,469,23.232658479920346
145,20200303,S92000003,Male,,15 to 19,,0,0,0,0,0,0,15,10.401714202500571
146,20200303,S92000003,Male,,20 to 24,,0,0,0,0,0,0,26,15.002712028712882
147,20200303,S92000003,Male,,25 to 44,,2,3,0.423465045077854,0,0,0,158,22.30249237410031
148,20200303,S92000003,Male,,45 to 64,,1,3,0.4150640582196519,0,0,0,187,25.872326295691636
149,20200303,S92000003,Male,,60+,,0,0,0,0,0,0,113,17.47867756016223
150,20200303,S92000003,Male,,65 to 74,,0,0,0,0,0,0,60,21.395027082538448
151,20200303,S92000003,Male,,75 to 84,,0,0,0,0,0,0,11,7.359040916267494
152,20200303,S92000003,Male,,85plus,,0,0,0,0,0,0,5,10.896569759839602
153,20200303,S92000003,Male,,Total,d,3,6,0.22512280448984923,0,0,0,582,21.836912035515372
154,20200303,S92000003,Total,d,0 to 14,,0,0,0,0,0,0,201,23.377801556193955
155,20200303,S92000003,Total,d,0 to 59,,3,6,0.14787973729657602,0,0,0,914,22.52701331484508
156,20200303,S92000003,Total,d,15 to 19,,0,0,0,0,0,0,28,9.924854671770879
157,20200303,S92000003,Total,d,20 to 24,,0,0,0,0,0,0,77,22.530760340009653
158,20200303,S92000003,Total,d,25 to 44,,2,3,0.20959893244277078,0,0,0,314,21.93802159567667
159,20200303,S92000003,Total,d,45 to 64,,1,3,0.20067560787986222,0,0,0,372,24.88377537710291
160,20200303,S92000003,Total,d,60+,,0,1,0.0709900053171514,0,0,0,233,16.540671238896277
161,20200303,S92000003,Total,d,65 to 74,,0,1,0.170571910558913,0,0,0,116,19.786341624833906
162,20200303,S92000003,Total,d,75 to 84,,0,0,0,0,0,0,23,6.734874350670267
