"id","date","ca","ca_name","daily_positive","cumulative_positive","crude_rate_positive","crude_rate7day_positive","daily_deaths","cumulative_deaths","crude_rate_deaths","daily_negative","cumulative_negative","crude_rate_negative","total_tests","positive_tests","positive_percentage","positive_percentage7day","total_pillar1","total_pillar2","positive_pillar1","positive_pillar2"
48,20200229,"S12000034","Aberdeenshire",0,0,0,NA,0,0,0,2,30,11.5039496893934,2,0,0,NA,2,0,0,0
49,20200229,"S12000035","Argyll and Bute",0,0,0,NA,0,0,0,0,3,3.51164696242538,1,0,0,NA,1,0,0,0
50,20200229,"S12000036","City of Edinburgh",0,0,0,NA,0,0,0,2,101,19.1425647246124,2,0,0,NA,2,0,0,0
51,20200229,"S12000038","Renfrewshire",0,0,0,NA,0,0,0,1,14,7.80422543062601,3,0,0,NA,3,0,0,0
52,20200229,"S12000039","West Dunbartonshire",0,0,0,NA,0,0,0,0,10,11.3199003848766,0,0,0,NA,0,0,0,0
53,20200229,"S12000040","West Lothian",0,0,0,NA,0,0,0,0,26,14.1442715700141,1,0,0,NA,1,0,0,0
54,20200229,"S12000041","Angus",0,1,0.863408737696425,NA,0,0,0,0,24,20.7218097047142,0,0,0,NA,0,0,0,0
55,20200229,"S12000042","Dundee City",0,0,0,NA,0,0,0,1,17,11.4231958070152,1,0,0,NA,1,0,0,0
56,20200229,"S12000045","East Dunbartonshire",0,0,0,NA,0,0,0,4,11,10.1149425287356,6,0,0,NA,6,0,0,0
57,20200229,"S12000047","Fife",0,0,0,NA,0,0,0,5,60,16.0372063186593,5,0,0,NA,5,0,0,0
58,20200229,"S12000048","Perth and Kinross",0,0,0,NA,0,0,0,0,22,14.4822592324403,0,0,0,NA,0,0,0,0
59,20200229,"S12000049","Glasgow City",0,0,0,NA,0,0,0,11,67,10.5405575482978,20,0,0,NA,20,0,0,0
60,20200229,"S12000050","North Lanarkshire",0,0,0,NA,0,0,0,3,34,9.96658263469543,6,0,0,NA,6,0,0,0
61,20200301,"S12000005","Clackmannanshire",1,1,1.94969779684149,NA,0,0,0,1,12,23.3963735620979,2,1,50,NA,2,0,1,0
62,20200301,"S12000006","Dumfries and Galloway",0,0,0,NA,0,0,0,4,26,17.5332119495583,4,0,0,NA,4,0,0,0
63,20200301,"S12000008","East Ayrshire",0,0,0,NA,0,0,0,3,11,9.04605263157895,4,0,0,NA,4,0,0,0
64,20200301,"S12000010","East Lothian",0,0,0,NA,0,0,0,1,11,10.194624652456,1,0,0,NA,1,0,0,0
65,20200301,"S12000011","East Renfrewshire",0,0,0,NA,0,0,0,4,8,8.3281282531751,4,0,0,NA,4,0,0,0
66,20200301,"S12000014","Falkirk",0,0,0,NA,0,0,0,1,31,19.3074240159442,1,0,0,NA,1,0,0,0
67,20200301,"S12000017","Highland",0,0,0,NA,0,0,0,0,24,10.1941128998004,0,0,0,NA,0,0,0,0
68,20200301,"S12000018","Inverclyde",0,0,0,NA,0,0,0,2,9,11.6792110044121,3,0,0,NA,3,0,0,0
69,20200301,"S12000019","Midlothian",0,0,0,NA,0,0,0,0,10,10.7353730542136,2,0,0,NA,2,0,0,0
70,20200301,"S12000020","Moray",1,1,1.04482290251802,NA,0,0,0,1,13,13.5826977327343,3,1,33.3333333333333,NA,3,0,1,0
71,20200301,"S12000021","North Ayrshire",0,0,0,NA,0,0,0,2,16,11.9180633147114,2,0,0,NA,2,0,0,0
72,20200301,"S12000023","Orkney Islands",0,0,0,NA,0,0,0,0,4,17.8571428571429,0,0,0,NA,0,0,0,0
73,20200301,"S12000026","Scottish Borders",0,0,0,NA,0,0,0,2,23,19.9583477959042,3,0,0,NA,3,0,0,0
74,20200301,"S12000028","South Ayrshire",0,0,0,NA,0,0,0,1,4,3.56696985910469,1,0,0,NA,1,0,0,0
75,20200301,"S12000029","South Lanarkshire",0,0,0,NA,0,0,0,3,27,8.41593416869273,3,0,0,NA,3,0,0,0
76,20200301,"S12000030","Stirling",0,0,0,NA,0,0,0,0,21,22.3214285714286,3,0,0,NA,3,0,0,0
77,20200301,"S12000033","Aberdeen City",0,0,0,NA,0,0,0,2,31,13.5335719898716,3,0,0,NA,3,0,0,0
78,20200301,"S12000034","Aberdeenshire",0,0,0,NA,0,0,0,0,30,11.5039496893934,1,0,0,NA,1,0,0,0
79,20200301,"S12000035","Argyll and Bute",0,0,0,NA,0,0,0,0,3,3.51164696242538,1,0,0,NA,1,0,0,0
80,20200301,"S12000036","City of Edinburgh",0,0,0,NA,0,0,0,10,111,21.0378681626928,13,0,0,NA,13,0,0,0
81,20200301,"S12000038","Renfrewshire",0,0,0,NA,0,0,0,5,19,10.5914487987067,6,0,0,NA,6,0,0,0
82,20200301,"S12000039","West Dunbartonshire",0,0,0,NA,0,0,0,1,11,12.4518904233643,1,0,0,NA,1,0,0,0
83,20200301,"S12000040","West Lothian",0,0,0,NA,0,0,0,2,28,15.2322924600152,2,0,0,NA,2,0,0,0
84,20200301,"S12000041","Angus",0,1,0.863408737696425,NA,0,0,0,2,26,22.4486271801071,3,0,0,NA,3,0,0,0
85,20200301,"S12000042","Dundee City",0,0,0,NA,0,0,0,0,17,11.4231958070152,0,0,0,NA,0,0,0,0
86,20200301,"S12000045","East Dunbartonshire",0,0,0,NA,0,0,0,2,13,11.9540229885057,2,0,0,NA,2,0,0,0
87,20200301,"S12000047","Fife",0,0,0,NA,0,0,0,1,61,16.3044930906369,2,0,0,NA,2,0,0,0
88,20200301,"S12000048","Perth and Kinross",0,0,0,NA,0,0,0,0,22,14.4822592324403,0,0,0,NA,0,0,0,0
