date,hb,hb_name,daily_positive,cumulative_positive,crude_rate_positive,crude_rate7day_positive,daily_deaths,cumulative_deaths,crude_rate_deaths,daily_negative,cumulative_negative,crude_rate_negative,total_tests,positive_tests,positive_percentage,positive_percentage7day,total_pillar1,total_pillar2,hospital_admissions,icu_admissions,positive_pillar1,positive_pillar2
2020-07-26,S08000029,NHS Fife,1,944,252.31871274690613,1.0691470879106193,0,126,33.67813326918451,98,15844,4234.891615213963,285,2,0.7017543859649122,0.18185951352580132,177,108,NA,NA,1,1
2020-07-26,S08000030,NHS Tayside,0,1787,429.0001200336094,0.7202016564638098,0,208,49.933981514824154,138,19890,4774.93698235506,303,0,0,0.1065340909090909,215,88,NA,NA,0,0
2020-07-26,S08000031,NHS Greater Glasgow and Clyde,4,4965,418.9025007593399,3.459215011305727,0,751,63.362694475380515,287,56139,4736.509061455908,1016,4,0.3937007874015748,0.3048233817464586,623,393,NA,NA,0,4
2020-07-26,S08000032,NHS Lanarkshire,0,2783,420.41815215420866,3.1723971236932744,0,361,54.53501722158439,152,30411,4594.084234696961,439,0,0,0.2590157401872883,263,176,NA,NA,0,0
2020-07-26,S92000003,Scotland,7,18580,339.91950237833885,1.68313208927918,0,2549,46.63373582144164,1464,249623,4566.831320892792,4176,8,0.1915708812260536,0.16304197640036475,2725,1451,0,0,1,7
2020-07-27,S08000015,NHS Ayrshire and Arran,0,1282,348.3790320389141,1.3587325742547351,0,175,47.55564009891573,135,16909,4594.961819614663,655,1,0.15267175572519084,0.14167172637117992,294,361,NA,NA,0,1
2020-07-27,S08000016,NHS Borders,0,340,295.03644567858385,0.8677542519958349,0,39,33.842415827837556,57,5562,4826.449149600833,170,0,0,0.06724949562878278,94,76,NA,NA,0,0
2020-07-27,S08000017,NHS Dumfries and Galloway,1,304,205.0037089486816,0.6743543057522422,0,40,26.97417223008969,132,8164,5505.428552161306,314,1,0.3184713375796179,0.04911591355599214,159,155,NA,NA,0,1
2020-07-27,S08000019,NHS Forth Valley,1,1091,356.6175268852352,0.3268721602981074,0,135,44.1277416402445,152,13799,4510.508939953585,697,1,0.1434720229555237,0.04750593824228028,300,397,NA,NA,0,1
2020-07-27,S08000020,NHS Grampian,1,1448,247.2888737084792,1.0246776534881736,0,153,26.129280163948422,300,28210,4817.692767483562,1074,1,0.0931098696461825,0.07696254489481785,541,533,NA,NA,0,1
2020-07-27,S08000022,NHS Highland,0,384,119.6783643956866,0.9349872218413016,0,65,20.2580564732282,134,13776,4293.461322695256,459,0,0,0.07664793050587634,249,210,NA,NA,0,0
2020-07-27,S08000024,NHS Lothian,3,3188,349.37369176648514,1.2054926629332925,0,490,53.699218621573934,492,38785,4250.457539260704,1706,3,0.1758499413833529,0.11757789535567312,749,957,NA,NA,0,3
2020-07-27,S08000025,NHS Orkney,0,9,40.17857142857143,0,0,1,4.464285714285714,10,912,4071.428571428571,18,0,0,0.5263157894736842,17,1,NA,NA,0,0
2020-07-27,S08000026,NHS Shetland,0,54,236.1171840839528,0,0,5,21.862702229995627,13,1475,6449.49715784871,116,0,0,0,24,92,NA,NA,0,0
2020-07-27,S08000028,NHS Western Isles,0,7,26.41509433962264,0,0,0,0,7,1179,4449.056603773585,46,0,0,0,12,34,NA,NA,0,0
2020-07-27,S08000029,NHS Fife,1,945,252.58599951888385,0.8018603159329645,0,126,33.67813326918451,163,16007,4278.459359046321,644,1,0.15527950310559005,0.13315579227696406,256,388,NA,NA,1,0
2020-07-27,S08000030,NHS Tayside,0,1787,429.0001200336094,0.7202016564638098,0,208,49.933981514824154,173,20063,4816.4686112111385,532,0,0,0.11009174311926606,251,281,NA,NA,0,0
2020-12-22,S08000025,NHS Orkney,0,37,165.17857142857144,0,0,2,8.928571428571429,6,2612,11660.714285714286,43,0,0,0,14,29,NA,NA,0,0
2020-07-27,S08000031,NHS Greater Glasgow and Clyde,6,4971,419.40872734636025,3.7123283048159026,0,751,63.362694475380515,724,56863,4797.593736289697,2913,8,0.2746309646412633,0.3138323069635244,1360,1553,NA,NA,1,7
2020-07-27,S08000032,NHS Lanarkshire,0,2783,420.41815215420866,2.1149314157955166,0,361,54.53501722158439,343,30754,4645.900054383951,1366,0,0,0.19517205957883924,758,608,NA,NA,0,0
2020-07-27,S92000003,Scotland,13,18593,340.15733626051957,1.68313208927918,0,2549,46.63373582144164,2835,252458,4618.6974021222095,10710,16,0.14939309056956115,0.16227461858529818,5064,5646,6,0,2,14
2020-07-28,S08000015,NHS Ayrshire and Arran,1,1283,348.650778553765,1.086986059403788,0,175,47.55564009891573,193,17102,4647.408896980896,1041,1,0.09606147934678194,0.1169818678104894,323,718,NA,NA,0,1
2020-07-28,S08000016,NHS Borders,0,340,295.03644567858385,0.8677542519958349,0,39,33.842415827837556,69,5631,4886.324192988545,316,0,0,0.06675567423230974,150,166,NA,NA,0,0
2020-07-28,S08000017,NHS Dumfries and Galloway,0,304,205.0037089486816,0.6743543057522422,0,40,26.97417223008969,113,8277,5581.6305887113085,489,0,0,0.04775549188156638,126,363,NA,NA,0,0
2020-07-28,S08000019,NHS Forth Valley,2,1093,357.2712712058314,0.9806164808943222,0,135,44.1277416402445,130,13929,4553.002320792339,998,2,0.2004008016032064,0.08994827973914998,380,618,NA,NA,0,2
2020-07-28,S08000020,NHS Grampian,3,1451,247.80121253522327,1.3662368713175648,0,153,26.129280163948422,397,28607,4885.492272222697,1929,4,0.20736132711249353,0.1153846153846154,565,1364,NA,NA,1,3
2020-07-28,S08000022,NHS Highland,0,384,119.6783643956866,0.6233248145608676,0,65,20.2580564732282,148,13924,4339.587358972761,953,0,0,0.05116398055768739,202,751,NA,NA,0,0
2020-07-28,S08000024,NHS Lothian,3,3191,349.70246249273964,1.2054926629332925,0,490,53.699218621573934,485,39270,4303.608806671854,2445,4,0.16359918200409,0.12408132098883268,668,1777,NA,NA,0,4
2020-07-28,S08000025,NHS Orkney,0,9,40.17857142857143,0,0,1,4.464285714285714,5,917,4093.75,13,0,0,0.5586592178770949,11,2,NA,NA,0,0
2020-07-28,S08000026,NHS Shetland,0,54,236.1171840839528,0,0,5,21.862702229995627,18,1493,6528.2028858766935,71,0,0,0,28,43,NA,NA,0,0
2020-07-28,S08000028,NHS Western Isles,0,7,26.41509433962264,0,0,0,0,11,1190,4490.566037735849,53,0,0,0,17,36,NA,NA,0,0
2020-07-28,S08000029,NHS Fife,0,945,252.58599951888385,0.8018603159329645,0,126,33.67813326918451,200,16207,4331.916713441851,1022,0,0,0.11071744906997344,210,812,NA,NA,0,0
2020-07-28,S08000030,NHS Tayside,2,1789,429.4802544712519,0.7202016564638098,0,208,49.933981514824154,184,20247,4860.640979474252,1182,3,0.25380710659898476,0.10997067448680352,268,914,NA,NA,1,2
2020-07-28,S08000031,NHS Greater Glasgow and Clyde,10,4981,420.2524383247275,4.049812696162802,0,751,63.362694475380515,639,57502,4851.506867807364,3531,11,0.3115264797507788,0.3335869374378182,1194,2337,NA,NA,1,10
2020-07-28,S08000032,NHS Lanarkshire,1,2784,420.5692186839084,1.6617318266964771,0,361,54.53501722158439,326,31080,4695.147743066046,1932,1,0.05175983436853002,0.16455826391031575,803,1129,NA,NA,0,1
2020-07-28,S92000003,Scotland,22,18615,340.55982436882545,1.7380168313208928,0,2549,46.63373582144164,2918,255376,4672.0819612147825,15975,26,0.16275430359937404,0.1656853347939203,4945,11030,0,0,3,23
2020-07-29,S08000015,NHS Ayrshire and Arran,0,1283,348.650778553765,0.8152395445528412,0,175,47.55564009891573,179,17281,4696.0515231392155,1124,0,0,0.07867820613690008,388,736,NA,NA,0,0
2020-07-29,S08000016,NHS Borders,0,340,295.03644567858385,0.8677542519958349,0,39,33.842415827837556,50,5681,4929.711905588338,282,0,0,0.06720430107526883,111,171,NA,NA,0,0
2020-07-29,S08000017,NHS Dumfries and Galloway,2,306,206.35241756018613,2.023062917256727,0,40,26.97417223008969,88,8365,5640.973767617506,434,3,0.6912442396313364,0.19851116625310172,146,288,NA,NA,0,3
2020-07-29,S08000019,NHS Forth Valley,3,1096,358.2518876867257,1.9612329617886444,0,135,44.1277416402445,162,14091,4605.955610760631,1023,4,0.39100684261974583,0.1738374619730552,268,755,NA,NA,0,4
2020-07-29,S08000020,NHS Grampian,2,1453,248.14277175305267,1.5370164802322603,0,153,26.129280163948422,304,28911,4937.409273332764,1627,2,0.1229256299938537,0.12846865364850976,353,1274,NA,NA,0,2
