year,quarter,week_ending,hb,simd_quintile,number_attendances,average20182019,percent_variation
2020,1,2020-01-12,S08000022,3,306,269.5,13.5
2020,1,2020-01-12,S08000022,4,295,269,9.7
2020,1,2020-01-12,S08000022,5,90,81,11.1
2020,1,2020-01-12,S08000024,1,742,765.5,-3.1
2020,1,2020-01-12,S08000024,2,1014,1035.5,-2.1
2020,1,2020-01-12,S08000024,3,716,673.5,6.3
2020,1,2020-01-12,S08000024,4,617,595,3.7
2020,1,2020-01-12,S08000024,5,790,789,0.1
2020,1,2020-01-12,S08000025,2,24,18,33.3
2020,1,2020-01-12,S08000025,3,41,28,46.4
2020,1,2020-01-12,S08000025,4,63,40.5,55.6
2020,1,2020-01-12,S08000025,5,12,6.5,84.6
2020,1,2020-01-12,S08000026,2,7,7,0
2020,1,2020-01-12,S08000026,3,35,42.5,-17.6
2020,1,2020-01-12,S08000026,4,80,84,-4.8
2020,1,2020-01-12,S08000028,2,36,34,5.9
2020,1,2020-01-12,S08000028,3,88,69,27.5
2020,1,2020-01-12,S08000028,4,8,8,0
2020,1,2020-01-12,S08000029,1,376,374,0.5
2020,1,2020-01-12,S08000029,2,313,284.5,10
2020,1,2020-01-12,S08000029,3,221,223,-0.9
2020,1,2020-01-12,S08000029,4,131,134.5,-2.6
2020,1,2020-01-12,S08000029,5,146,137,6.6
2020,1,2020-01-12,S08000030,1,323,288,12.2
2020,1,2020-01-12,S08000030,2,214,237.5,-9.9
2020,1,2020-01-12,S08000030,3,245,266.5,-8.1
2020,1,2020-01-12,S08000030,4,308,291,5.8
2020,1,2020-01-12,S08000030,5,178,195.5,-9
2020,1,2020-01-12,S08000031,1,2995,3023.5,-0.9
2020,1,2020-01-12,S08000031,2,1187,1168.5,1.6
2020,1,2020-01-12,S08000031,3,832,843.5,-1.4
2020,1,2020-01-12,S08000031,4,733,714,2.7
2020,1,2020-01-12,S08000031,5,784,771,1.7
2020,1,2020-01-12,S08000032,1,1322,1204.5,9.8
2020,1,2020-01-12,S08000032,2,1184,1089.5,8.7
2020,1,2020-01-12,S08000032,3,641,661.5,-3.1
2020,1,2020-01-12,S08000032,4,470,452,4
2020,1,2020-01-12,S08000032,5,342,309,10.7
2020,1,2020-01-12,S92000003,1,7220,7047,2.5
2020,1,2020-01-12,S92000003,2,5774,5630,2.6
2020,1,2020-01-12,S92000003,3,4379,4313.5,1.5
2020,1,2020-01-12,S92000003,4,3856,3710,3.9
2020,1,2020-01-12,S92000003,5,3274,3151.5,3.9
2020,1,2020-01-19,S08000015,1,717,749,-4.3
2020,1,2020-01-19,S08000015,2,496,481.5,3
2020,1,2020-01-19,S08000015,3,262,274.5,-4.6
2020,1,2020-01-19,S08000015,4,220,212.5,3.5
2020,1,2020-01-19,S08000015,5,186,159,17
2020,1,2020-01-19,S08000016,1,52,41,26.8
2020,1,2020-01-19,S08000016,2,100,93,7.5
2020,1,2020-01-19,S08000016,3,172,172.5,-0.3
2020,1,2020-01-19,S08000016,4,209,158,32.3
2020,1,2020-01-19,S08000016,5,38,40,-5
2020,1,2020-01-19,S08000017,1,114,126,-9.5
2020,1,2020-01-19,S08000017,2,263,274,-4
2020,1,2020-01-19,S08000017,3,237,236.5,0.2
2020,1,2020-01-19,S08000017,4,128,100.5,27.4
2020,1,2020-01-19,S08000017,5,52,61.5,-15.4
2020,1,2020-01-19,S08000019,1,261,258.5,1
2020,1,2020-01-19,S08000019,2,346,309,12
2020,1,2020-01-19,S08000019,3,219,198.5,10.3
2020,1,2020-01-19,S08000019,4,184,158.5,16.1
2020,1,2020-01-19,S08000019,5,173,156.5,10.5
2020,1,2020-01-19,S08000020,1,135,129,4.7
2020,1,2020-01-19,S08000020,2,352,349,0.9
2020,1,2020-01-19,S08000020,3,371,337,10.1
2020,1,2020-01-19,S08000020,4,502,462,8.7
2020,1,2020-01-19,S08000020,5,534,468,14.1
2020,1,2020-01-19,S08000022,1,123,120,2.5
2020,1,2020-01-19,S08000022,2,215,219.5,-2.1
2020,1,2020-01-19,S08000022,3,285,285.5,-0.2
2020,1,2020-01-19,S08000022,4,288,276,4.3
2020,1,2020-01-19,S08000022,5,75,85.5,-12.3
2020,1,2020-01-19,S08000024,1,838,771.5,8.6
2020,1,2020-01-19,S08000024,2,1067,976.5,9.3
2020,1,2020-01-19,S08000024,3,691,699,-1.1
2020,1,2020-01-19,S08000024,4,650,643.5,1
2020,1,2020-01-19,S08000024,5,818,813.5,0.6
2020,1,2020-01-19,S08000025,2,20,19,5.3
2020,1,2020-01-19,S08000025,3,33,33.5,-1.5
2020,1,2020-01-19,S08000025,4,75,44,70.5
2020,1,2020-01-19,S08000025,5,7,11,-36.4
2020,1,2020-01-19,S08000026,2,6,5,20
2020,1,2020-01-19,S08000026,3,35,45.5,-23.1
2020,1,2020-01-19,S08000026,4,75,85.5,-12.3
2020,1,2020-01-19,S08000028,2,22,29,-24.1
2020,1,2020-01-19,S08000028,3,67,69.5,-3.6
2020,1,2020-01-19,S08000028,4,13,7.5,73.3
2020,1,2020-01-19,S08000029,1,408,398.5,2.4
2020,1,2020-01-19,S08000029,2,341,274.5,24.2
2020,1,2020-01-19,S08000029,3,201,211,-4.7
2020,1,2020-01-19,S08000029,4,145,131.5,10.3
2020,1,2020-01-19,S08000029,5,151,131,15.3
2020,1,2020-01-19,S08000030,1,285,286.5,-0.5
2020,1,2020-01-19,S08000030,2,229,221.5,3.4
2020,1,2020-01-19,S08000030,3,243,218,11.5
2020,1,2020-01-19,S08000030,4,326,316.5,3
2020,1,2020-01-19,S08000030,5,220,197,11.7
2020,1,2020-01-19,S08000031,1,3045,2961,2.8
2020,1,2020-01-19,S08000031,2,1148,1143.5,0.4
2020,1,2020-01-19,S08000031,3,811,814.5,-0.4
2020,1,2020-01-19,S08000031,4,759,720.5,5.3
2020,1,2020-01-19,S08000031,5,789,735,7.3
2020,1,2020-01-19,S08000032,1,1238,1205.5,2.7
2020,1,2020-01-19,S08000032,2,1064,1031.5,3.2
2020,1,2020-01-19,S08000032,3,691,622,11.1
2020,1,2020-01-19,S08000032,4,468,441.5,6
2020,1,2020-01-19,S08000032,5,310,292,6.2
2020,1,2020-01-19,S92000003,1,7218,7047,2.4
2020,1,2020-01-19,S92000003,2,5669,5426.5,4.5
2020,1,2020-01-19,S92000003,3,4318,4217.5,2.4
2020,1,2020-01-19,S92000003,4,4042,3758,7.6
2020,1,2020-01-19,S92000003,5,3355,3150.5,6.5
2020,1,2020-01-26,S08000015,1,801,780,2.7
2020,1,2020-01-26,S08000015,2,517,492,5.1
2020,1,2020-01-26,S08000015,3,273,299.5,-8.8
2020,1,2020-01-26,S08000015,4,228,217,5.1
2020,1,2020-01-26,S08000015,5,190,200.5,-5.2
2020,1,2020-01-26,S08000016,1,55,45,22.2
2020,1,2020-01-26,S08000016,2,116,95.5,21.5
2020,1,2020-01-26,S08000016,3,182,194,-6.2
2020,1,2020-01-26,S08000016,4,141,176.5,-20.1
2020,1,2020-01-26,S08000016,5,27,44,-38.6
2020,1,2020-01-26,S08000017,1,128,120,6.7
2020,1,2020-01-26,S08000017,2,284,250.5,13.4
2020,1,2020-01-26,S08000017,3,232,256,-9.4
2020,1,2020-01-26,S08000017,4,103,101.5,1.5
2020,1,2020-01-26,S08000017,5,57,50,14
2020,1,2020-01-26,S08000019,1,305,272.5,11.9
2020,1,2020-01-26,S08000019,2,334,331,0.9
2020,1,2020-01-26,S08000019,3,208,212,-1.9
2020,1,2020-01-26,S08000019,4,211,176,19.9
2020,1,2020-01-26,S08000019,5,166,156,6.4
2020,1,2020-01-26,S08000020,1,125,120.5,3.7
2020,1,2020-01-26,S08000020,2,397,367.5,8
2020,1,2020-01-26,S08000020,3,355,325,9.2
2020,1,2020-01-26,S08000020,4,496,461,7.6
2020,1,2020-01-26,S08000020,5,527,493,6.9
2020,1,2020-01-26,S08000022,1,127,120.5,5.4
2020,1,2020-01-26,S08000022,2,217,227,-4.4
2020,1,2020-01-26,S08000022,3,282,282.5,-0.2
2020,1,2020-01-26,S08000022,4,285,294.5,-3.2
2020,1,2020-01-26,S08000022,5,82,68.5,19.7
2020,1,2020-01-26,S08000024,1,842,812,3.7
2020,1,2020-01-26,S08000024,2,1072,1013.5,5.8
2020,1,2020-01-26,S08000024,3,802,715,12.2
2020,1,2020-01-26,S08000024,4,694,658,5.5
2020,1,2020-01-26,S08000024,5,878,875.5,0.3
2020,1,2020-01-26,S08000025,2,10,11,-9.1
2020,1,2020-01-26,S08000025,3,37,35,5.7
2020,1,2020-01-26,S08000025,4,53,51,3.9
2020,1,2020-01-26,S08000025,5,9,9.5,-5.3
2020,1,2020-01-26,S08000026,2,7,5.5,27.3
2020,1,2020-01-26,S08000026,3,30,35,-14.3
2020,1,2020-01-26,S08000026,4,88,83,6
2020,1,2020-01-26,S08000028,2,24,30,-20
2020,1,2020-01-26,S08000028,3,79,65.5,20.6
2020,1,2020-01-26,S08000028,4,15,7,114.3
2020,1,2020-01-26,S08000029,1,399,394.5,1.1
2020,1,2020-01-26,S08000029,2,327,313.5,4.3
2020,1,2020-01-26,S08000029,3,227,215.5,5.3
2020,1,2020-01-26,S08000029,4,165,141,17
2020,1,2020-01-26,S08000029,5,141,136,3.7
2020,1,2020-01-26,S08000030,1,342,312,9.6
2020,1,2020-01-26,S08000030,2,228,232.5,-1.9
2020,1,2020-01-26,S08000030,3,293,250,17.2
2020,1,2020-01-26,S08000030,4,321,325.5,-1.4
2020,1,2020-01-26,S08000030,5,188,195,-3.6
2020,1,2020-01-26,S08000031,1,3150,3106.5,1.4
2020,1,2020-01-26,S08000031,2,1246,1174,6.1
2020,1,2020-01-26,S08000031,3,862,838,2.9
2020,1,2020-01-26,S08000031,4,764,762,0.3
2020,1,2020-01-26,S08000031,5,801,804,-0.4
2020,1,2020-01-26,S08000032,1,1293,1277,1.3
2020,1,2020-01-26,S08000032,2,1078,1157,-6.8
2020,1,2020-01-26,S08000032,3,617,655.5,-5.9
2020,1,2020-01-26,S08000032,4,464,489,-5.1
2020,1,2020-01-26,S08000032,5,318,329.5,-3.5
2020,1,2020-01-26,S92000003,1,7570,7362.5,2.8
2020,1,2020-01-26,S92000003,2,5857,5700.5,2.7
2020,1,2020-01-26,S92000003,3,4479,4378.5,2.3
2020,1,2020-01-26,S92000003,4,4028,3943,2.2
2020,1,2020-01-26,S92000003,5,3385,3362,0.7
2020,1,2020-02-02,S08000015,1,786,795,-1.1
2020,1,2020-02-02,S08000015,2,504,504,0
2020,1,2020-02-02,S08000015,3,315,305,3.3
2020,1,2020-02-02,S08000015,4,218,215,1.4
2020,1,2020-02-02,S08000015,5,175,188,-6.9
2020,1,2020-02-02,S08000016,1,56,39.5,41.8
2020,1,2020-02-02,S08000016,2,97,89.5,8.4
2020,1,2020-02-02,S08000016,3,193,167,15.6
2020,1,2020-02-02,S08000016,4,192,160,20
2020,1,2020-02-02,S08000016,5,43,40.5,6.2
2020,1,2020-02-02,S08000017,1,103,108.5,-5.1
2020,1,2020-02-02,S08000017,2,296,288.5,2.6
2020,1,2020-02-02,S08000017,3,240,262,-8.4
2020,1,2020-02-02,S08000017,4,119,108.5,9.7
2020,1,2020-02-02,S08000017,5,59,58,1.7
2020,1,2020-02-02,S08000019,1,241,253.5,-4.9
2020,1,2020-02-02,S08000019,2,331,341.5,-3.1
2020,1,2020-02-02,S08000019,3,211,196,7.7
2020,1,2020-02-02,S08000019,4,197,174.5,12.9
2020,1,2020-02-02,S08000019,5,171,146,17.1
2020,1,2020-02-02,S08000020,1,134,143.5,-6.6
2020,1,2020-02-02,S08000020,2,364,360,1.1
2020,1,2020-02-02,S08000020,3,378,342.5,10.4
2020,1,2020-02-02,S08000020,4,518,464,11.6
2020,1,2020-02-02,S08000020,5,583,521,11.9
2020,1,2020-02-02,S08000022,1,111,120,-7.5
2020,1,2020-02-02,S08000022,2,234,220,6.4
2020,1,2020-02-02,S08000022,3,329,310.5,6
2020,1,2020-02-02,S08000022,4,309,319,-3.1
2020,1,2020-02-02,S08000022,5,93,88.5,5.1
2020,1,2020-02-02,S08000024,1,809,811,-0.2
2020,1,2020-02-02,S08000024,2,1097,1100.5,-0.3
2020,1,2020-02-02,S08000024,3,740,744.5,-0.6
2020,1,2020-02-02,S08000024,4,686,641.5,6.9
2020,1,2020-02-02,S08000024,5,934,860,8.6
2020,1,2020-02-02,S08000025,2,17,16.5,3
2020,1,2020-02-02,S08000025,3,55,41.5,32.5
2020,1,2020-02-02,S08000025,4,43,52,-17.3
2020,1,2020-02-02,S08000025,5,6,9.5,-36.8
2020,1,2020-02-02,S08000026,2,10,7,42.9
2020,1,2020-02-02,S08000026,3,50,42.5,17.6
2020,1,2020-02-02,S08000026,4,83,91.5,-9.3
2020,1,2020-02-02,S08000028,1,5,0.5,900
2020,1,2020-02-02,S08000028,2,34,31,9.7
2020,1,2020-02-02,S08000028,3,74,86,-14
2020,1,2020-02-02,S08000029,1,386,400,-3.5
2020,1,2020-02-02,S08000029,2,305,303,0.7
2020,1,2020-02-02,S08000029,3,222,238.5,-6.9
2020,1,2020-02-02,S08000029,4,150,129,16.3
2020,1,2020-02-02,S08000029,5,152,142,7
2020,1,2020-02-02,S08000030,1,314,336,-6.5
2020,1,2020-02-02,S08000030,2,259,230.5,12.4
2020,1,2020-02-02,S08000030,3,255,265.5,-4
2020,1,2020-02-02,S08000030,4,387,309,25.2
2020,1,2020-02-02,S08000030,5,207,204,1.5
2020,1,2020-02-02,S08000031,1,3057,3051,0.2
2020,1,2020-02-02,S08000031,2,1187,1209,-1.8
2020,1,2020-02-02,S08000031,3,805,852.5,-5.6
2020,1,2020-02-02,S08000031,4,732,755.5,-3.1
2020,1,2020-02-02,S08000031,5,778,787.5,-1.2
2020,1,2020-02-02,S08000032,1,1288,1288.5,0
2020,1,2020-02-02,S08000032,2,1131,1114.5,1.5
2020,1,2020-02-02,S08000032,3,677,671.5,0.8
2020,1,2020-02-02,S08000032,4,456,478.5,-4.7
2020,1,2020-02-02,S08000032,5,353,313.5,12.6
2020,1,2020-02-02,S92000003,1,7290,7348.5,-0.8
2020,1,2020-02-02,S92000003,2,5866,5815.5,0.9
2020,1,2020-02-02,S92000003,3,4544,4525.5,0.4
2020,1,2020-02-02,S92000003,4,4094,3913.5,4.6
2020,1,2020-02-02,S92000003,5,3557,3360,5.9
2020,1,2020-02-09,S08000015,1,736,784,-6.1
2020,1,2020-02-09,S08000015,2,468,505.5,-7.4
2020,1,2020-02-09,S08000015,3,279,304.5,-8.4
2020,1,2020-02-09,S08000015,4,209,218,-4.1
2020,1,2020-02-09,S08000015,5,169,184.5,-8.4
2020,1,2020-02-09,S08000016,1,46,45,2.2
2020,1,2020-02-09,S08000016,2,109,119.5,-8.8
2020,1,2020-02-09,S08000016,3,192,195.5,-1.8
2020,1,2020-02-09,S08000016,4,170,167,1.8
2020,1,2020-02-09,S08000016,5,36,39.5,-8.9
2020,1,2020-02-09,S08000017,1,107,127.5,-16.1
2020,1,2020-02-09,S08000017,2,296,288,2.8
2020,1,2020-02-09,S08000017,3,244,253.5,-3.7
2020,1,2020-02-09,S08000017,4,101,111.5,-9.4
2020,1,2020-02-09,S08000017,5,69,71,-2.8
2020,1,2020-02-09,S08000019,1,278,246.5,12.8
2020,1,2020-02-09,S08000019,2,337,322.5,4.5
2020,1,2020-02-09,S08000019,3,198,184,7.6
2020,1,2020-02-09,S08000019,4,193,180,7.2
2020,1,2020-02-09,S08000019,5,187,149,25.5
2020,1,2020-02-09,S08000020,1,110,140,-21.4
2020,1,2020-02-09,S08000020,2,361,369.5,-2.3
2020,1,2020-02-09,S08000020,3,344,358,-3.9
2020,1,2020-02-09,S08000020,4,551,481,14.6
2020,1,2020-02-09,S08000020,5,524,517.5,1.3
2020,1,2020-02-09,S08000022,1,110,133.5,-17.6
2020,1,2020-02-09,S08000022,2,204,223.5,-8.7
2020,1,2020-02-09,S08000022,3,309,299.5,3.2
2020,1,2020-02-09,S08000022,4,325,318.5,2
2020,1,2020-02-09,S08000022,5,96,87.5,9.7
2020,1,2020-02-09,S08000024,1,832,825,0.8
2020,1,2020-02-09,S08000024,2,1085,1078,0.6
2020,1,2020-02-09,S08000024,3,797,750,6.3
2020,1,2020-02-09,S08000024,4,689,682.5,1
2020,1,2020-02-09,S08000024,5,829,888.5,-6.7
2020,1,2020-02-09,S08000025,2,19,13.5,40.7
2020,1,2020-02-09,S08000025,3,31,37.5,-17.3
2020,1,2020-02-09,S08000025,4,60,53.5,12.1
2020,1,2020-02-09,S08000025,5,13,12.5,4
2020,1,2020-02-09,S08000026,2,9,4.5,100
2020,1,2020-02-09,S08000026,3,41,50,-18
2020,1,2020-02-09,S08000026,4,97,101,-4
2020,1,2020-02-09,S08000028,2,26,22,18.2
2020,1,2020-02-09,S08000028,3,69,70,-1.4
2020,1,2020-02-09,S08000028,4,5,12.5,-60
2020,1,2020-02-09,S08000029,1,471,407.5,15.6
2020,1,2020-02-09,S08000029,2,333,292.5,13.8
2020,1,2020-02-09,S08000029,3,222,210.5,5.5
2020,1,2020-02-09,S08000029,4,150,128.5,16.7
2020,1,2020-02-09,S08000029,5,138,151,-8.6
2020,1,2020-02-09,S08000030,1,361,328.5,9.9
2020,1,2020-02-09,S08000030,2,234,231,1.3
2020,1,2020-02-09,S08000030,3,316,281,12.5
2020,1,2020-02-09,S08000030,4,326,350,-6.9
2020,1,2020-02-09,S08000030,5,191,219,-12.8
2020,1,2020-02-09,S08000031,1,3015,3096,-2.6
2020,1,2020-02-09,S08000031,2,1118,1246.5,-10.3
2020,1,2020-02-09,S08000031,3,842,875,-3.8
2020,1,2020-02-09,S08000031,4,710,750,-5.3
2020,1,2020-02-09,S08000031,5,773,804,-3.9
2020,1,2020-02-09,S08000032,1,1256,1346.5,-6.7
2020,1,2020-02-09,S08000032,2,1120,1147.5,-2.4
2020,1,2020-02-09,S08000032,3,705,673.5,4.7
2020,1,2020-02-09,S08000032,4,468,497,-5.8
2020,1,2020-02-09,S08000032,5,348,306,13.7
2020,1,2020-02-09,S92000003,1,7324,7483,-2.1
2020,1,2020-02-09,S92000003,2,5719,5864,-2.5
2020,1,2020-02-09,S92000003,3,4589,4542.5,1
2020,1,2020-02-09,S92000003,4,4054,4051,0.1
2020,1,2020-02-09,S92000003,5,3374,3432,-1.7
2020,1,2020-02-16,S08000015,1,672,815,-17.5
2020,1,2020-02-16,S08000015,2,457,522,-12.5
2020,1,2020-02-16,S08000015,3,282,286.5,-1.6
2020,1,2020-02-16,S08000015,4,179,220.5,-18.8
2020,1,2020-02-16,S08000015,5,184,192.5,-4.4
