year,quarter,week_ending,hscp,age_group,sex,number_attendances,average20182019,percent_variation
2020,2,2020-04-26,S37000024,All ages,Male,263,611,-57
2020,2,2020-04-26,S37000025,Under 5,All,17,30,-43.3
2020,2,2020-04-26,S37000025,5 - 14,All,13,49,-73.5
2020,2,2020-04-26,S37000025,15 - 44,All,109,190,-42.6
2020,2,2020-04-26,S37000025,45 - 64,All,122,162.5,-24.9
2020,2,2020-04-26,S37000025,65 - 74,All,42,83.5,-49.7
2020,2,2020-04-26,S37000025,75 - 84,All,59,68,-13.2
2020,2,2020-04-26,S37000025,85 and over,All,43,48,-10.4
2020,2,2020-04-26,S37000025,All ages,All,408,634.5,-35.7
2020,2,2020-04-26,S37000025,All ages,Female,205,294,-30.3
2020,2,2020-04-26,S37000025,All ages,Male,200,337,-40.7
2020,2,2020-04-26,S37000026,5 - 14,All,6,18,-66.7
2020,2,2020-04-26,S37000026,15 - 44,All,30,46.5,-35.5
2020,2,2020-04-26,S37000026,45 - 64,All,17,30.5,-44.3
2020,2,2020-04-26,S37000026,65 - 74,All,14,16,-12.5
2020,2,2020-04-26,S37000026,75 - 84,All,9,19.5,-53.8
2020,2,2020-04-26,S37000026,85 and over,All,6,7,-14.3
2020,2,2020-04-26,S37000026,All ages,All,87,153.5,-43.3
2020,2,2020-04-26,S37000026,All ages,Female,48,73.5,-34.7
2020,2,2020-04-26,S37000026,All ages,Male,38,79.5,-52.2
2020,2,2020-04-26,S37000027,Under 5,All,26,55,-52.7
2020,2,2020-04-26,S37000027,5 - 14,All,22,91.5,-76
2020,2,2020-04-26,S37000027,15 - 44,All,104,216.5,-52
2020,2,2020-04-26,S37000027,45 - 64,All,121,140.5,-13.9
2020,2,2020-04-26,S37000027,65 - 74,All,48,72,-33.3
2020,2,2020-04-26,S37000027,75 - 84,All,57,66,-13.6
2020,2,2020-04-26,S37000027,85 and over,All,33,44.5,-25.8
2020,2,2020-04-26,S37000027,All ages,All,411,687,-40.2
2020,2,2020-04-26,S37000027,All ages,Female,192,337.5,-43.1
2020,2,2020-04-26,S37000027,All ages,Male,219,348.5,-37.2
2020,2,2020-04-26,S37000028,Under 5,All,61,163,-62.6
2020,2,2020-04-26,S37000028,5 - 14,All,69,225.5,-69.4
2020,2,2020-04-26,S37000028,15 - 44,All,366,688,-46.8
2020,2,2020-04-26,S37000028,45 - 64,All,340,480.5,-29.2
2020,2,2020-04-26,S37000028,65 - 74,All,142,217,-34.6
2020,2,2020-04-26,S37000028,75 - 84,All,124,232.5,-46.7
2020,2,2020-04-26,S37000028,85 and over,All,72,120.5,-40.2
2020,2,2020-04-26,S37000028,All ages,All,1180,2139,-44.8
2020,2,2020-04-26,S37000028,All ages,Female,592,1035,-42.8
2020,2,2020-04-26,S37000028,All ages,Male,582,1092,-46.7
2020,2,2020-04-26,S37000029,Under 5,All,17,48.5,-64.9
2020,2,2020-04-26,S37000029,5 - 14,All,14,39,-64.1
2020,2,2020-04-26,S37000029,15 - 44,All,49,144,-66
2020,2,2020-04-26,S37000029,45 - 64,All,55,82,-32.9
2020,2,2020-04-26,S37000029,65 - 74,All,18,39,-53.8
2020,2,2020-04-26,S37000029,75 - 84,All,14,31.5,-55.6
2020,2,2020-04-26,S37000029,85 and over,All,15,15.5,-3.2
2020,2,2020-04-26,S37000029,All ages,All,183,400,-54.2
2020,2,2020-04-26,S37000029,All ages,Female,97,195.5,-50.4
2020,2,2020-04-26,S37000029,All ages,Male,85,204,-58.3
2020,2,2020-04-26,S37000030,Under 5,All,50,101.5,-50.7
2020,2,2020-04-26,S37000030,5 - 14,All,63,143,-55.9
2020,2,2020-04-26,S37000030,15 - 44,All,242,415,-41.7
2020,2,2020-04-26,S37000030,45 - 64,All,183,244,-25
2020,2,2020-04-26,S37000030,65 - 74,All,73,101,-27.7
2020,2,2020-04-26,S37000030,75 - 84,All,58,76,-23.7
2020,2,2020-04-26,S37000030,85 and over,All,25,34,-26.5
2020,2,2020-04-26,S37000030,All ages,All,697,1122.5,-37.9
2020,2,2020-04-26,S37000030,All ages,Female,353,542.5,-34.9
2020,2,2020-04-26,S37000030,All ages,Male,341,572,-40.4
2020,2,2020-04-26,S37000031,Under 5,All,5,7.5,-33.3
2020,2,2020-04-26,S37000031,5 - 14,All,5,14,-64.3
2020,2,2020-04-26,S37000031,15 - 44,All,19,39.5,-51.9
2020,2,2020-04-26,S37000031,45 - 64,All,20,37,-45.9
2020,2,2020-04-26,S37000031,65 - 74,All,6,19.5,-69.2
2020,2,2020-04-26,S37000031,75 - 84,All,5,12.5,-60
2020,2,2020-04-26,S37000031,All ages,All,64,138,-53.6
2020,2,2020-04-26,S37000031,All ages,Female,23,62.5,-63.2
2020,2,2020-04-26,S37000031,All ages,Male,39,72.5,-46.2
2020,2,2020-04-26,S37000032,Under 5,All,47,101,-53.5
2020,2,2020-04-26,S37000032,5 - 14,All,49,179,-72.6
2020,2,2020-04-26,S37000032,15 - 44,All,263,550,-52.2
2020,2,2020-04-26,S37000032,45 - 64,All,191,335,-43
2020,2,2020-04-26,S37000032,65 - 74,All,96,145.5,-34
2020,2,2020-04-26,S37000032,75 - 84,All,82,144.5,-43.3
2020,2,2020-04-26,S37000032,85 and over,All,36,65.5,-45
2020,2,2020-04-26,S37000032,All ages,All,772,1528,-49.5
2020,2,2020-04-26,S37000032,All ages,Female,360,767.5,-53.1
2020,2,2020-04-26,S37000032,All ages,Male,404,753,-46.3
2020,2,2020-04-26,S37000033,Under 5,All,21,29,-27.6
2020,2,2020-04-26,S37000033,5 - 14,All,21,65,-67.7
2020,2,2020-04-26,S37000033,15 - 44,All,98,194,-49.5
2020,2,2020-04-26,S37000033,45 - 64,All,76,118.5,-35.9
2020,2,2020-04-26,S37000033,65 - 74,All,25,59,-57.6
2020,2,2020-04-26,S37000033,75 - 84,All,31,46,-32.6
2020,2,2020-04-26,S37000033,85 and over,All,27,30,-10
2020,2,2020-04-26,S37000033,All ages,All,300,549.5,-45.4
2020,2,2020-04-26,S37000033,All ages,Female,127,260,-51.2
2020,2,2020-04-26,S37000033,All ages,Male,172,281.5,-38.9
2020,2,2020-04-26,S37000034,Under 5,All,128,407,-68.6
2020,2,2020-04-26,S37000034,5 - 14,All,92,353,-73.9
2020,2,2020-04-26,S37000034,15 - 44,All,690,1440.5,-52.1
2020,2,2020-04-26,S37000034,45 - 64,All,468,759.5,-38.4
2020,2,2020-04-26,S37000034,65 - 74,All,166,269,-38.3
2020,2,2020-04-26,S37000034,75 - 84,All,169,228,-25.9
2020,2,2020-04-26,S37000034,85 and over,All,77,100.5,-23.4
2020,2,2020-04-26,S37000034,All ages,All,1805,3596,-49.8
2020,2,2020-04-26,S37000034,All ages,Female,871,1706,-48.9
2020,2,2020-04-26,S37000034,All ages,Male,919,1851.5,-50.4
2020,2,2020-04-26,S37000035,Under 5,All,71,162.5,-56.3
2020,2,2020-04-26,S37000035,5 - 14,All,82,257.5,-68.2
2020,2,2020-04-26,S37000035,15 - 44,All,511,929.5,-45
2020,2,2020-04-26,S37000035,45 - 64,All,417,602.5,-30.8
2020,2,2020-04-26,S37000035,65 - 74,All,149,246,-39.4
2020,2,2020-04-26,S37000035,75 - 84,All,124,216.5,-42.7
2020,2,2020-04-26,S37000035,85 and over,All,67,82,-18.3
2020,2,2020-04-26,S37000035,All ages,All,1437,2510,-42.7
2020,2,2020-04-26,S37000035,All ages,Female,714,1215.5,-41.3
2020,2,2020-04-26,S37000035,All ages,Male,707,1281,-44.8
2020,2,2020-05-03,S37000001,Under 5,All,33,76,-56.6
2020,2,2020-05-03,S37000001,5 - 14,All,41,113.5,-63.9
2020,2,2020-05-03,S37000001,15 - 44,All,167,373,-55.2
2020,2,2020-05-03,S37000001,45 - 64,All,105,172,-39
2020,2,2020-05-03,S37000001,65 - 74,All,46,71,-35.2
2020,2,2020-05-03,S37000001,75 - 84,All,56,68.5,-18.2
2020,2,2020-05-03,S37000001,85 and over,All,51,33.5,52.2
2020,2,2020-05-03,S37000001,All ages,All,502,927,-45.8
2020,2,2020-05-03,S37000001,All ages,Female,255,446,-42.8
2020,2,2020-05-03,S37000001,All ages,Male,244,461.5,-47.1
2020,2,2020-05-03,S37000002,Under 5,All,34,47,-27.7
2020,2,2020-05-03,S37000002,5 - 14,All,24,90.5,-73.5
2020,2,2020-05-03,S37000002,15 - 44,All,86,186.5,-53.9
2020,2,2020-05-03,S37000002,45 - 64,All,68,116,-41.4
2020,2,2020-05-03,S37000002,65 - 74,All,39,47.5,-17.9
2020,2,2020-05-03,S37000002,75 - 84,All,44,44,0
2020,2,2020-05-03,S37000002,85 and over,All,28,28,0
2020,2,2020-05-03,S37000002,All ages,All,324,566.5,-42.8
2020,2,2020-05-03,S37000002,All ages,Female,155,263,-41.1
2020,2,2020-05-03,S37000002,All ages,Male,168,296.5,-43.3
2020,2,2020-05-03,S37000003,Under 5,All,9,18,-50
2020,2,2020-05-03,S37000003,5 - 14,All,11,25.5,-56.9
2020,2,2020-05-03,S37000003,15 - 44,All,52,80.5,-35.4
2020,2,2020-05-03,S37000003,45 - 64,All,24,48.5,-50.5
2020,2,2020-05-03,S37000003,65 - 74,All,18,19.5,-7.7
2020,2,2020-05-03,S37000003,75 - 84,All,18,26.5,-32.1
2020,2,2020-05-03,S37000003,85 and over,All,11,11.5,-4.3
2020,2,2020-05-03,S37000003,All ages,All,145,231,-37.2
2020,2,2020-05-03,S37000003,All ages,Female,74,107.5,-31.2
2020,2,2020-05-03,S37000003,All ages,Male,69,122.5,-43.7
2020,2,2020-05-03,S37000004,5 - 14,All,8,26.5,-69.8
2020,2,2020-05-03,S37000004,15 - 44,All,35,81,-56.8
2020,2,2020-05-03,S37000004,45 - 64,All,29,63,-54
2020,2,2020-05-03,S37000004,65 - 74,All,19,31,-38.7
2020,2,2020-05-03,S37000004,75 - 84,All,12,16.5,-27.3
2020,2,2020-05-03,S37000004,85 and over,All,7,15,-53.3
2020,2,2020-05-03,S37000004,All ages,All,117,256.5,-54.4
2020,2,2020-05-03,S37000004,All ages,Female,61,128.5,-52.5
2020,2,2020-05-03,S37000004,All ages,Male,53,122,-56.6
2020,2,2020-05-03,S37000005,Under 5,All,18,33,-45.5
2020,2,2020-05-03,S37000005,5 - 14,All,15,45,-66.7
2020,2,2020-06-07,S37000002,All ages,Male,186,303,-38.6
2020,2,2020-06-07,S37000003,Under 5,All,10,21.5,-53.5
2020,2,2020-06-07,S37000003,5 - 14,All,15,31,-51.6
2020,2,2020-06-07,S37000003,15 - 44,All,79,87.5,-9.7
2020,2,2020-06-07,S37000003,45 - 64,All,39,41.5,-6
2020,2,2020-06-07,S37000003,65 - 74,All,22,21,4.8
2020,2,2020-06-07,S37000003,75 - 84,All,20,19.5,2.6
2020,2,2020-06-07,S37000003,85 and over,All,17,15,13.3
2020,2,2020-06-07,S37000003,All ages,All,202,237.5,-14.9
2020,2,2020-06-07,S37000003,All ages,Female,94,110.5,-14.9
2020,2,2020-06-07,S37000003,All ages,Male,108,126.5,-14.6
2020,2,2020-06-07,S37000004,5 - 14,All,9,21,-57.1
2020,2,2020-06-07,S37000004,15 - 44,All,49,99.5,-50.8
2020,2,2020-06-07,S37000004,45 - 64,All,39,59,-33.9
2020,2,2020-06-07,S37000004,65 - 74,All,24,33.5,-28.4
2020,2,2020-05-03,S37000005,15 - 44,All,80,177,-54.8
2020,2,2020-05-03,S37000005,45 - 64,All,58,111.5,-48
2020,2,2020-05-03,S37000005,65 - 74,All,37,49,-24.5
2020,2,2020-05-03,S37000005,75 - 84,All,31,40.5,-23.5
2020,2,2020-05-03,S37000005,85 and over,All,18,31.5,-42.9
2020,2,2020-05-03,S37000005,All ages,All,259,493,-47.5
2020,2,2020-05-03,S37000005,All ages,Female,116,230.5,-49.7
2020,2,2020-05-03,S37000005,All ages,Male,141,257,-45.1
2020,2,2020-05-03,S37000006,Under 5,All,30,70.5,-57.4
2020,2,2020-05-03,S37000006,5 - 14,All,40,102,-60.8
2020,2,2020-05-03,S37000006,15 - 44,All,163,265,-38.5
2020,2,2020-05-03,S37000006,45 - 64,All,161,185.5,-13.2
2020,2,2020-05-03,S37000006,65 - 74,All,82,97,-15.5
2020,2,2020-05-03,S37000006,75 - 84,All,81,95.5,-15.2
2020,2,2020-05-03,S37000006,85 and over,All,37,42,-11.9
2020,2,2020-05-03,S37000006,All ages,All,596,860,-30.7
2020,2,2020-05-03,S37000006,All ages,Female,301,422,-28.7
2020,2,2020-05-03,S37000006,All ages,Male,293,435.5,-32.7
2020,2,2020-05-03,S37000007,Under 5,All,31,51,-39.2
2020,2,2020-05-03,S37000007,5 - 14,All,27,75.5,-64.2
2020,2,2020-05-03,S37000007,15 - 44,All,116,253.5,-54.2
2020,2,2020-05-03,S37000007,45 - 64,All,84,115.5,-27.3
2020,2,2020-05-03,S37000007,65 - 74,All,25,41,-39
2020,2,2020-05-03,S37000007,75 - 84,All,30,42,-28.6
2020,2,2020-05-03,S37000007,85 and over,All,21,17,23.5
2020,2,2020-05-03,S37000007,All ages,All,334,599,-44.2
2020,2,2020-05-03,S37000007,All ages,Female,161,274,-41.2
2020,2,2020-05-03,S37000007,All ages,Male,173,321.5,-46.2
2020,2,2020-05-03,S37000008,Under 5,All,39,70,-44.3
2020,2,2020-05-03,S37000008,5 - 14,All,27,95,-71.6
2020,2,2020-05-03,S37000008,15 - 44,All,166,258,-35.7
2020,2,2020-05-03,S37000008,45 - 64,All,114,177.5,-35.8
2020,2,2020-05-03,S37000008,65 - 74,All,74,62.5,18.4
2020,2,2020-05-03,S37000008,75 - 84,All,47,64.5,-27.1
2020,2,2020-05-03,S37000008,85 and over,All,28,32,-12.5
2020,2,2020-05-03,S37000008,All ages,All,497,762,-34.8
2020,2,2020-05-03,S37000008,All ages,Female,247,365.5,-32.4
2020,2,2020-05-03,S37000008,All ages,Male,248,394,-37.1
2020,2,2020-05-03,S37000009,Under 5,All,23,55.5,-58.6
2020,2,2020-05-03,S37000009,5 - 14,All,16,59,-72.9
2020,2,2020-05-03,S37000009,15 - 44,All,44,132.5,-66.8
2020,2,2020-05-03,S37000009,45 - 64,All,53,70.5,-24.8
2020,2,2020-05-03,S37000009,65 - 74,All,32,39.5,-19
2020,2,2020-05-03,S37000009,75 - 84,All,25,44.5,-43.8
2020,2,2020-05-03,S37000009,85 and over,All,15,28.5,-47.4
2020,2,2020-05-03,S37000009,All ages,All,209,431,-51.5
2020,2,2020-05-03,S37000009,All ages,Female,109,210.5,-48.2
2020,2,2020-05-03,S37000009,All ages,Male,99,219.5,-54.9
2020,2,2020-05-03,S37000010,Under 5,All,51,57.5,-11.3
2020,2,2020-05-03,S37000010,5 - 14,All,34,85.5,-60.2
2020,2,2020-05-03,S37000010,15 - 44,All,84,143,-41.3
2020,2,2020-05-03,S37000010,45 - 64,All,77,100.5,-23.4
2020,2,2020-05-03,S37000010,65 - 74,All,34,40.5,-16
2020,2,2020-05-03,S37000010,75 - 84,All,40,43.5,-8
2020,2,2020-05-03,S37000010,85 and over,All,15,17.5,-14.3
2020,2,2020-05-03,S37000010,All ages,All,338,490,-31
2020,2,2020-05-03,S37000010,All ages,Female,184,244.5,-24.7
2020,2,2020-05-03,S37000010,All ages,Male,151,243.5,-38
2020,2,2020-05-03,S37000011,Under 5,All,18,53.5,-66.4
2020,2,2020-05-03,S37000011,5 - 14,All,25,66,-62.1
2020,2,2020-05-03,S37000011,15 - 44,All,66,101,-34.7
2020,2,2020-05-03,S37000011,45 - 64,All,71,76.5,-7.2
2020,2,2020-05-03,S37000011,65 - 74,All,39,25.5,52.9
2020,2,2020-05-03,S37000011,75 - 84,All,22,37,-40.5
2020,2,2020-05-03,S37000011,85 and over,All,23,28,-17.9
2020,2,2020-05-03,S37000011,All ages,All,265,387.5,-31.6
2020,2,2020-05-03,S37000011,All ages,Female,135,202,-33.2
2020,2,2020-05-03,S37000011,All ages,Male,129,185.5,-30.5
2020,2,2020-05-03,S37000012,Under 5,All,174,304.5,-42.9
2020,2,2020-05-03,S37000012,5 - 14,All,146,311,-53.1
2020,2,2020-05-03,S37000012,15 - 44,All,418,698.5,-40.2
2020,2,2020-05-03,S37000012,45 - 64,All,278,357,-22.1
2020,2,2020-05-03,S37000012,65 - 74,All,93,133,-30.1
2020,2,2020-05-03,S37000012,75 - 84,All,109,139,-21.6
2020,2,2020-05-03,S37000012,85 and over,All,87,102,-14.7
2020,2,2020-05-03,S37000012,All ages,All,1328,2106,-36.9
2020,2,2020-05-03,S37000012,All ages,Female,667,1014.5,-34.3
2020,2,2020-05-03,S37000012,All ages,Male,638,1030.5,-38.1
2020,2,2020-05-03,S37000013,Under 5,All,22,57.5,-61.7
2020,2,2020-05-03,S37000013,5 - 14,All,29,92,-68.5
2020,2,2020-05-03,S37000013,15 - 44,All,143,269.5,-46.9
2020,2,2020-05-03,S37000013,45 - 64,All,128,175.5,-27.1
2020,2,2020-05-03,S37000013,65 - 74,All,54,74.5,-27.5
2020,2,2020-05-03,S37000013,75 - 84,All,48,56,-14.3
2020,2,2020-05-03,S37000013,85 and over,All,31,36,-13.9
2020,2,2020-05-03,S37000013,All ages,All,459,767.5,-40.2
2020,2,2020-05-03,S37000013,All ages,Female,244,362,-32.6
2020,2,2020-05-03,S37000013,All ages,Male,211,399,-47.1
2020,2,2020-05-03,S37000016,Under 5,All,37,53,-30.2
2020,2,2020-05-03,S37000016,5 - 14,All,29,124,-76.6
2020,2,2020-05-03,S37000016,15 - 44,All,193,370,-47.8
2020,2,2020-05-03,S37000016,45 - 64,All,163,212,-23.1
2020,2,2020-05-03,S37000016,65 - 74,All,68,88.5,-23.2
2020,2,2020-05-03,S37000016,75 - 84,All,58,80.5,-28
2020,2,2020-05-03,S37000016,85 and over,All,16,48,-66.7
2020,2,2020-05-03,S37000016,All ages,All,574,988,-41.9
2020,2,2020-05-03,S37000016,All ages,Female,281,452,-37.8
2020,2,2020-05-03,S37000016,All ages,Male,283,524,-46
2020,2,2020-05-03,S37000017,Under 5,All,23,38.5,-40.3
2020,2,2020-05-03,S37000017,5 - 14,All,16,71.5,-77.6
2020,2,2020-05-03,S37000017,15 - 44,All,97,201.5,-51.9
2020,2,2020-05-03,S37000017,45 - 64,All,72,141,-48.9
2020,2,2020-05-03,S37000017,65 - 74,All,25,62,-59.7
2020,2,2020-05-03,S37000017,75 - 84,All,28,56.5,-50.4
2020,2,2020-05-03,S37000017,85 and over,All,15,31,-51.6
2020,2,2020-05-03,S37000017,All ages,All,277,603.5,-54.1
2020,2,2020-05-03,S37000017,All ages,Female,139,289.5,-52
2020,2,2020-05-03,S37000017,All ages,Male,137,312.5,-56.2
2020,2,2020-05-03,S37000018,Under 5,All,48,72,-33.3
2020,2,2020-05-03,S37000018,5 - 14,All,32,82,-61
2020,2,2020-05-03,S37000018,15 - 44,All,110,154,-28.6
2020,2,2020-05-03,S37000018,45 - 64,All,94,100,-6
2020,2,2020-05-03,S37000018,65 - 74,All,48,40.5,18.5
2020,2,2020-05-03,S37000018,75 - 84,All,34,39,-12.8
2020,2,2020-05-03,S37000018,85 and over,All,20,24,-16.7
2020,2,2020-05-03,S37000018,All ages,All,387,514,-24.7
2020,2,2020-05-03,S37000018,All ages,Female,194,258,-24.8
2020,2,2020-05-03,S37000018,All ages,Male,192,253.5,-24.3
2020,2,2020-05-03,S37000019,Under 5,All,27,42.5,-36.5
2020,2,2020-05-03,S37000019,5 - 14,All,21,57,-63.2
2020,2,2020-05-03,S37000019,15 - 44,All,72,154,-53.2
2020,2,2020-05-03,S37000019,45 - 64,All,74,96,-22.9
2020,2,2020-05-03,S37000019,65 - 74,All,40,43.5,-8
2020,2,2020-05-03,S37000019,75 - 84,All,36,35.5,1.4
2020,2,2020-05-03,S37000019,85 and over,All,18,24.5,-26.5
2020,2,2020-05-03,S37000019,All ages,All,292,459.5,-36.5
2020,2,2020-05-03,S37000019,All ages,Female,139,218,-36.2
2020,2,2020-05-03,S37000019,All ages,Male,149,235,-36.6
2020,2,2020-05-03,S37000020,Under 5,All,34,68.5,-50.4
2020,2,2020-05-03,S37000020,5 - 14,All,33,101.5,-67.5
2020,2,2020-05-03,S37000020,15 - 44,All,183,266,-31.2
2020,2,2020-05-03,S37000020,45 - 64,All,156,172.5,-9.6
2020,2,2020-05-03,S37000020,65 - 74,All,70,74,-5.4
2020,2,2020-05-03,S37000020,75 - 84,All,64,61.5,4.1
2020,2,2020-05-03,S37000020,85 and over,All,20,28.5,-29.8
2020,2,2020-05-03,S37000020,All ages,All,561,775,-27.6
2020,2,2020-05-03,S37000020,All ages,Female,276,378.5,-27.1
2020,2,2020-05-03,S37000020,All ages,Male,284,394,-27.9
2020,2,2020-05-03,S37000022,5 - 14,All,5,10,-50
2020,2,2020-05-03,S37000022,15 - 44,All,19,41,-53.7
2020,2,2020-05-03,S37000022,45 - 64,All,21,32,-34.4
2020,2,2020-05-03,S37000022,65 - 74,All,14,14,0
2020,2,2020-05-03,S37000022,75 - 84,All,12,9.5,26.3
2020,2,2020-05-03,S37000022,85 and over,All,6,9.5,-36.8
2020,2,2020-05-03,S37000022,All ages,All,79,122.5,-35.5
2020,2,2020-05-03,S37000022,All ages,Female,38,48,-20.8
2020,2,2020-05-03,S37000022,All ages,Male,41,73.5,-44.2
2020,2,2020-05-03,S37000024,Under 5,All,44,107.5,-59.1
2020,2,2020-05-03,S37000024,5 - 14,All,47,132,-64.4
2020,2,2020-05-03,S37000024,15 - 44,All,200,383,-47.8
2020,2,2020-05-03,S37000024,45 - 64,All,141,259.5,-45.7
2020,2,2020-05-03,S37000024,65 - 74,All,46,108.5,-57.6
2020,2,2020-05-03,S37000024,75 - 84,All,54,110,-50.9
2020,2,2020-05-03,S37000024,85 and over,All,25,58.5,-57.3
2020,2,2020-05-03,S37000024,All ages,All,559,1164.5,-52
2020,2,2020-05-03,S37000024,All ages,Female,283,604.5,-53.2
2020,2,2020-05-03,S37000024,All ages,Male,274,554.5,-50.6
2020,2,2020-05-03,S37000025,Under 5,All,15,28.5,-47.4
2020,2,2020-05-03,S37000025,5 - 14,All,16,51.5,-68.9
2020,2,2020-05-03,S37000025,15 - 44,All,85,194.5,-56.3
2020,2,2020-05-03,S37000025,45 - 64,All,106,138,-23.2
2020,2,2020-05-03,S37000025,65 - 74,All,54,73.5,-26.5
2020,2,2020-05-03,S37000025,75 - 84,All,48,59,-18.6
2020,2,2020-05-03,S37000025,85 and over,All,51,40,27.5
2020,2,2020-05-03,S37000025,All ages,All,377,588,-35.9
2020,2,2020-05-03,S37000025,All ages,Female,202,293,-31.1
2020,2,2020-05-03,S37000025,All ages,Male,173,292,-40.8
2020,2,2020-05-03,S37000026,Under 5,All,7,13.5,-48.1
2020,2,2020-05-03,S37000026,5 - 14,All,7,17,-58.8
2020,2,2020-05-03,S37000026,15 - 44,All,34,45.5,-25.3
2020,2,2020-05-03,S37000026,45 - 64,All,16,30.5,-47.5
2020,2,2020-05-03,S37000026,65 - 74,All,9,15,-40
2020,2,2020-05-03,S37000026,75 - 84,All,9,13.5,-33.3
2020,2,2020-05-03,S37000026,All ages,All,87,142,-38.7
2020,2,2020-05-03,S37000026,All ages,Female,42,69,-39.1
2020,2,2020-05-03,S37000026,All ages,Male,44,72.5,-39.3
2020,2,2020-05-03,S37000027,Under 5,All,24,55,-56.4
2020,2,2020-05-03,S37000027,5 - 14,All,30,86.5,-65.3
2020,2,2020-05-03,S37000027,15 - 44,All,124,201,-38.3
2020,2,2020-05-03,S37000027,45 - 64,All,127,151.5,-16.2
2020,2,2020-05-03,S37000027,65 - 74,All,71,72.5,-2.1
2020,2,2020-05-03,S37000027,75 - 84,All,55,57.5,-4.3
2020,2,2020-05-03,S37000027,85 and over,All,46,41.5,10.8
2020,2,2020-05-03,S37000027,All ages,All,478,667,-28.3
2020,2,2020-05-03,S37000027,All ages,Female,237,325,-27.1
2020,2,2020-05-03,S37000027,All ages,Male,240,340.5,-29.5
2020,2,2020-05-03,S37000028,Under 5,All,74,150.5,-50.8
2020,2,2020-05-03,S37000028,5 - 14,All,67,217.5,-69.2
2020,2,2020-05-03,S37000028,15 - 44,All,398,657.5,-39.5
2020,2,2020-05-03,S37000028,45 - 64,All,370,482,-23.2
2020,2,2020-05-03,S37000028,65 - 74,All,169,213.5,-20.8
2020,2,2020-05-03,S37000028,75 - 84,All,145,217,-33.2
2020,2,2020-05-03,S37000028,85 and over,All,79,113,-30.1
2020,2,2020-05-03,S37000028,All ages,All,1308,2057,-36.4
2020,2,2020-05-03,S37000028,All ages,Female,684,1029,-33.5
2020,2,2020-05-03,S37000028,All ages,Male,618,1022,-39.5
2020,2,2020-05-03,S37000029,Under 5,All,15,45,-66.7
2020,2,2020-05-03,S37000029,5 - 14,All,14,42,-66.7
2020,2,2020-05-03,S37000029,15 - 44,All,73,135.5,-46.1
2020,2,2020-05-03,S37000029,45 - 64,All,56,71.5,-21.7
2020,2,2020-05-03,S37000029,65 - 74,All,17,27.5,-38.2
2020,2,2020-05-03,S37000029,75 - 84,All,10,34,-70.6
2020,2,2020-05-03,S37000029,85 and over,All,12,17.5,-31.4
2020,2,2020-05-03,S37000029,All ages,All,198,373,-46.9
2020,2,2020-05-03,S37000029,All ages,Female,98,178,-44.9
2020,2,2020-05-03,S37000029,All ages,Male,99,195,-49.2
2020,2,2020-05-03,S37000030,Under 5,All,53,108.5,-51.2
2020,2,2020-05-03,S37000030,5 - 14,All,48,150,-68
2020,2,2020-05-03,S37000030,15 - 44,All,264,407.5,-35.2
2020,2,2020-05-03,S37000030,45 - 64,All,175,235.5,-25.7
2020,2,2020-05-03,S37000030,65 - 74,All,83,103,-19.4
2020,2,2020-05-03,S37000030,75 - 84,All,54,81,-33.3
2020,2,2020-05-03,S37000030,85 and over,All,24,31,-22.6
2020,2,2020-05-03,S37000030,All ages,All,704,1124.5,-37.4
2020,2,2020-05-03,S37000030,All ages,Female,363,570.5,-36.4
2020,2,2020-05-03,S37000030,All ages,Male,338,546,-38.1
2020,2,2020-05-03,S37000031,15 - 44,All,15,39,-61.5
2020,2,2020-05-03,S37000031,45 - 64,All,16,30,-46.7
2020,2,2020-05-03,S37000031,65 - 74,All,8,11,-27.3
2020,2,2020-05-03,S37000031,75 - 84,All,10,12,-16.7
2020,2,2020-05-03,S37000031,All ages,All,58,125,-53.6
2020,2,2020-05-03,S37000031,All ages,Female,31,53,-41.5
2020,2,2020-05-03,S37000031,All ages,Male,26,71,-63.4
2020,2,2020-05-03,S37000032,Under 5,All,59,114.5,-48.5
2020,2,2020-05-03,S37000032,5 - 14,All,51,178,-71.3
2020,2,2020-05-03,S37000032,15 - 44,All,277,541.5,-48.8
2020,2,2020-05-03,S37000032,45 - 64,All,177,316.5,-44.1
2020,2,2020-05-03,S37000032,65 - 74,All,81,144.5,-43.9
2020,2,2020-05-03,S37000032,75 - 84,All,92,123.5,-25.5
2020,2,2020-05-03,S37000032,85 and over,All,52,73,-28.8
2020,2,2020-05-03,S37000032,All ages,All,790,1504,-47.5
2020,2,2020-05-03,S37000032,All ages,Female,410,722,-43.2
2020,2,2020-05-03,S37000032,All ages,Male,379,769.5,-50.7
2020,2,2020-05-03,S37000033,Under 5,All,22,38.5,-42.9
2020,2,2020-05-03,S37000033,5 - 14,All,22,75.5,-70.9
2020,2,2020-05-03,S37000033,15 - 44,All,97,182,-46.7
2020,2,2020-05-03,S37000033,45 - 64,All,89,112.5,-20.9
2020,2,2020-05-03,S37000033,65 - 74,All,45,54.5,-17.4
2020,2,2020-05-03,S37000033,75 - 84,All,31,65.5,-52.7
2020,2,2020-05-03,S37000033,85 and over,All,23,32,-28.1
2020,2,2020-05-03,S37000033,All ages,All,330,566.5,-41.7
2020,2,2020-05-03,S37000033,All ages,Female,150,268.5,-44.1
