date,country,simd_quintile,total_positive,crude_rate_positive,total_deaths,crude_rate_deaths,total_negative,crude_rate_negative
2022-01-31,S92000003,1,257798,23810.0647716368,2921,269.78176400884064,572040,52833.26267840369
2022-01-31,S92000003,2,240241,22167.034516357624,2416,222.9242943191213,587603,54218.12256407228
2022-01-31,S92000003,3,209274,19169.88570837085,1902,174.22672007665244,605203,55437.7148635911
2022-01-31,S92000003,4,219253,19671.691365479324,1679,150.64227081335164,625045,56079.9274333123
2022-01-31,S92000003,5,217544,19898.742745288153,1371,125.4053262962438,626936,57345.81593498315
