year,quarter,week_ending,hscp,simd_quintile,sas_incidents,average20182019,percent_variation
2020,1,2020-01-05,S37000028,3,131,143.5,-8.7
2020,1,2020-01-05,S37000028,4,87,75,16
2020,1,2020-01-05,S37000028,5,57,63.5,-10.2
2020,1,2020-01-05,S37000029,1,107,110.5,-3.2
2020,1,2020-01-05,S37000029,2,74,65.5,13
2020,1,2020-01-05,S37000029,3,27,34.5,-21.7
2020,1,2020-01-05,S37000029,4,17,17.5,-2.9
2020,1,2020-01-05,S37000029,5,6,4,50
2020,1,2020-01-05,S37000030,1,71,91,-22
2020,1,2020-01-05,S37000030,2,151,123,22.8
2020,1,2020-01-05,S37000030,3,71,78.5,-9.6
2020,1,2020-01-05,S37000030,4,47,40,17.5
2020,1,2020-01-05,S37000030,5,20,34.5,-42
2020,1,2020-01-05,S37000031,2,13,24.5,-46.9
2020,1,2020-01-05,S37000031,3,63,55.5,13.5
2020,1,2020-01-05,S37000031,4,5,5.5,-9.1
2020,1,2020-01-05,S37000032,1,225,276.5,-18.6
2020,1,2020-01-05,S37000032,2,205,228.5,-10.3
2020,1,2020-01-05,S37000032,3,190,183.5,3.5
2020,1,2020-01-05,S37000032,4,110,110,0
2020,1,2020-01-05,S37000032,5,122,123.5,-1.2
2020,1,2020-01-05,S37000033,1,27,28,-3.6
2020,1,2020-01-05,S37000033,2,46,55,-16.4
2020,1,2020-01-05,S37000033,3,69,87,-20.7
2020,1,2020-01-05,S37000033,4,127,107.5,18.1
2020,1,2020-01-05,S37000033,5,41,45,-8.9
2020,1,2020-01-05,S37000034,1,845,877,-3.6
2020,1,2020-01-05,S37000034,2,207,226,-8.4
2020,1,2020-01-05,S37000034,3,131,129.5,1.2
2020,1,2020-01-05,S37000034,4,67,88,-23.9
2020,1,2020-01-05,S37000034,5,49,68,-27.9
2020,1,2020-01-05,S37000035,1,310,307,1
2020,1,2020-01-05,S37000035,2,226,250,-9.6
2020,1,2020-01-05,S37000035,3,107,130.5,-18
2020,1,2020-01-05,S37000035,4,64,70,-8.6
2020,1,2020-01-05,S37000035,5,28,31.5,-11.1
2020,1,2020-01-12,S37000001,1,46,51,-9.8
2020,1,2020-01-12,S37000001,2,106,136,-22.1
2020,1,2020-01-12,S37000001,3,66,76,-13.2
2020,1,2020-01-12,S37000001,4,59,66.5,-11.3
2020,1,2020-01-12,S37000001,5,111,106,4.7
2020,1,2020-01-12,S37000002,1,19,17,11.8
2020,1,2020-01-12,S37000002,2,62,63,-1.6
2020,1,2020-01-12,S37000002,3,115,90,27.8
2020,1,2020-01-12,S37000002,4,133,163,-18.4
2020,1,2020-01-12,S37000002,5,97,103.5,-6.3
2020,1,2020-01-12,S37000003,1,21,25.5,-17.6
2020,1,2020-01-12,S37000003,2,38,49.5,-23.2
2020,1,2020-01-12,S37000003,3,79,67.5,17
2020,1,2020-01-12,S37000003,4,52,48.5,7.2
2020,1,2020-01-12,S37000003,5,30,27,11.1
2020,1,2020-01-12,S37000004,1,40,28,42.9
2020,1,2020-01-12,S37000004,2,51,65.5,-22.1
2020,1,2020-01-12,S37000004,3,99,82.5,20
2020,1,2020-01-12,S37000004,4,42,52.5,-20
2020,1,2020-01-12,S37000004,5,13,13,0
2020,1,2020-01-12,S37000005,1,82,71,15.5
2020,1,2020-01-12,S37000005,2,48,54,-11.1
2020,1,2020-01-12,S37000005,3,56,48.5,15.5
2020,1,2020-01-12,S37000005,4,41,43.5,-5.7
2020,1,2020-01-12,S37000005,5,38,41,-7.3
2020,1,2020-01-12,S37000006,1,34,44,-22.7
2020,1,2020-01-12,S37000006,2,112,113,-0.9
2020,1,2020-01-12,S37000006,3,125,123.5,1.2
2020,1,2020-01-12,S37000006,4,54,62.5,-13.6
2020,1,2020-01-12,S37000006,5,32,24,33.3
2020,1,2020-01-12,S37000007,1,168,159,5.7
2020,1,2020-01-12,S37000007,2,80,79.5,0.6
2020,1,2020-01-12,S37000007,3,46,32.5,41.5
2020,1,2020-01-12,S37000007,4,35,35,0
2020,1,2020-01-12,S37000007,5,30,36.5,-17.8
2020,1,2020-01-12,S37000008,1,125,116.5,7.3
2020,1,2020-01-12,S37000008,2,86,89,-3.4
2020,1,2020-01-12,S37000008,3,30,52,-42.3
2020,1,2020-01-12,S37000008,4,20,30,-33.3
2020,1,2020-01-12,S37000008,5,20,22,-9.1
2020,1,2020-01-12,S37000009,1,14,11.5,21.7
2020,1,2020-01-12,S37000009,2,38,41.5,-8.4
2020,1,2020-01-12,S37000009,3,13,15.5,-16.1
2020,1,2020-01-12,S37000009,4,35,30,16.7
2020,1,2020-01-12,S37000009,5,64,72.5,-11.7
2020,1,2020-01-12,S37000010,2,67,59,13.6
2020,1,2020-01-12,S37000010,3,35,39,-10.3
2020,1,2020-01-12,S37000010,4,38,48.5,-21.6
2020,1,2020-01-12,S37000010,5,28,25,12
2020,1,2020-01-12,S37000011,1,18,16.5,9.1
2020,1,2020-01-12,S37000011,2,17,29,-41.4
2020,1,2020-01-12,S37000011,3,23,27,-14.8
2020,1,2020-01-12,S37000011,4,22,28.5,-22.8
