year,quarter,week_ending,hscp,simd_quintile,number_attendances,average20182019,percent_variation
2020,2,2020-06-28,S37000032,3,228,303,-24.8
2020,2,2020-06-28,S37000032,4,154,199,-22.6
2020,2,2020-06-28,S37000032,5,135,191,-29.3
2020,2,2020-06-28,S37000033,1,51,55,-7.3
2020,2,2020-06-28,S37000033,2,62,99,-37.4
2020,2,2020-06-28,S37000033,3,89,137,-35
2020,2,2020-06-28,S37000033,4,153,225.5,-32.2
2020,2,2020-06-28,S37000033,5,62,104.5,-40.7
2020,2,2020-06-28,S37000034,1,1423,2056.5,-30.8
2020,2,2020-06-28,S37000034,2,425,585,-27.4
2020,2,2020-06-28,S37000034,3,249,380.5,-34.6
2020,2,2020-06-28,S37000034,4,183,265.5,-31.1
2020,2,2020-06-28,S37000034,5,150,194,-22.7
2020,2,2020-06-28,S37000035,1,816,959,-14.9
2020,2,2020-06-28,S37000035,2,595,705,-15.6
2020,2,2020-06-28,S37000035,3,316,394,-19.8
2020,2,2020-06-28,S37000035,4,172,236,-27.1
2020,2,2020-06-28,S37000035,5,125,151,-17.2
2020,3,2020-07-05,S37000001,1,96,127.5,-24.7
2020,3,2020-07-05,S37000001,2,215,256,-16
2020,3,2020-07-05,S37000001,3,116,152,-23.7
2020,3,2020-07-05,S37000001,4,110,151.5,-27.4
2020,3,2020-07-05,S37000001,5,187,255,-26.7
2020,3,2020-07-05,S37000002,1,7,12,-41.7
2020,3,2020-07-05,S37000002,2,28,35,-20
2020,3,2020-07-05,S37000002,3,90,106,-15.1
2020,3,2020-07-05,S37000002,4,180,217.5,-17.2
2020,3,2020-07-05,S37000002,5,188,217,-13.4
2020,3,2020-07-05,S37000003,1,12,18.5,-35.1
2020,3,2020-07-05,S37000003,2,28,41,-31.7
2020,3,2020-07-05,S37000003,3,67,75,-10.7
2020,3,2020-07-05,S37000003,4,40,49.5,-19.2
2020,3,2020-07-05,S37000003,5,44,39.5,11.4
2020,3,2020-07-05,S37000004,1,23,16.5,39.4
2020,3,2020-07-05,S37000004,2,24,48,-50
2020,3,2020-07-05,S37000004,3,53,75,-29.3
2020,3,2020-07-05,S37000004,4,51,63.5,-19.7
2020,3,2020-07-05,S37000004,5,11,8.5,29.4
2020,3,2020-07-05,S37000005,1,104,112.5,-7.6
2020,3,2020-07-05,S37000005,2,87,107.5,-19.1
2020,3,2020-07-05,S37000005,3,39,68,-42.6
2020,3,2020-07-05,S37000005,4,54,90,-40
2020,3,2020-07-05,S37000005,5,54,71,-23.9
2020,3,2020-07-05,S37000006,1,110,111.5,-1.3
2020,3,2020-07-05,S37000006,2,219,320.5,-31.7
2020,3,2020-07-05,S37000006,3,206,275.5,-25.2
2020,3,2020-07-05,S37000006,4,83,118,-29.7
2020,3,2020-07-05,S37000006,5,43,59,-27.1
2020,3,2020-07-05,S37000007,1,205,265.5,-22.8
2020,3,2020-07-05,S37000007,2,98,118.5,-17.3
2020,3,2020-07-05,S37000007,3,43,55.5,-22.5
2020,3,2020-07-05,S37000007,4,49,58,-15.5
2020,3,2020-07-05,S37000007,5,50,62.5,-20
2020,3,2020-07-05,S37000008,1,238,276,-13.8
2020,3,2020-07-05,S37000008,2,148,210.5,-29.7
2020,3,2020-07-05,S37000008,3,96,107.5,-10.7
2020,3,2020-07-05,S37000008,4,70,66,6.1
2020,3,2020-07-05,S37000008,5,56,56,0
2020,3,2020-07-05,S37000009,1,20,28.5,-29.8
2020,3,2020-07-05,S37000009,2,62,71,-12.7
2020,3,2020-07-05,S37000009,3,25,38.5,-35.1
2020,3,2020-07-05,S37000009,4,45,77.5,-41.9
2020,3,2020-07-05,S37000009,5,119,195,-39
2020,3,2020-07-05,S37000010,1,14,26,-46.2
2020,3,2020-07-05,S37000010,2,158,155,1.9
2020,3,2020-07-05,S37000010,3,70,85.5,-18.1
2020,3,2020-07-05,S37000010,4,118,103,14.6
2020,3,2020-07-05,S37000010,5,52,49.5,5.1
2020,3,2020-07-05,S37000011,1,28,54.5,-48.6
2020,3,2020-07-05,S37000011,2,51,49.5,3
2020,3,2020-07-05,S37000011,3,38,50.5,-24.8
2020,3,2020-07-05,S37000011,4,46,53.5,-14
2020,3,2020-07-05,S37000011,5,150,181,-17.1
2020,3,2020-07-05,S37000012,1,381,479,-20.5
2020,3,2020-07-05,S37000012,2,282,335.5,-15.9
2020,3,2020-07-05,S37000012,3,184,263,-30
2020,3,2020-07-05,S37000012,4,225,279.5,-19.5
2020,3,2020-07-05,S37000012,5,424,549.5,-22.8
2020,3,2020-07-05,S37000013,1,97,172.5,-43.8
2020,3,2020-07-05,S37000013,2,169,267.5,-36.8
2020,3,2020-07-05,S37000013,3,76,140,-45.7
2020,3,2020-07-05,S37000013,4,69,119,-42
2020,3,2020-07-05,S37000013,5,63,101.5,-37.9
2020,3,2020-07-05,S37000016,1,102,115,-11.3
2020,3,2020-07-05,S37000016,2,138,216.5,-36.3
2020,3,2020-07-05,S37000016,3,200,272.5,-26.6
2020,3,2020-07-05,S37000016,4,204,298,-31.5
2020,3,2020-07-05,S37000016,5,64,94,-31.9
2020,3,2020-07-05,S37000017,1,231,345,-33
2020,3,2020-07-05,S37000017,2,48,86.5,-44.5
2020,3,2020-07-05,S37000017,3,51,83.5,-38.9
2020,3,2020-07-05,S37000017,4,62,87,-28.7
2020,3,2020-07-05,S37000017,5,30,54,-44.4
2020,3,2020-07-05,S37000018,1,47,73,-35.6
2020,3,2020-07-05,S37000018,2,143,206,-30.6
2020,3,2020-07-05,S37000018,3,106,108.5,-2.3
2020,3,2020-07-05,S37000018,4,52,67,-22.4
2020,3,2020-07-05,S37000018,5,44,60.5,-27.3
2020,3,2020-07-05,S37000019,1,6,10,-40
2020,3,2020-07-05,S37000019,2,73,95,-23.2
2020,3,2020-07-05,S37000019,3,126,142.5,-11.6
2020,3,2020-07-05,S37000019,4,125,176,-29
2020,3,2020-07-05,S37000019,5,56,82.5,-32.1
2020,3,2020-07-05,S37000020,1,322,387,-16.8
2020,3,2020-07-05,S37000020,2,132,164,-19.5
2020,3,2020-07-05,S37000020,3,87,89,-2.2
2020,3,2020-07-05,S37000020,4,70,81.5,-14.1
2020,3,2020-07-05,S37000020,5,42,48.5,-13.4
2020,3,2020-07-05,S37000022,2,14,18,-22.2
2020,3,2020-07-05,S37000022,3,22,42,-47.6
2020,3,2020-07-05,S37000022,4,55,53.5,2.8
2020,3,2020-07-05,S37000022,5,10,9,11.1
2020,3,2020-07-05,S37000024,1,268,404,-33.7
2020,3,2020-07-05,S37000024,2,136,237,-42.6
2020,3,2020-07-05,S37000024,3,134,201,-33.3
2020,3,2020-07-05,S37000024,4,92,161.5,-43
2020,3,2020-07-05,S37000024,5,110,133.5,-17.6
2020,3,2020-07-05,S37000025,1,37,60,-38.3
2020,3,2020-07-05,S37000025,2,90,119.5,-24.7
2020,3,2020-07-05,S37000025,3,176,194.5,-9.5
2020,3,2020-07-05,S37000025,4,146,192,-24
2020,3,2020-07-05,S37000025,5,36,43.5,-17.2
2020,3,2020-07-05,S37000026,3,38,41,-7.3
2020,3,2020-07-05,S37000026,4,66,90,-26.7
2020,3,2020-07-05,S37000027,1,117,189,-38.1
2020,3,2020-07-05,S37000027,2,163,197,-17.3
2020,3,2020-07-05,S37000027,3,103,126.5,-18.6
2020,3,2020-07-05,S37000027,4,52,68.5,-24.1
2020,3,2020-07-05,S37000027,5,75,107,-29.9
2020,3,2020-07-05,S37000028,1,428,503,-14.9
2020,3,2020-07-05,S37000028,2,468,571.5,-18.1
2020,3,2020-07-05,S37000028,3,322,367,-12.3
2020,3,2020-07-05,S37000028,4,243,339,-28.3
2020,3,2020-07-05,S37000028,5,158,215.5,-26.7
2020,3,2020-07-05,S37000029,1,162,172,-5.8
2020,3,2020-07-05,S37000029,2,64,96.5,-33.7
2020,3,2020-07-05,S37000029,3,28,48.5,-42.3
2020,3,2020-07-05,S37000029,4,28,38,-26.3
2020,3,2020-07-05,S37000029,5,6,8,-25
2020,3,2020-07-05,S37000030,1,187,247,-24.3
2020,3,2020-07-05,S37000030,2,244,325,-24.9
2020,3,2020-07-05,S37000030,3,202,208,-2.9
2020,3,2020-07-05,S37000030,4,137,150.5,-9
2020,3,2020-07-05,S37000030,5,101,126,-19.8
2020,3,2020-07-05,S37000031,2,9,28,-67.9
2020,3,2020-07-05,S37000031,3,58,94.5,-38.6
2020,3,2020-07-05,S37000031,4,10,12,-16.7
2020,3,2020-07-05,S37000032,1,331,450,-26.4
2020,3,2020-07-05,S37000032,2,250,340,-26.5
2020,3,2020-07-05,S37000032,3,211,288.5,-26.9
2020,3,2020-07-05,S37000032,4,118,191.5,-38.4
2020,3,2020-07-05,S37000032,5,134,173,-22.5
2020,3,2020-07-05,S37000033,1,45,55,-18.2
2020,3,2020-07-05,S37000033,2,74,92.5,-20
2020,3,2020-07-05,S37000033,3,96,135,-28.9
2020,3,2020-07-05,S37000033,4,159,209.5,-24.1
2020,3,2020-07-05,S37000033,5,56,89,-37.1
2020,3,2020-07-05,S37000034,1,1495,2124,-29.6
2020,3,2020-07-05,S37000034,2,410,587.5,-30.2
2020,3,2020-07-05,S37000034,3,242,327.5,-26.1
2020,3,2020-07-05,S37000034,4,174,249.5,-30.3
2020,3,2020-07-05,S37000034,5,151,195,-22.6
2020,3,2020-07-05,S37000035,1,803,992,-19.1
2020,3,2020-07-05,S37000035,2,538,688,-21.8
2020,3,2020-07-05,S37000035,3,319,386.5,-17.5
2020,3,2020-07-05,S37000035,4,187,219,-14.6
2020,3,2020-07-05,S37000035,5,94,129.5,-27.4
2020,3,2020-07-12,S37000001,1,66,134.5,-50.9
2020,3,2020-07-12,S37000001,2,201,269,-25.3
2020,3,2020-07-12,S37000001,3,120,161,-25.5
2020,3,2020-07-12,S37000001,4,125,112,11.6
2020,3,2020-07-12,S37000001,5,195,238,-18.1
2020,3,2020-07-12,S37000002,1,12,11.5,4.3
2020,3,2020-07-12,S37000002,2,43,33,30.3
2020,3,2020-07-12,S37000002,3,103,111,-7.2
2020,3,2020-07-12,S37000002,4,200,208.5,-4.1
2020,3,2020-07-12,S37000002,5,177,190,-6.8
2020,3,2020-07-12,S37000003,1,18,23,-21.7
2020,3,2020-07-12,S37000003,2,39,32.5,20
2020,3,2020-07-12,S37000003,3,74,62.5,18.4
2020,3,2020-07-12,S37000003,4,56,49,14.3
2020,3,2020-07-12,S37000003,5,35,37,-5.4
2020,3,2020-07-12,S37000004,1,12,18,-33.3
2020,3,2020-07-12,S37000004,2,32,49,-34.7
2020,3,2020-07-12,S37000004,3,61,82.5,-26.1
2020,3,2020-07-12,S37000004,4,38,62.5,-39.2
2020,3,2020-07-12,S37000004,5,7,16,-56.2
2020,3,2020-07-12,S37000005,1,89,111.5,-20.2
2020,3,2020-07-12,S37000005,2,77,107.5,-28.4
2020,3,2020-07-12,S37000005,3,58,69.5,-16.5
2020,3,2020-07-12,S37000005,4,67,86.5,-22.5
2020,3,2020-07-12,S37000005,5,51,73.5,-30.6
2020,3,2020-07-12,S37000006,1,97,126,-23
2020,3,2020-07-12,S37000006,2,231,305,-24.3
2020,3,2020-07-12,S37000006,3,218,282.5,-22.8
2020,3,2020-07-12,S37000006,4,87,105,-17.1
2020,3,2020-07-12,S37000006,5,48,53,-9.4
2020,3,2020-07-12,S37000007,1,270,268.5,0.6
2020,3,2020-07-12,S37000007,2,109,120,-9.2
2020,3,2020-07-12,S37000007,3,44,61.5,-28.5
2020,3,2020-07-12,S37000007,4,61,65,-6.2
2020,3,2020-07-12,S37000007,5,52,49,6.1
2020,3,2020-07-12,S37000008,1,262,284,-7.7
2020,3,2020-07-12,S37000008,2,189,194,-2.6
2020,3,2020-07-12,S37000008,3,98,106,-7.5
2020,3,2020-07-12,S37000008,4,91,82.5,10.3
2020,3,2020-07-12,S37000008,5,56,53.5,4.7
2020,3,2020-07-12,S37000009,1,20,37.5,-46.7
2020,3,2020-07-12,S37000009,2,68,78,-12.8
2020,3,2020-07-12,S37000009,3,21,24.5,-14.3
2020,3,2020-07-12,S37000009,4,40,71.5,-44.1
2020,3,2020-07-12,S37000009,5,125,186.5,-33
2020,3,2020-07-12,S37000010,1,25,22.5,11.1
2020,3,2020-07-12,S37000010,2,125,170,-26.5
2020,3,2020-07-12,S37000010,3,76,95,-20
2020,3,2020-07-12,S37000010,4,99,108,-8.3
2020,3,2020-07-12,S37000010,5,66,53,24.5
2020,3,2020-07-12,S37000011,1,27,50.5,-46.5
2020,3,2020-07-12,S37000011,2,41,54,-24.1
2020,3,2020-07-12,S37000011,3,44,42.5,3.5
2020,3,2020-07-12,S37000011,4,57,62,-8.1
2020,3,2020-07-12,S37000011,5,180,172.5,4.3
2020,3,2020-07-12,S37000012,1,400,441,-9.3
2020,3,2020-07-12,S37000012,2,338,332,1.8
2020,3,2020-07-12,S37000012,3,201,280,-28.2
2020,3,2020-07-12,S37000012,4,247,260.5,-5.2
2020,3,2020-07-12,S37000012,5,451,528.5,-14.7
2020,3,2020-07-12,S37000013,1,127,170,-25.3
2020,3,2020-07-12,S37000013,2,167,248,-32.7
2020,3,2020-07-12,S37000013,3,92,136,-32.4
2020,3,2020-07-12,S37000013,4,79,120,-34.2
2020,3,2020-07-12,S37000013,5,65,118.5,-45.1
2020,3,2020-07-12,S37000016,1,113,105.5,7.1
2020,3,2020-07-12,S37000016,2,184,211.5,-13
2020,3,2020-07-12,S37000016,3,228,252.5,-9.7
2020,3,2020-07-12,S37000016,4,248,262.5,-5.5
2020,3,2020-07-12,S37000016,5,80,69.5,15.1
2020,3,2020-07-12,S37000017,1,229,302,-24.2
2020,3,2020-07-12,S37000017,2,64,74,-13.5
2020,3,2020-07-12,S37000017,3,53,84.5,-37.3
2020,3,2020-07-12,S37000017,4,49,80,-38.8
2020,3,2020-07-12,S37000017,5,36,37.5,-4
2020,3,2020-07-12,S37000018,1,68,64,6.2
2020,3,2020-07-12,S37000018,2,170,195.5,-13
2020,3,2020-07-12,S37000018,3,88,119.5,-26.4
2020,3,2020-07-12,S37000018,4,60,75.5,-20.5
2020,3,2020-07-12,S37000018,5,44,50.5,-12.9
2020,3,2020-07-12,S37000019,1,7,12,-41.7
2020,3,2020-07-12,S37000019,2,70,108,-35.2
2020,3,2020-07-12,S37000019,3,102,130,-21.5
2020,3,2020-07-12,S37000019,4,145,167,-13.2
2020,3,2020-07-12,S37000019,5,51,75,-32
2020,3,2020-07-12,S37000020,1,348,390,-10.8
2020,3,2020-07-12,S37000020,2,166,168.5,-1.5
2020,3,2020-07-12,S37000020,3,64,77,-16.9
2020,3,2020-07-12,S37000020,4,57,82.5,-30.9
2020,3,2020-07-12,S37000020,5,51,50.5,1
2020,3,2020-07-12,S37000022,2,10,18.5,-45.9
2020,3,2020-07-12,S37000022,3,27,27.5,-1.8
2020,3,2020-07-12,S37000022,4,58,43,34.9
2020,3,2020-07-12,S37000022,5,5,10.5,-52.4
2020,3,2020-07-12,S37000024,1,266,414.5,-35.8
2020,3,2020-07-12,S37000024,2,143,204.5,-30.1
2020,3,2020-07-12,S37000024,3,127,178,-28.7
2020,3,2020-07-12,S37000024,4,102,159.5,-36.1
2020,3,2020-07-12,S37000024,5,102,148.5,-31.3
2020,3,2020-07-12,S37000025,1,39,42,-7.1
2020,3,2020-07-12,S37000025,2,70,106.5,-34.3
2020,3,2020-07-12,S37000025,3,161,201.5,-20.1
2020,3,2020-07-12,S37000025,4,152,195,-22.1
2020,3,2020-07-12,S37000025,5,41,55,-25.5
2020,3,2020-07-12,S37000026,3,20,43.5,-54
2020,3,2020-07-12,S37000026,4,80,81,-1.2
2020,3,2020-07-12,S37000027,1,115,161.5,-28.8
2020,3,2020-07-12,S37000027,2,151,181,-16.6
2020,3,2020-07-12,S37000027,3,118,143.5,-17.8
2020,3,2020-07-12,S37000027,4,81,82,-1.2
2020,3,2020-07-12,S37000027,5,86,105.5,-18.5
2020,3,2020-07-12,S37000028,1,402,460,-12.6
2020,3,2020-07-12,S37000028,2,525,549.5,-4.5
2020,3,2020-07-12,S37000028,3,301,362.5,-17
2020,3,2020-07-12,S37000028,4,293,307,-4.6
2020,3,2020-07-12,S37000028,5,187,190,-1.6
2020,3,2020-07-12,S37000029,1,148,171.5,-13.7
2020,3,2020-07-12,S37000029,2,72,96,-25
2020,3,2020-07-12,S37000029,3,34,50.5,-32.7
2020,3,2020-07-12,S37000029,4,26,36.5,-28.8
2020,3,2020-07-12,S37000030,1,180,215.5,-16.5
2020,3,2020-07-12,S37000030,2,293,304,-3.6
2020,3,2020-07-12,S37000030,3,181,234.5,-22.8
2020,3,2020-07-12,S37000030,4,116,157.5,-26.3
2020,3,2020-07-12,S37000030,5,106,105,1
2020,3,2020-07-12,S37000031,2,14,32.5,-56.9
2020,3,2020-07-12,S37000031,3,62,88.5,-29.9
2020,3,2020-07-12,S37000032,1,352,469.5,-25
2020,3,2020-07-12,S37000032,2,270,348.5,-22.5
2020,3,2020-07-12,S37000032,3,222,274.5,-19.1
2020,3,2020-07-12,S37000032,4,152,185.5,-18.1
2020,3,2020-07-12,S37000032,5,139,162,-14.2
2020,3,2020-07-12,S37000033,1,32,49.5,-35.4
2020,3,2020-07-12,S37000033,2,61,95,-35.8
2020,3,2020-07-12,S37000033,3,104,132.5,-21.5
2020,3,2020-07-12,S37000033,4,156,202,-22.8
2020,3,2020-07-12,S37000033,5,63,73.5,-14.3
2020,3,2020-07-12,S37000034,1,1447,2085.5,-30.6
2020,3,2020-07-12,S37000034,2,428,575,-25.6
2020,3,2020-07-12,S37000034,3,254,353.5,-28.1
2020,3,2020-07-12,S37000034,4,202,220,-8.2
2020,3,2020-07-12,S37000034,5,124,188.5,-34.2
2020,3,2020-07-12,S37000035,1,736,948.5,-22.4
2020,3,2020-07-12,S37000035,2,594,674,-11.9
2020,3,2020-07-12,S37000035,3,334,380.5,-12.2
2020,3,2020-07-12,S37000035,4,203,222.5,-8.8
2020,3,2020-07-12,S37000035,5,105,125,-16
2020,3,2020-07-19,S37000001,1,105,120,-12.5
2020,3,2020-07-19,S37000001,2,213,242,-12
2020,3,2020-07-19,S37000001,3,119,129.5,-8.1
2020,3,2020-07-19,S37000001,4,121,136,-11
2020,3,2020-07-19,S37000001,5,243,245,-0.8
2020,3,2020-07-19,S37000002,1,9,11,-18.2
2020,3,2020-07-19,S37000002,2,25,33,-24.2
2020,3,2020-07-19,S37000002,3,89,97.5,-8.7
2020,3,2020-07-19,S37000002,4,228,205,11.2
2020,3,2020-07-19,S37000002,5,187,203.5,-8.1
2020,3,2020-07-19,S37000003,1,22,19,15.8
2020,3,2020-07-19,S37000003,2,37,37,0
2020,3,2020-07-19,S37000003,3,93,70,32.9
2020,3,2020-07-19,S37000003,4,64,49.5,29.3
2020,3,2020-07-19,S37000003,5,39,35,11.4
2020,3,2020-07-19,S37000004,1,12,21,-42.9
2020,3,2020-07-19,S37000004,2,33,47,-29.8
2020,3,2020-07-19,S37000004,3,56,96,-41.7
2020,3,2020-07-19,S37000004,4,42,67.5,-37.8
2020,3,2020-07-19,S37000004,5,9,19.5,-53.8
2020,3,2020-07-19,S37000005,1,115,122,-5.7
2020,3,2020-07-19,S37000005,2,93,97,-4.1
2020,3,2020-07-19,S37000005,3,51,65.5,-22.1
2020,3,2020-07-19,S37000005,4,62,78.5,-21
2020,3,2020-07-19,S37000005,5,45,71,-36.6
2020,3,2020-07-19,S37000006,1,93,118,-21.2
2020,3,2020-07-19,S37000006,2,243,306.5,-20.7
2020,3,2020-07-19,S37000006,3,226,272,-16.9
2020,3,2020-07-19,S37000006,4,86,107,-19.6
2020,3,2020-07-19,S37000006,5,51,69,-26.1
2020,3,2020-07-19,S37000007,1,285,276,3.3
2020,3,2020-07-19,S37000007,2,119,128,-7
2020,3,2020-07-19,S37000007,3,53,61,-13.1
2020,3,2020-07-19,S37000007,4,63,76,-17.1
2020,3,2020-07-19,S37000007,5,51,62.5,-18.4
2020,3,2020-07-19,S37000008,1,273,278.5,-2
2020,3,2020-07-19,S37000008,2,165,210,-21.4
2020,3,2020-07-19,S37000008,3,116,109,6.4
2020,3,2020-07-19,S37000008,4,66,79,-16.5
2020,3,2020-07-19,S37000008,5,63,55.5,13.5
2020,3,2020-07-19,S37000009,1,24,24.5,-2
2020,3,2020-07-19,S37000009,2,74,71,4.2
2020,3,2020-07-19,S37000009,3,26,23.5,10.6
2020,3,2020-07-19,S37000009,4,54,61,-11.5
2020,3,2020-07-19,S37000009,5,127,181.5,-30
2020,3,2020-07-19,S37000010,1,27,24.5,10.2
2020,3,2020-07-19,S37000010,2,155,150.5,3
2020,3,2020-07-19,S37000010,3,87,90.5,-3.9
2020,3,2020-07-19,S37000010,4,118,127.5,-7.5
2020,3,2020-07-19,S37000010,5,51,57.5,-11.3
2020,3,2020-07-19,S37000011,1,37,52,-28.8
2020,3,2020-07-19,S37000011,2,33,43.5,-24.1
2020,3,2020-07-19,S37000011,3,44,56.5,-22.1
2020,3,2020-07-19,S37000011,4,38,67,-43.3
2020,3,2020-07-19,S37000011,5,115,155,-25.8
2020,3,2020-07-19,S37000012,1,408,511,-20.2
2020,3,2020-07-19,S37000012,2,306,337.5,-9.3
2020,3,2020-07-19,S37000012,3,250,265,-5.7
2020,3,2020-07-19,S37000012,4,238,295.5,-19.5
2020,3,2020-07-19,S37000012,5,552,530.5,4.1
2020,3,2020-07-19,S37000013,1,116,157.5,-26.3
2020,3,2020-07-19,S37000013,2,214,280,-23.6
2020,3,2020-07-19,S37000013,3,95,137,-30.7
2020,3,2020-07-19,S37000013,4,78,102.5,-23.9
2020,3,2020-07-19,S37000013,5,85,114,-25.4
2020,3,2020-07-19,S37000016,1,129,124,4
2020,3,2020-07-19,S37000016,2,169,215,-21.4
2020,3,2020-07-19,S37000016,3,217,270.5,-19.8
2020,3,2020-07-19,S37000016,4,258,274,-5.8
2020,3,2020-07-19,S37000016,5,104,76,36.8
2020,3,2020-07-19,S37000017,1,237,330,-28.2
2020,3,2020-07-19,S37000017,2,69,81.5,-15.3
2020,3,2020-07-19,S37000017,3,50,81.5,-38.7
2020,3,2020-07-19,S37000017,4,59,69,-14.5
2020,3,2020-07-19,S37000017,5,32,50.5,-36.6
2020,3,2020-07-19,S37000018,1,55,74.5,-26.2
2020,3,2020-07-19,S37000018,2,180,191.5,-6
2020,3,2020-07-19,S37000018,3,94,116.5,-19.3
2020,3,2020-07-19,S37000018,4,58,76,-23.7
2020,3,2020-07-19,S37000018,5,49,61.5,-20.3
2020,3,2020-07-19,S37000019,1,5,7.5,-33.3
2020,3,2020-07-19,S37000019,2,86,91,-5.5
2020,3,2020-07-19,S37000019,3,148,144,2.8
2020,3,2020-07-19,S37000019,4,153,156,-1.9
2020,3,2020-07-19,S37000019,5,64,73.5,-12.9
2020,3,2020-07-19,S37000020,1,365,392,-6.9
2020,3,2020-07-19,S37000020,2,128,155,-17.4
2020,3,2020-07-19,S37000020,3,78,78,0
2020,3,2020-07-19,S37000020,4,84,75.5,11.3
2020,3,2020-07-19,S37000020,5,45,59.5,-24.4
2020,3,2020-07-19,S37000022,2,14,20.5,-31.7
2020,3,2020-07-19,S37000022,3,27,42,-35.7
2020,3,2020-07-19,S37000022,4,50,47.5,5.3
2020,3,2020-07-19,S37000022,5,8,10,-20
2020,3,2020-07-19,S37000024,1,275,432.5,-36.4
2020,3,2020-07-19,S37000024,2,162,222,-27
2020,3,2020-07-19,S37000024,3,147,190.5,-22.8
2020,3,2020-07-19,S37000024,4,107,149,-28.2
2020,3,2020-07-19,S37000024,5,104,134,-22.4
2020,3,2020-07-19,S37000025,1,46,47,-2.1
2020,3,2020-07-19,S37000025,2,89,115,-22.6
2020,3,2020-07-19,S37000025,3,183,218.5,-16.2
2020,3,2020-07-19,S37000025,4,191,199,-4
2020,3,2020-07-19,S37000025,5,51,46,10.9
2020,3,2020-07-19,S37000026,2,10,6.5,53.8
2020,3,2020-07-19,S37000026,3,31,43.5,-28.7
2020,3,2020-07-19,S37000026,4,62,76,-18.4
2020,3,2020-07-19,S37000027,1,119,163,-27
2020,3,2020-07-19,S37000027,2,149,182.5,-18.4
2020,3,2020-07-19,S37000027,3,114,137,-16.8
2020,3,2020-07-19,S37000027,4,54,71,-23.9
2020,3,2020-07-19,S37000027,5,73,112.5,-35.1
2020,3,2020-07-19,S37000028,1,444,456.5,-2.7
2020,3,2020-07-19,S37000028,2,482,585.5,-17.7
2020,3,2020-07-19,S37000028,3,315,393.5,-19.9
2020,3,2020-07-19,S37000028,4,265,311,-14.8
2020,3,2020-07-19,S37000028,5,178,207,-14
2020,3,2020-07-19,S37000029,1,153,182.5,-16.2
2020,3,2020-07-19,S37000029,2,66,110.5,-40.3
2020,3,2020-07-19,S37000029,3,43,51.5,-16.5
2020,3,2020-07-19,S37000029,4,30,30.5,-1.6
2020,3,2020-07-19,S37000029,5,9,13,-30.8
2020,3,2020-07-19,S37000030,1,196,234,-16.2
2020,3,2020-07-19,S37000030,2,294,331.5,-11.3
2020,3,2020-07-19,S37000030,3,205,205.5,-0.2
2020,3,2020-07-19,S37000030,4,122,156.5,-22
2020,3,2020-07-19,S37000030,5,100,128,-21.9
2020,3,2020-07-19,S37000031,2,20,30.5,-34.4
2020,3,2020-07-19,S37000031,3,48,79,-39.2
2020,3,2020-07-19,S37000032,1,357,437.5,-18.4
2020,3,2020-07-19,S37000032,2,323,330,-2.1
2020,3,2020-07-19,S37000032,3,259,284.5,-9
2020,3,2020-07-19,S37000032,4,180,185.5,-3
2020,3,2020-07-19,S37000032,5,134,177,-24.3
2020,3,2020-07-19,S37000033,1,50,50.5,-1
2020,3,2020-07-19,S37000033,2,86,93,-7.5
2020,3,2020-07-19,S37000033,3,107,132,-18.9
2020,3,2020-07-19,S37000033,4,194,214,-9.3
2020,3,2020-07-19,S37000033,5,52,66.5,-21.8
2020,3,2020-07-19,S37000034,1,1526,2034.5,-25
2020,3,2020-07-19,S37000034,2,386,536,-28
2020,3,2020-07-19,S37000034,3,242,350.5,-31
2020,3,2020-07-19,S37000034,4,169,248.5,-32
2020,3,2020-07-19,S37000034,5,118,193.5,-39
2020,3,2020-07-19,S37000035,1,822,956,-14
2020,3,2020-07-19,S37000035,2,610,689.5,-11.5
2020,3,2020-07-19,S37000035,3,303,386.5,-21.6
2020,3,2020-07-19,S37000035,4,206,233.5,-11.8
2020,3,2020-07-19,S37000035,5,115,125,-8
2020,3,2020-07-26,S37000001,1,90,114,-21.1
2020,3,2020-07-26,S37000001,2,225,244,-7.8
2020,3,2020-07-26,S37000001,3,108,138,-21.7
2020,3,2020-07-26,S37000001,4,120,137,-12.4
2020,3,2020-07-26,S37000001,5,193,241,-19.9
2020,3,2020-07-26,S37000002,1,10,7,42.9
2020,3,2020-07-26,S37000002,2,30,43.5,-31
2020,3,2020-07-26,S37000002,3,83,100.5,-17.4
2020,3,2020-07-26,S37000002,4,174,202.5,-14.1
2020,3,2020-07-26,S37000002,5,180,202.5,-11.1
2020,3,2020-07-26,S37000003,1,14,22.5,-37.8
2020,3,2020-07-26,S37000003,2,38,36,5.6
2020,3,2020-07-26,S37000003,3,64,79.5,-19.5
2020,3,2020-07-26,S37000003,4,53,62,-14.5
2020,3,2020-07-26,S37000003,5,36,31,16.1
2020,3,2020-07-26,S37000004,1,17,15.5,9.7
2020,3,2020-07-26,S37000004,2,39,44.5,-12.4
2020,3,2020-07-26,S37000004,3,56,88.5,-36.7
2020,3,2020-07-26,S37000004,4,63,71,-11.3
2020,3,2020-07-26,S37000004,5,18,14.5,24.1
2020,3,2020-07-26,S37000005,1,93,129,-27.9
2020,3,2020-07-26,S37000005,2,82,111,-26.1
2020,3,2020-07-26,S37000005,3,61,73.5,-17
2020,3,2020-07-26,S37000005,4,71,90,-21.1
2020,3,2020-07-26,S37000005,5,58,68.5,-15.3
