year,quarter,week_ending,hscp,simd_quintile,number_attendances,average20182019,percent_variation
2020,1,2020-01-05,S37000024,4,144,135.5,6.3
2020,1,2020-01-05,S37000024,5,135,124.5,8.4
2020,1,2020-01-05,S37000025,1,49,46,6.5
2020,1,2020-01-05,S37000025,2,123,103.5,18.8
2020,1,2020-01-05,S37000025,3,207,204,1.5
2020,1,2020-01-05,S37000025,4,240,187.5,28
2020,1,2020-01-05,S37000025,5,41,42.5,-3.5
2020,1,2020-01-05,S37000026,2,13,7,85.7
2020,1,2020-01-05,S37000026,3,40,42,-4.8
2020,1,2020-01-05,S37000026,4,82,84.5,-3
2020,1,2020-01-05,S37000027,1,176,149.5,17.7
2020,1,2020-01-05,S37000027,2,194,193,0.5
2020,1,2020-01-05,S37000027,3,120,126,-4.8
2020,1,2020-01-05,S37000027,4,78,78,0
2020,1,2020-01-05,S37000027,5,99,106.5,-7
2020,1,2020-01-05,S37000028,1,471,469.5,0.3
2020,1,2020-01-05,S37000028,2,559,573.5,-2.5
2020,1,2020-01-05,S37000028,3,367,364.5,0.7
2020,1,2020-01-05,S37000028,4,297,290.5,2.2
2020,1,2020-01-05,S37000028,5,165,182,-9.3
2020,1,2020-01-05,S37000029,1,200,175.5,14
2020,1,2020-01-05,S37000029,2,95,85,11.8
2020,1,2020-01-05,S37000029,3,52,50.5,3
2020,1,2020-01-05,S37000029,4,23,27.5,-16.4
2020,1,2020-01-05,S37000029,5,8,7.5,6.7
2020,1,2020-01-05,S37000030,1,205,222,-7.7
2020,1,2020-01-05,S37000030,2,311,317.5,-2
2020,1,2020-01-05,S37000030,3,203,226,-10.2
2020,1,2020-01-05,S37000030,4,141,156,-9.6
2020,1,2020-01-05,S37000030,5,107,125.5,-14.7
2020,1,2020-01-05,S37000031,2,31,34.5,-10.1
2020,1,2020-01-05,S37000031,3,91,78.5,15.9
2020,1,2020-01-05,S37000031,4,12,9.5,26.3
2020,1,2020-01-05,S37000032,1,421,432.5,-2.7
2020,1,2020-01-05,S37000032,2,327,325,0.6
2020,1,2020-01-05,S37000032,3,258,280.5,-8
2020,1,2020-01-05,S37000032,4,183,163,12.3
2020,1,2020-01-05,S37000032,5,189,184.5,2.4
2020,1,2020-01-05,S37000033,1,56,43,30.2
2020,1,2020-01-05,S37000033,2,73,85.5,-14.6
2020,1,2020-01-05,S37000033,3,94,120.5,-22
2020,1,2020-01-05,S37000033,4,176,163.5,7.6
2020,1,2020-01-05,S37000033,5,77,89,-13.5
2020,1,2020-01-05,S37000034,1,1922,1958,-1.8
2020,1,2020-01-05,S37000034,2,536,562.5,-4.7
2020,1,2020-01-05,S37000034,3,335,340.5,-1.6
2020,1,2020-01-05,S37000034,4,239,233,2.6
2020,1,2020-01-05,S37000034,5,173,193,-10.4
2020,1,2020-01-05,S37000035,1,892,836.5,6.6
2020,1,2020-01-05,S37000035,2,644,639,0.8
2020,1,2020-01-05,S37000035,3,401,341.5,17.4
2020,1,2020-01-05,S37000035,4,205,209.5,-2.1
2020,1,2020-01-05,S37000035,5,116,137.5,-15.6
2020,1,2020-01-12,S37000001,1,96,101.5,-5.4
2020,1,2020-01-12,S37000001,2,205,229,-10.5
2020,1,2020-01-12,S37000001,3,110,126,-12.7
2020,1,2020-01-12,S37000001,4,143,138,3.6
2020,1,2020-01-12,S37000001,5,223,216,3.2
2020,1,2020-01-12,S37000002,1,9,11,-18.2
2020,1,2020-01-12,S37000002,2,39,29,34.5
2020,1,2020-01-12,S37000002,3,89,74,20.3
2020,1,2020-01-12,S37000002,4,165,179.5,-8.1
2020,1,2020-01-12,S37000002,5,199,169,17.8
2020,1,2020-01-12,S37000003,1,18,18,0
2020,1,2020-01-12,S37000003,2,24,36.5,-34.2
2020,1,2020-01-12,S37000003,3,68,67,1.5
2020,1,2020-01-12,S37000003,4,51,44,15.9
2020,1,2020-01-12,S37000003,5,39,27,44.4
2020,1,2020-01-12,S37000004,1,19,20,-5
2020,1,2020-01-12,S37000004,2,48,40,20
2020,1,2020-01-12,S37000004,3,99,70.5,40.4
2020,1,2020-01-12,S37000004,4,66,63.5,3.9
2020,1,2020-01-12,S37000004,5,21,13.5,55.6
2020,1,2020-01-12,S37000005,1,123,112,9.8
2020,1,2020-01-12,S37000005,2,104,85,22.4
2020,1,2020-01-12,S37000005,3,70,66.5,5.3
2020,1,2020-01-12,S37000005,4,89,71.5,24.5
2020,1,2020-01-12,S37000005,5,51,58.5,-12.8
2020,1,2020-01-12,S37000006,1,111,105,5.7
2020,1,2020-01-12,S37000006,2,286,279,2.5
2020,1,2020-01-12,S37000006,3,236,242,-2.5
2020,1,2020-01-12,S37000006,4,126,110.5,14
2020,1,2020-01-12,S37000006,5,62,54.5,13.8
2020,1,2020-01-12,S37000007,1,238,214,11.2
2020,1,2020-01-12,S37000007,2,100,118.5,-15.6
2020,1,2020-01-12,S37000007,3,62,60,3.3
2020,1,2020-01-12,S37000007,4,58,62,-6.5
2020,1,2020-01-12,S37000007,5,46,67.5,-31.9
2020,1,2020-01-12,S37000008,1,255,253.5,0.6
2020,1,2020-01-12,S37000008,2,200,200.5,-0.2
2020,1,2020-01-12,S37000008,3,91,107,-15
2020,1,2020-01-12,S37000008,4,71,70,1.4
2020,1,2020-01-12,S37000008,5,47,49,-4.1
2020,1,2020-01-12,S37000009,1,28,25.5,9.8
2020,1,2020-01-12,S37000009,2,59,76,-22.4
2020,1,2020-01-12,S37000009,3,27,30,-10
2020,1,2020-01-12,S37000009,4,74,53.5,38.3
2020,1,2020-01-12,S37000009,5,166,168,-1.2
2020,1,2020-01-12,S37000010,1,19,20.5,-7.3
2020,1,2020-01-12,S37000010,2,150,143,4.9
2020,1,2020-01-12,S37000010,3,102,83.5,22.2
2020,1,2020-01-12,S37000010,4,85,108.5,-21.7
2020,1,2020-01-12,S37000010,5,62,62,0
2020,1,2020-01-12,S37000011,1,49,48,2.1
2020,1,2020-01-12,S37000011,2,45,54,-16.7
2020,1,2020-01-12,S37000011,3,50,52,-3.8
2020,1,2020-01-12,S37000011,4,50,64,-21.9
2020,1,2020-01-12,S37000011,5,186,164,13.4
2020,1,2020-01-12,S37000012,1,443,439.5,0.8
2020,1,2020-01-12,S37000012,2,334,340.5,-1.9
2020,1,2020-01-12,S37000012,3,246,243,1.2
2020,1,2020-01-12,S37000012,4,289,269.5,7.2
2020,1,2020-01-12,S37000012,5,539,545,-1.1
2020,1,2020-01-12,S37000013,1,153,146,4.8
2020,1,2020-01-12,S37000013,2,253,222,14
2020,1,2020-01-12,S37000013,3,118,115.5,2.2
2020,1,2020-01-12,S37000013,4,124,104,19.2
