date,ca,ca_name,daily_positive,cumulative_positive,crude_rate_positive,crude_rate7day_positive,daily_deaths,cumulative_deaths,crude_rate_deaths,daily_negative,cumulative_negative,crude_rate_negative,total_tests,positive_tests,positive_percentage,positive_percentage7day,total_pillar1,total_pillar2,positive_pillar1,positive_pillar2
2020-02-29,S12000034,Aberdeenshire,0,0,0,NA,0,0,0,2,30,11.50394968939336,2,0,0,NA,2,0,0,0
2020-02-29,S12000035,Argyll and Bute,0,0,0,NA,0,0,0,0,3,3.511646962425377,1,0,0,NA,1,0,0,0
2020-02-29,S12000036,City of Edinburgh,0,0,0,NA,0,0,0,2,101,19.14256472461241,2,0,0,NA,2,0,0,0
2020-02-29,S12000038,Renfrewshire,0,0,0,NA,0,0,0,1,14,7.80422543062601,3,0,0,NA,3,0,0,0
2020-02-29,S12000039,West Dunbartonshire,0,0,0,NA,0,0,0,0,10,11.319900384876613,0,0,0,NA,0,0,0,0
2020-02-29,S12000040,West Lothian,0,0,0,NA,0,0,0,0,26,14.144271570014144,1,0,0,NA,1,0,0,0
2020-02-29,S12000041,Angus,0,1,0.8634087376964255,NA,0,0,0,0,24,20.72180970471421,0,0,0,NA,0,0,0,0
2020-02-29,S12000042,Dundee City,0,0,0,NA,0,0,0,1,17,11.423195807015183,1,0,0,NA,1,0,0,0
2020-02-29,S12000045,East Dunbartonshire,0,0,0,NA,0,0,0,4,11,10.114942528735632,6,0,0,NA,6,0,0,0
2020-02-29,S12000047,Fife,0,0,0,NA,0,0,0,5,60,16.037206318659287,5,0,0,NA,5,0,0,0
2020-02-29,S12000048,Perth and Kinross,0,0,0,NA,0,0,0,0,22,14.48225923244026,0,0,0,NA,0,0,0,0
2020-02-29,S12000049,Glasgow City,0,0,0,NA,0,0,0,11,67,10.540557548297778,20,0,0,NA,20,0,0,0
2020-02-29,S12000050,North Lanarkshire,0,0,0,NA,0,0,0,3,34,9.966582634695431,6,0,0,NA,6,0,0,0
2020-03-01,S12000005,Clackmannanshire,1,1,1.9496977968414897,NA,0,0,0,1,12,23.396373562097875,2,1,50,NA,2,0,1,0
2020-03-01,S12000006,Dumfries and Galloway,0,0,0,NA,0,0,0,4,26,17.5332119495583,4,0,0,NA,4,0,0,0
2020-03-01,S12000008,East Ayrshire,0,0,0,NA,0,0,0,3,11,9.046052631578949,4,0,0,NA,4,0,0,0
2020-03-01,S12000010,East Lothian,0,0,0,NA,0,0,0,1,11,10.194624652455978,1,0,0,NA,1,0,0,0
2020-03-01,S12000011,East Renfrewshire,0,0,0,NA,0,0,0,4,8,8.328128253175098,4,0,0,NA,4,0,0,0
