year,quarter,week_ending,hscp,age_group,sex,admission_type,number_admissions,average20182019,percent_variation
2020,1,2020-01-26,S37000004,Under 5,All,All,10,13,-23.1
2020,1,2020-01-26,S37000005,Under 5,All,All,15,51,-70.6
2020,1,2020-01-26,S37000006,Under 5,All,All,37,39,-5.1
2020,1,2020-01-26,S37000007,Under 5,All,All,44,45,-2.2
2020,1,2020-01-26,S37000008,Under 5,All,All,55,38.5,42.9
2020,1,2020-01-26,S37000009,Under 5,All,All,14,11.5,21.7
2020,1,2020-01-26,S37000010,Under 5,All,All,7,11,-36.4
2020,1,2020-01-26,S37000011,Under 5,All,All,18,11.5,56.5
2020,1,2020-01-26,S37000012,Under 5,All,All,64,63,1.6
2020,1,2020-01-26,S37000013,Under 5,All,All,26,76.5,-66
2020,1,2020-01-26,S37000016,Under 5,All,All,68,66,3
2020,1,2020-01-26,S37000017,Under 5,All,All,15,15.5,-3.2
2020,1,2020-01-26,S37000018,Under 5,All,All,16,16,0
2020,1,2020-01-26,S37000019,Under 5,All,All,22,17,29.4
2020,1,2020-01-26,S37000020,Under 5,All,All,39,44,-11.4
2020,1,2020-01-26,S37000024,Under 5,All,All,34,31.5,7.9
2020,1,2020-01-26,S37000025,Under 5,All,All,22,19,15.8
2020,1,2020-01-26,S37000027,Under 5,All,All,15,30.5,-50.8
2020,1,2020-01-26,S37000028,Under 5,All,All,78,124,-37.1
2020,1,2020-01-26,S37000029,Under 5,All,All,22,18,22.2
2020,1,2020-01-26,S37000030,Under 5,All,All,72,59,22
2020,1,2020-01-26,S37000032,Under 5,All,All,79,73,8.2
2020,1,2020-01-26,S37000033,Under 5,All,All,26,29,-10.3
2020,1,2020-01-26,S37000034,Under 5,All,All,127,117,8.5
2020,1,2020-01-26,S37000035,Under 5,All,All,103,123,-16.3
2020,1,2020-02-02,S37000001,Under 5,All,All,37,39.5,-6.3
2020,1,2020-02-02,S37000002,Under 5,All,All,41,45.5,-9.9
2020,1,2020-02-02,S37000003,Under 5,All,All,20,23,-13
2020,1,2020-02-02,S37000004,Under 5,All,All,6,13,-53.8
2020,1,2020-02-02,S37000005,Under 5,All,All,36,42,-14.3
2020,1,2020-03-01,S37000009,Under 5,All,All,12,13,-7.7
2020,1,2020-03-01,S37000010,Under 5,All,All,13,11,18.2
2020,1,2020-03-01,S37000011,Under 5,All,All,18,10.5,71.4
2020,1,2020-03-01,S37000012,Under 5,All,All,56,50,12
2020,1,2020-02-02,S37000006,Under 5,All,All,48,35,37.1
2020,1,2020-02-02,S37000007,Under 5,All,All,39,44,-11.4
2020,1,2020-02-02,S37000008,Under 5,All,All,29,42,-31
2020,1,2020-02-02,S37000009,Under 5,All,All,17,19.5,-12.8
2020,1,2020-02-02,S37000010,Under 5,All,All,10,12.5,-20
2020,1,2020-02-02,S37000011,Under 5,All,All,10,13.5,-25.9
2020,1,2020-02-02,S37000012,Under 5,All,All,61,64,-4.7
2020,1,2020-02-02,S37000013,Under 5,All,All,24,61.5,-61
2020,1,2020-02-02,S37000016,Under 5,All,All,53,53.5,-0.9
2020,1,2020-02-02,S37000017,Under 5,All,All,12,21,-42.9
2020,1,2020-02-02,S37000018,Under 5,All,All,12,14.5,-17.2
2020,1,2020-02-02,S37000019,Under 5,All,All,23,18.5,24.3
2020,1,2020-02-02,S37000020,Under 5,All,All,41,49,-16.3
2020,1,2020-02-02,S37000024,Under 5,All,All,38,34.5,10.1
2020,1,2020-02-02,S37000025,Under 5,All,All,30,24,25
2020,1,2020-02-02,S37000027,Under 5,All,All,22,21,4.8
2020,1,2020-02-02,S37000028,Under 5,All,All,96,79,21.5
2020,1,2020-02-02,S37000029,Under 5,All,All,24,19.5,23.1
2020,1,2020-02-02,S37000030,Under 5,All,All,54,59,-8.5
2020,1,2020-02-02,S37000032,Under 5,All,All,90,82.5,9.1
2020,1,2020-02-02,S37000033,Under 5,All,All,22,33,-33.3
2020,1,2020-02-02,S37000034,Under 5,All,All,135,105,28.6
2020,1,2020-02-02,S37000035,Under 5,All,All,104,118.5,-12.2
2020,1,2020-02-09,S37000001,Under 5,All,All,42,41.5,1.2
2020,1,2020-02-09,S37000002,Under 5,All,All,40,45.5,-12.1
2020,1,2020-02-09,S37000003,Under 5,All,All,14,24,-41.7
2020,1,2020-02-09,S37000004,Under 5,All,All,13,9,44.4
2020,1,2020-02-09,S37000005,Under 5,All,All,15,50.5,-70.3
2020,1,2020-02-09,S37000006,Under 5,All,All,43,42.5,1.2
2020,1,2020-02-09,S37000007,Under 5,All,All,32,49,-34.7
2020,1,2020-02-09,S37000008,Under 5,All,All,22,46.5,-52.7
2020,1,2020-02-09,S37000009,Under 5,All,All,9,16,-43.8
2020,1,2020-02-09,S37000010,Under 5,All,All,6,16,-62.5
2020,1,2020-02-09,S37000011,Under 5,All,All,14,17,-17.6
2020,1,2020-02-09,S37000012,Under 5,All,All,50,56.5,-11.5
2020,1,2020-02-09,S37000013,Under 5,All,All,29,61.5,-52.8
2020,1,2020-02-09,S37000016,Under 5,All,All,39,55.5,-29.7
2020,1,2020-02-09,S37000017,Under 5,All,All,10,16,-37.5
2020,1,2020-02-09,S37000018,Under 5,All,All,16,18.5,-13.5
2020,1,2020-02-09,S37000019,Under 5,All,All,25,22,13.6
2020,1,2020-02-09,S37000020,Under 5,All,All,26,44.5,-41.6
2020,1,2020-02-09,S37000022,Under 5,All,All,5,1,400
2020,1,2020-02-09,S37000024,Under 5,All,All,28,32,-12.5
2020,1,2020-02-09,S37000025,Under 5,All,All,30,26.5,13.2
2020,1,2020-02-09,S37000027,Under 5,All,All,25,24.5,2
2020,1,2020-02-09,S37000028,Under 5,All,All,86,93,-7.5
2020,1,2020-02-09,S37000029,Under 5,All,All,16,16,0
2020,1,2020-02-09,S37000030,Under 5,All,All,67,61,9.8
2020,1,2020-02-09,S37000032,Under 5,All,All,86,92,-6.5
2020,1,2020-02-09,S37000033,Under 5,All,All,16,25,-36
2020,1,2020-02-09,S37000034,Under 5,All,All,110,113.5,-3.1
2020,1,2020-02-09,S37000035,Under 5,All,All,88,126,-30.2
2020,1,2020-02-16,S37000001,Under 5,All,All,41,41.5,-1.2
2020,1,2020-02-16,S37000002,Under 5,All,All,52,48,8.3
2020,1,2020-02-16,S37000003,Under 5,All,All,15,22.5,-33.3
2020,1,2020-02-16,S37000004,Under 5,All,All,7,10.5,-33.3
2020,1,2020-02-16,S37000005,Under 5,All,All,18,40.5,-55.6
2020,1,2020-02-16,S37000006,Under 5,All,All,50,47.5,5.3
2020,1,2020-02-16,S37000007,Under 5,All,All,33,53,-37.7
2020,1,2020-02-16,S37000008,Under 5,All,All,28,42,-33.3
2020,1,2020-02-16,S37000009,Under 5,All,All,9,16,-43.8
2020,1,2020-02-16,S37000010,Under 5,All,All,11,11.5,-4.3
2020,1,2020-02-16,S37000011,Under 5,All,All,17,14.5,17.2
2020,1,2020-02-16,S37000012,Under 5,All,All,46,54,-14.8
2020,1,2020-02-16,S37000013,Under 5,All,All,28,69,-59.4
2020,1,2020-02-16,S37000016,Under 5,All,All,59,56,5.4
2020,1,2020-02-16,S37000017,Under 5,All,All,11,16.5,-33.3
2020,1,2020-02-16,S37000018,Under 5,All,All,18,14.5,24.1
2020,1,2020-02-16,S37000019,Under 5,All,All,18,20.5,-12.2
2020,1,2020-02-16,S37000020,Under 5,All,All,43,48.5,-11.3
2020,1,2020-02-16,S37000024,Under 5,All,All,26,30.5,-14.8
2020,1,2020-02-16,S37000025,Under 5,All,All,17,22.5,-24.4
2020,1,2020-02-16,S37000027,Under 5,All,All,17,36,-52.8
2020,1,2020-02-16,S37000028,Under 5,All,All,83,107,-22.4
2020,1,2020-02-16,S37000029,Under 5,All,All,19,12,58.3
2020,1,2020-02-16,S37000030,Under 5,All,All,65,43,51.2
2020,1,2020-02-16,S37000032,Under 5,All,All,68,77.5,-12.3
2020,1,2020-02-16,S37000033,Under 5,All,All,19,25,-24
2020,1,2020-02-16,S37000034,Under 5,All,All,101,124,-18.5
2020,1,2020-02-16,S37000035,Under 5,All,All,110,126.5,-13
2020,1,2020-02-23,S37000001,Under 5,All,All,36,35.5,1.4
2020,1,2020-02-23,S37000002,Under 5,All,All,41,35,17.1
2020,1,2020-02-23,S37000003,Under 5,All,All,24,28,-14.3
2020,1,2020-02-23,S37000004,Under 5,All,All,7,4.5,55.6
2020,1,2020-02-23,S37000005,Under 5,All,All,39,50,-22
2020,1,2020-02-23,S37000006,Under 5,All,All,35,45.5,-23.1
2020,1,2020-02-23,S37000007,Under 5,All,All,35,33.5,4.5
2020,1,2020-02-23,S37000008,Under 5,All,All,26,36,-27.8
2020,1,2020-02-23,S37000009,Under 5,All,All,16,16.5,-3
2020,1,2020-02-23,S37000010,Under 5,All,All,9,12.5,-28
2020,1,2020-02-23,S37000011,Under 5,All,All,24,11.5,108.7
2020,1,2020-02-23,S37000012,Under 5,All,All,47,56,-16.1
2020,1,2020-02-23,S37000013,Under 5,All,All,40,57,-29.8
2020,1,2020-02-23,S37000016,Under 5,All,All,60,62,-3.2
2020,1,2020-02-23,S37000017,Under 5,All,All,7,12,-41.7
2020,1,2020-02-23,S37000018,Under 5,All,All,17,14.5,17.2
2020,1,2020-02-23,S37000019,Under 5,All,All,17,14.5,17.2
2020,1,2020-02-23,S37000020,Under 5,All,All,40,36,11.1
2020,1,2020-02-23,S37000022,Under 5,All,All,7,0.5,1300
2020,1,2020-02-23,S37000024,Under 5,All,All,32,32.5,-1.5
2020,1,2020-02-23,S37000025,Under 5,All,All,18,23,-21.7
2020,1,2020-02-23,S37000027,Under 5,All,All,18,24.5,-26.5
2020,1,2020-02-23,S37000028,Under 5,All,All,80,104,-23.1
2020,1,2020-02-23,S37000029,Under 5,All,All,9,16,-43.8
2020,1,2020-02-23,S37000030,Under 5,All,All,58,50,16
2020,1,2020-02-23,S37000032,Under 5,All,All,101,82,23.2
2020,1,2020-02-23,S37000033,Under 5,All,All,23,26,-11.5
2020,1,2020-02-23,S37000034,Under 5,All,All,101,123,-17.9
2020,1,2020-02-23,S37000035,Under 5,All,All,90,126.5,-28.9
2020,1,2020-03-01,S37000001,Under 5,All,All,31,40,-22.5
2020,1,2020-03-01,S37000002,Under 5,All,All,27,32,-15.6
2020,1,2020-03-01,S37000003,Under 5,All,All,24,14.5,65.5
2020,1,2020-03-01,S37000004,Under 5,All,All,10,7.5,33.3
2020,1,2020-03-01,S37000005,Under 5,All,All,27,42,-35.7
2020,1,2020-03-01,S37000006,Under 5,All,All,24,42,-42.9
2020,1,2020-03-01,S37000007,Under 5,All,All,39,32,21.9
2020,1,2020-03-01,S37000008,Under 5,All,All,35,42,-16.7
2020,4,2020-11-29,S37000027,Under 5,All,All,8,41,-80.5
2020,4,2020-11-29,S37000028,Under 5,All,All,71,108,-34.3
2020,1,2020-03-01,S37000013,Under 5,All,All,39,58.5,-33.3
2020,1,2020-03-01,S37000016,Under 5,All,All,53,52.5,1
2020,1,2020-03-01,S37000017,Under 5,All,All,11,12.5,-12
2020,1,2020-03-01,S37000018,Under 5,All,All,15,12,25
2020,1,2020-03-01,S37000019,Under 5,All,All,26,22.5,15.6
2020,1,2020-03-01,S37000020,Under 5,All,All,31,48,-35.4
2020,1,2020-03-01,S37000022,Under 5,All,All,6,1.5,300
2020,1,2020-03-01,S37000024,Under 5,All,All,31,27.5,12.7
2020,1,2020-03-01,S37000025,Under 5,All,All,28,23,21.7
2020,1,2020-03-01,S37000027,Under 5,All,All,26,29,-10.3
2020,1,2020-03-01,S37000028,Under 5,All,All,93,102.5,-9.3
2020,1,2020-03-01,S37000029,Under 5,All,All,19,16,18.8
2020,1,2020-03-01,S37000030,Under 5,All,All,64,39.5,62
2020,1,2020-03-01,S37000032,Under 5,All,All,84,75.5,11.3
2020,1,2020-03-01,S37000033,Under 5,All,All,23,22,4.5
2020,1,2020-03-01,S37000034,Under 5,All,All,111,99.5,11.6
2020,1,2020-03-01,S37000035,Under 5,All,All,105,107,-1.9
2020,1,2020-03-08,S37000001,Under 5,All,All,44,36.5,20.5
2020,1,2020-03-08,S37000002,Under 5,All,All,31,34.5,-10.1
2020,1,2020-03-08,S37000003,Under 5,All,All,12,19.5,-38.5
2020,1,2020-03-29,S37000016,Under 5,All,All,34,57.5,-40.9
2020,1,2020-03-29,S37000017,Under 5,All,All,14,10.5,33.3
2020,1,2020-03-29,S37000018,Under 5,All,All,9,16.5,-45.5
2020,1,2020-03-08,S37000004,Under 5,All,All,15,11.5,30.4
2020,1,2020-03-08,S37000005,Under 5,All,All,26,44,-40.9
2020,1,2020-03-08,S37000006,Under 5,All,All,46,37,24.3
2020,1,2020-03-08,S37000007,Under 5,All,All,38,42.5,-10.6
2020,1,2020-03-08,S37000008,Under 5,All,All,39,43.5,-10.3
2020,1,2020-03-08,S37000009,Under 5,All,All,14,17.5,-20
2020,1,2020-03-08,S37000010,Under 5,All,All,16,15,6.7
2020,1,2020-03-08,S37000011,Under 5,All,All,21,12,75
2020,1,2020-03-08,S37000012,Under 5,All,All,54,62,-12.9
2020,1,2020-03-08,S37000013,Under 5,All,All,42,55.5,-24.3
2020,1,2020-03-08,S37000016,Under 5,All,All,58,71,-18.3
2020,1,2020-03-08,S37000017,Under 5,All,All,9,7.5,20
2020,1,2020-03-08,S37000018,Under 5,All,All,14,13.5,3.7
2020,1,2020-03-08,S37000019,Under 5,All,All,21,21.5,-2.3
2020,1,2020-03-08,S37000020,Under 5,All,All,41,50.5,-18.8
