year,quarter,week_ending,hscp,age_group,sex,sas_incidents,average20182019,percent_variation
2020,1,2020-01-05,S37000011,65 - 74,All,19,21,-9.5
2020,1,2020-01-05,S37000011,75 - 84,All,33,37,-10.8
2020,1,2020-01-05,S37000011,85 and over,All,25,43,-41.9
2020,1,2020-01-05,S37000011,All ages,All,139,178,-21.9
2020,1,2020-01-05,S37000011,All ages,Female,81,85.5,-5.3
2020,1,2020-01-05,S37000011,All ages,Male,58,92.5,-37.3
2020,1,2020-01-05,S37000012,Under 5,All,22,25,-12
2020,1,2020-01-05,S37000012,5 - 14,All,17,11.5,47.8
2020,1,2020-01-05,S37000012,15 - 44,All,213,212,0.5
2020,1,2020-01-05,S37000012,45 - 64,All,209,199,5
2020,1,2020-01-05,S37000012,65 - 74,All,126,115.5,9.1
2020,1,2020-01-05,S37000012,75 - 84,All,136,144.5,-5.9
2020,1,2020-01-05,S37000012,85 and over,All,138,137.5,0.4
2020,1,2020-01-05,S37000012,All ages,All,861,845,1.9
2020,1,2020-01-05,S37000012,All ages,Female,461,451.5,2.1
2020,1,2020-01-05,S37000012,All ages,Male,400,393.5,1.7
2020,1,2020-01-05,S37000013,Under 5,All,12,9,33.3
2020,1,2020-01-05,S37000013,5 - 14,All,6,2,200
2020,1,2020-01-05,S37000013,15 - 44,All,80,66,21.2
2020,1,2020-01-05,S37000013,45 - 64,All,85,79,7.6
2020,1,2020-01-05,S37000013,65 - 74,All,48,52.5,-8.6
2020,1,2020-01-05,S37000013,75 - 84,All,83,81.5,1.8
2020,1,2020-01-05,S37000013,85 and over,All,40,41.5,-3.6
2020,1,2020-01-05,S37000013,All ages,All,354,331.5,6.8
2020,1,2020-01-05,S37000013,All ages,Female,175,171.5,2
2020,1,2020-01-05,S37000013,All ages,Male,179,160,11.9
2020,1,2020-01-05,S37000016,Under 5,All,19,19.5,-2.6
2020,1,2020-01-05,S37000016,5 - 14,All,6,3.5,71.4
2020,1,2020-01-05,S37000016,15 - 44,All,123,95.5,28.8
2020,1,2020-01-05,S37000016,45 - 64,All,110,135.5,-18.8
2020,1,2020-01-05,S37000016,65 - 74,All,106,92.5,14.6
2020,1,2020-01-05,S37000016,75 - 84,All,120,102.5,17.1
2020,1,2020-01-05,S37000016,85 and over,All,88,87,1.1
2020,1,2020-01-05,S37000016,All ages,All,572,536,6.7
2020,1,2020-01-05,S37000016,All ages,Female,296,271.5,9
2020,1,2020-01-05,S37000016,All ages,Male,276,264.5,4.3
2020,1,2020-01-05,S37000017,15 - 44,All,24,37.5,-36
2020,1,2020-01-05,S37000017,45 - 64,All,41,53,-22.6
2020,1,2020-01-05,S37000017,65 - 74,All,30,34,-11.8
2020,1,2020-01-05,S37000017,75 - 84,All,37,50.5,-26.7
2020,1,2020-01-05,S37000017,85 and over,All,27,34.5,-21.7
2020,1,2020-01-05,S37000017,All ages,All,167,222.5,-24.9
2020,1,2020-01-05,S37000017,All ages,Female,91,119,-23.5
2020,1,2020-01-05,S37000017,All ages,Male,76,103.5,-26.6
2020,1,2020-01-05,S37000018,15 - 44,All,27,44.5,-39.3
2020,1,2020-01-05,S37000018,45 - 64,All,48,41,17.1
2020,1,2020-01-05,S37000018,65 - 74,All,30,30.5,-1.6
2020,1,2020-01-05,S37000018,75 - 84,All,36,34.5,4.3
2020,1,2020-01-05,S37000018,85 and over,All,30,16.5,81.8
2020,1,2020-01-05,S37000018,All ages,All,174,178,-2.2
2020,1,2020-01-05,S37000018,All ages,Female,95,86,10.5
2020,1,2020-01-05,S37000018,All ages,Male,79,92,-14.1
2020,1,2020-01-05,S37000019,Under 5,All,12,4,200
2020,1,2020-01-05,S37000019,15 - 44,All,26,40.5,-35.8
2020,1,2020-01-05,S37000019,45 - 64,All,37,40.5,-8.6
2020,1,2020-01-05,S37000019,65 - 74,All,31,40,-22.5
2020,1,2020-01-05,S37000019,75 - 84,All,42,41.5,1.2
2020,1,2020-01-05,S37000019,85 and over,All,26,36,-27.8
2020,1,2020-01-05,S37000019,All ages,All,177,205.5,-13.9
2020,1,2020-01-05,S37000019,All ages,Female,95,104,-8.7
2020,1,2020-01-05,S37000019,All ages,Male,82,101.5,-19.2
2020,1,2020-01-05,S37000020,Under 5,All,12,11,9.1
2020,1,2020-01-05,S37000020,5 - 14,All,6,5,20
2020,1,2020-01-05,S37000020,15 - 44,All,65,92.5,-29.7
2020,1,2020-01-05,S37000020,45 - 64,All,106,84,26.2
2020,1,2020-01-05,S37000020,65 - 74,All,90,86.5,4
2020,1,2020-01-05,S37000020,75 - 84,All,69,79.5,-13.2
2020,1,2020-01-05,S37000020,85 and over,All,60,57.5,4.3
2020,1,2020-01-05,S37000020,All ages,All,408,416,-1.9
2020,1,2020-01-05,S37000020,All ages,Female,209,228.5,-8.5
2020,1,2020-01-05,S37000020,All ages,Male,199,187.5,6.1
2020,1,2020-01-05,S37000022,45 - 64,All,11,6.5,69.2
2020,1,2020-01-05,S37000022,65 - 74,All,14,3.5,300
2020,1,2020-01-05,S37000022,75 - 84,All,13,8,62.5
2020,1,2020-01-05,S37000022,85 and over,All,9,6.5,38.5
2020,1,2020-01-05,S37000022,All ages,All,51,40,27.5
2020,1,2020-01-05,S37000022,All ages,Female,28,17,64.7
2020,1,2020-01-05,S37000022,All ages,Male,23,23,0
2020,1,2020-01-05,S37000024,Under 5,All,5,12,-58.3
2020,1,2020-01-05,S37000024,15 - 44,All,63,83,-24.1
2020,1,2020-01-05,S37000024,45 - 64,All,76,83,-8.4
2020,1,2020-01-05,S37000024,65 - 74,All,65,50,30
2020,1,2020-01-05,S37000024,75 - 84,All,74,85.5,-13.5
2020,1,2020-01-05,S37000024,85 and over,All,43,60.5,-28.9
2020,1,2020-01-05,S37000024,All ages,All,327,379,-13.7
2020,1,2020-01-05,S37000024,All ages,Female,171,204.5,-16.4
2020,1,2020-01-05,S37000024,All ages,Male,156,174.5,-10.6
2020,1,2020-01-05,S37000025,Under 5,All,6,3.5,71.4
2020,1,2020-01-05,S37000025,15 - 44,All,71,57.5,23.5
2020,1,2020-01-05,S37000025,45 - 64,All,54,48.5,11.3
2020,1,2020-01-05,S37000025,65 - 74,All,48,42.5,12.9
2020,1,2020-01-05,S37000025,75 - 84,All,69,59,16.9
2020,1,2020-01-05,S37000025,85 and over,All,62,58,6.9
2020,1,2020-01-05,S37000025,All ages,All,311,276,12.7
2020,1,2020-01-05,S37000025,All ages,Female,187,140,33.6
2020,1,2020-01-05,S37000025,All ages,Male,124,136,-8.8
2020,1,2020-01-05,S37000026,Under 5,All,6,2.5,140
2020,1,2020-01-05,S37000026,15 - 44,All,6,12,-50
2020,1,2020-01-05,S37000026,45 - 64,All,6,12,-50
2020,1,2020-01-05,S37000026,65 - 74,All,8,6.5,23.1
2020,1,2020-01-05,S37000026,75 - 84,All,5,9,-44.4
2020,1,2020-01-05,S37000026,All ages,All,34,46,-26.1
2020,1,2020-01-05,S37000026,All ages,Female,20,26,-23.1
2020,1,2020-01-05,S37000026,All ages,Male,14,20,-30
2020,1,2020-01-05,S37000027,15 - 44,All,40,52.5,-23.8
2020,1,2020-01-05,S37000027,45 - 64,All,73,86,-15.1
2020,1,2020-01-05,S37000027,65 - 74,All,45,55.5,-18.9
2020,1,2020-01-05,S37000027,75 - 84,All,68,74,-8.1
2020,1,2020-01-05,S37000027,85 and over,All,83,71,16.9
2020,1,2020-01-05,S37000027,All ages,All,313,350.5,-10.7
2020,1,2020-01-05,S37000027,All ages,Female,175,191.5,-8.6
2020,1,2020-01-05,S37000027,All ages,Male,138,159,-13.2
2020,1,2020-01-05,S37000028,Under 5,All,16,19,-15.8
2020,1,2020-01-05,S37000028,5 - 14,All,11,6,83.3
2020,1,2020-01-05,S37000028,15 - 44,All,122,140.5,-13.2
2020,1,2020-01-05,S37000028,45 - 64,All,164,153.5,6.8
2020,1,2020-01-05,S37000028,65 - 74,All,116,122.5,-5.3
2020,1,2020-01-05,S37000028,75 - 84,All,146,152.5,-4.3
2020,1,2020-01-05,S37000028,85 and over,All,103,117,-12
