year,quarter,week_ending,hb,simd_quintile,admission_type,number_admissions,average20182019,percent_variation
2020,1,2020-01-12,S08000020,4,All,372,383,-2.9
2020,1,2020-01-12,S08000020,5,All,273,290.5,-6
2020,1,2020-01-12,S08000022,1,All,105,91.5,14.8
2020,1,2020-01-12,S08000022,2,All,151,148,2
2020,1,2020-01-12,S08000022,3,All,266,272,-2.2
2020,1,2020-01-12,S08000022,4,All,204,188.5,8.2
2020,1,2020-01-12,S08000022,5,All,56,39.5,41.8
2020,1,2020-01-12,S08000024,1,All,370,363,1.9
2020,1,2020-01-12,S08000024,2,All,643,565.5,13.7
2020,1,2020-01-12,S08000024,3,All,435,411.5,5.7
2020,1,2020-01-12,S08000024,4,All,411,338.5,21.4
2020,1,2020-01-12,S08000024,5,All,467,473,-1.3
2020,1,2020-01-12,S08000025,3,All,8,8,0
2020,1,2020-01-12,S08000025,4,All,31,23,34.8
2020,1,2020-01-12,S08000026,3,All,14,16.5,-15.2
2020,1,2020-01-12,S08000026,4,All,17,24,-29.2
2020,1,2020-01-12,S08000028,2,All,15,16,-6.2
2020,1,2020-01-12,S08000028,3,All,71,61,16.4
2020,1,2020-01-12,S08000029,1,All,258,246.5,4.7
2020,1,2020-01-12,S08000029,2,All,240,231.5,3.7
2020,1,2020-01-12,S08000029,3,All,174,183.5,-5.2
2020,1,2020-01-12,S08000029,4,All,157,155,1.3
2020,1,2020-01-12,S08000029,5,All,113,111.5,1.3
2020,1,2020-01-12,S08000030,1,All,262,270.5,-3.1
2020,1,2020-01-12,S08000030,2,All,249,249,0
2020,1,2020-01-12,S08000030,3,All,260,249.5,4.2
2020,1,2020-01-12,S08000030,4,All,339,309,9.7
2020,1,2020-01-12,S08000030,5,All,199,191,4.2
2020,1,2020-01-12,S08000031,1,All,1660,1670,-0.6
2020,1,2020-01-12,S08000031,2,All,793,815,-2.7
2020,1,2020-01-12,S08000031,3,All,608,572.5,6.2
2020,1,2020-01-12,S08000031,4,All,513,506,1.4
2020,1,2020-01-12,S08000031,5,All,540,625.5,-13.7
2020,1,2020-01-12,S08000032,1,All,598,602.5,-0.7
2020,1,2020-01-12,S08000032,2,All,475,507,-6.3
2020,1,2020-01-12,S08000032,3,All,284,309.5,-8.2
2020,1,2020-01-12,S08000032,4,All,225,223,0.9
2020,1,2020-01-12,S08000032,5,All,138,144,-4.2
2020,1,2020-01-12,S92000003,1,All,4076,4145,-1.7
2020,1,2020-01-12,S92000003,2,All,3464,3610,-4
2020,1,2020-01-12,S92000003,3,All,3002,3167.5,-5.2
2020,1,2020-01-12,S92000003,4,All,2640,2664,-0.9
2020,1,2020-01-12,S92000003,5,All,2065,2213.5,-6.7
2020,1,2020-01-19,S08000015,1,All,365,451.5,-19.2
2020,1,2020-01-19,S08000015,2,All,283,300.5,-5.8
2020,1,2020-01-19,S08000015,3,All,173,202.5,-14.6
2020,1,2020-01-19,S08000015,4,All,135,141.5,-4.6
2020,1,2020-01-19,S08000015,5,All,99,108,-8.3
2020,1,2020-01-19,S08000016,1,All,14,18.5,-24.3
2020,1,2020-01-19,S08000016,2,All,39,46,-15.2
2020,1,2020-01-19,S08000016,3,All,99,105.5,-6.2
2020,1,2020-01-19,S08000016,4,All,70,59.5,17.6
