year,quarter,week_ending,hb,age_group,sex,sas_incidents,average20182019,percent_variation
2020,1,2020-01-05,S08000015,Under 5,All,31,32.5,-4.6
2020,1,2020-01-05,S08000015,5 - 14,All,6,11.5,-47.8
2020,1,2020-01-05,S08000015,15 - 44,All,176,230,-23.5
2020,1,2020-01-05,S08000015,45 - 64,All,244,246.5,-1
2020,1,2020-01-05,S08000015,65 - 74,All,180,200.5,-10.2
2020,1,2020-01-05,S08000015,75 - 84,All,202,212,-4.7
2020,1,2020-01-05,S08000015,85 and over,All,179,171.5,4.4
2020,1,2020-01-05,S08000015,All ages,All,1076,1151,-6.5
2020,1,2020-01-05,S08000015,All ages,Female,516,569.5,-9.4
2020,1,2020-01-05,S08000015,All ages,Male,470,495.5,-5.1
2020,1,2020-01-05,S08000016,Under 5,All,8,5,60
2020,1,2020-01-05,S08000016,15 - 44,All,80,61.5,30.1
2020,1,2020-01-05,S08000016,45 - 64,All,56,53,5.7
2020,1,2020-01-05,S08000016,65 - 74,All,51,43,18.6
2020,1,2020-01-05,S08000016,75 - 84,All,73,59,23.7
2020,1,2020-01-05,S08000016,85 and over,All,66,62.5,5.6
2020,1,2020-01-05,S08000016,All ages,All,345,301.5,14.4
2020,1,2020-01-05,S08000016,All ages,Female,193,142.5,35.4
2020,1,2020-01-05,S08000016,All ages,Male,128,140,-8.6
2020,1,2020-01-05,S08000017,Under 5,All,8,8.5,-5.9
2020,1,2020-01-05,S08000017,5 - 14,All,5,4,25
2020,1,2020-01-05,S08000017,15 - 44,All,82,74.5,10.1
2020,1,2020-01-05,S08000017,45 - 64,All,94,73.5,27.9
2020,1,2020-01-05,S08000017,65 - 74,All,57,68,-16.2
2020,1,2020-01-05,S08000017,75 - 84,All,98,92,6.5
2020,1,2020-01-05,S08000017,85 and over,All,67,65.5,2.3
2020,1,2020-01-05,S08000017,All ages,All,423,407,3.9
2020,1,2020-01-05,S08000017,All ages,Female,195,195.5,-0.3
2020,1,2020-01-05,S08000017,All ages,Male,198,178,11.2
2020,1,2020-01-05,S08000019,Under 5,All,17,23,-26.1
2020,1,2020-01-05,S08000019,15 - 44,All,142,139,2.2
2020,1,2020-01-05,S08000019,45 - 64,All,150,155,-3.2
2020,1,2020-01-05,S08000019,65 - 74,All,96,101.5,-5.4
2020,1,2020-01-05,S08000019,75 - 84,All,154,142.5,8.1
2020,1,2020-01-05,S08000019,85 and over,All,80,93.5,-14.4
2020,1,2020-01-05,S08000019,All ages,All,669,692.5,-3.4
2020,1,2020-01-05,S08000019,All ages,Female,315,307.5,2.4
2020,1,2020-01-05,S08000019,All ages,Male,304,321,-5.3
2020,1,2020-01-05,S08000020,Under 5,All,45,34.5,30.4
2020,1,2020-01-05,S08000020,5 - 14,All,19,17,11.8
2020,1,2020-01-05,S08000020,15 - 44,All,260,273.5,-4.9
2020,1,2020-01-05,S08000020,45 - 64,All,263,260.5,1
2020,1,2020-01-05,S08000020,65 - 74,All,208,187,11.2
2020,1,2020-01-05,S08000020,75 - 84,All,240,224,7.1
2020,1,2020-01-05,S08000020,85 and over,All,186,192.5,-3.4
2020,1,2020-01-05,S08000020,All ages,All,1295,1240.5,4.4
2020,1,2020-01-05,S08000020,All ages,Female,623,568.5,9.6
2020,1,2020-01-05,S08000020,All ages,Male,542,569,-4.7
2020,1,2020-01-05,S08000022,Under 5,All,35,26,34.6
2020,1,2020-01-05,S08000022,5 - 14,All,9,7,28.6
2020,1,2020-01-05,S08000022,15 - 44,All,179,151,18.5
2020,1,2020-01-05,S08000022,45 - 64,All,188,198,-5.1
2020,1,2020-01-05,S08000022,65 - 74,All,150,153.5,-2.3
2020,1,2020-01-05,S08000022,75 - 84,All,193,166.5,15.9
2020,1,2020-01-05,S08000022,85 and over,All,161,140,15
2020,1,2020-01-05,S08000022,All ages,All,971,900.5,7.8
2020,1,2020-01-05,S08000022,All ages,Female,465,423.5,9.8
2020,1,2020-01-05,S08000022,All ages,Male,394,370,6.5
2020,1,2020-01-05,S08000024,Under 5,All,55,57,-3.5
2020,1,2020-01-05,S08000024,5 - 14,All,28,29,-3.4
2020,1,2020-01-05,S08000024,15 - 44,All,392,437.5,-10.4
2020,1,2020-01-05,S08000024,45 - 64,All,422,412,2.4
2020,1,2020-01-05,S08000024,65 - 74,All,273,245.5,11.2
2020,1,2020-01-05,S08000024,75 - 84,All,300,313.5,-4.3
2020,1,2020-01-05,S08000024,85 and over,All,244,225.5,8.2
2020,1,2020-01-05,S08000024,All ages,All,1871,1850.5,1.1
2020,1,2020-01-05,S08000024,All ages,Female,849,849.5,-0.1
2020,1,2020-01-05,S08000024,All ages,Male,781,782,-0.1
2020,1,2020-01-05,S08000025,45 - 64,All,9,5,80
2020,1,2020-01-05,S08000025,65 - 74,All,11,4,175
2020,1,2020-01-05,S08000025,75 - 84,All,11,9,22.2
2020,1,2020-01-05,S08000025,85 and over,All,8,6,33.3
2020,1,2020-01-05,S08000025,All ages,All,45,37,21.6
2020,1,2020-01-05,S08000025,All ages,Female,24,16,50
2020,1,2020-01-05,S08000025,All ages,Male,20,19,5.3
2020,1,2020-01-05,S08000026,45 - 64,All,5,13,-61.5
2020,1,2020-01-05,S08000026,65 - 74,All,6,6,0
2020,1,2020-01-05,S08000026,All ages,All,28,42.5,-34.1
2020,1,2020-01-05,S08000026,All ages,Female,13,21,-38.1
2020,1,2020-01-05,S08000026,All ages,Male,12,18.5,-35.1
2020,1,2020-01-05,S08000028,15 - 44,All,12,4.5,166.7
2020,1,2020-01-05,S08000028,45 - 64,All,11,20.5,-46.3
2020,1,2020-01-05,S08000028,65 - 74,All,17,22,-22.7
2020,1,2020-01-05,S08000028,75 - 84,All,19,22,-13.6
2020,1,2020-01-05,S08000028,85 and over,All,19,15,26.7
2020,1,2020-01-05,S08000028,All ages,All,87,94,-7.4
2020,1,2020-01-05,S08000028,All ages,Female,34,41.5,-18.1
2020,1,2020-01-05,S08000028,All ages,Male,40,41.5,-3.6
2020,1,2020-01-05,S08000029,Under 5,All,29,35.5,-18.3
2020,1,2020-01-05,S08000029,5 - 14,All,13,17,-23.5
2020,1,2020-01-05,S08000029,15 - 44,All,205,186.5,9.9
2020,1,2020-01-05,S08000029,45 - 64,All,183,209.5,-12.6
2020,1,2020-01-05,S08000029,65 - 74,All,150,165.5,-9.4
2020,1,2020-01-05,S08000029,75 - 84,All,163,189,-13.8
2020,1,2020-01-05,S08000029,85 and over,All,150,137.5,9.1
2020,1,2020-01-05,S08000029,All ages,All,930,974.5,-4.6
2020,1,2020-01-05,S08000029,All ages,Female,438,475.5,-7.9
2020,1,2020-01-05,S08000029,All ages,Male,422,441,-4.3
2020,1,2020-01-05,S08000030,Under 5,All,26,29,-10.3
2020,1,2020-01-05,S08000030,5 - 14,All,10,7,42.9
2020,1,2020-01-05,S08000030,15 - 44,All,216,206.5,4.6
2020,1,2020-01-05,S08000030,45 - 64,All,191,198.5,-3.8
2020,1,2020-01-05,S08000030,65 - 74,All,151,157,-3.8
2020,1,2020-01-05,S08000030,75 - 84,All,212,199.5,6.3
2020,1,2020-01-05,S08000030,85 and over,All,183,175,4.6
2020,1,2020-01-05,S08000030,All ages,All,1026,1017.5,0.8
2020,1,2020-01-05,S08000030,All ages,Female,478,486.5,-1.7
2020,1,2020-01-05,S08000030,All ages,Male,476,456.5,4.3
2020,1,2020-01-05,S08000031,Under 5,All,63,81,-22.2
2020,1,2020-01-05,S08000031,5 - 14,All,34,41.5,-18.1
2020,1,2020-01-05,S08000031,15 - 44,All,558,600.5,-7.1
2020,1,2020-01-05,S08000031,45 - 64,All,663,668,-0.7
2020,1,2020-01-05,S08000031,65 - 74,All,387,430,-10
2020,1,2020-01-05,S08000031,75 - 84,All,460,544,-15.4
2020,1,2020-01-05,S08000031,85 and over,All,341,398.5,-14.4
2020,1,2020-01-05,S08000031,All ages,All,2698,2962,-8.9
2020,1,2020-01-05,S08000031,All ages,Female,1216,1390.5,-12.5
2020,1,2020-01-05,S08000031,All ages,Male,1170,1268.5,-7.8
2020,1,2020-01-05,S08000032,Under 5,All,35,51,-31.4
2020,1,2020-01-05,S08000032,5 - 14,All,25,10.5,138.1
2020,1,2020-01-05,S08000032,15 - 44,All,291,296,-1.7
2020,1,2020-01-05,S08000032,45 - 64,All,372,352,5.7
2020,1,2020-01-05,S08000032,65 - 74,All,266,269.5,-1.3
2020,1,2020-01-05,S08000032,75 - 84,All,305,320,-4.7
2020,1,2020-01-05,S08000032,85 and over,All,182,214,-15
2020,1,2020-01-05,S08000032,All ages,All,1553,1582,-1.8
2020,1,2020-01-05,S08000032,All ages,Female,759,779,-2.6
2020,1,2020-01-05,S08000032,All ages,Male,659,693,-4.9
2020,1,2020-01-05,S92000003,Under 5,All,360,390.5,-7.8
2020,1,2020-01-05,S92000003,5 - 14,All,154,158.5,-2.8
2020,1,2020-01-05,S92000003,15 - 44,All,2606,2689.5,-3.1
2020,1,2020-01-05,S92000003,45 - 64,All,2854,2869.5,-0.5
2020,1,2020-01-05,S92000003,65 - 74,All,2005,2054.5,-2.4
2020,1,2020-01-05,S92000003,75 - 84,All,2435,2504.5,-2.8
2020,1,2020-01-05,S92000003,85 and over,All,1869,1902.5,-1.8
2020,1,2020-01-05,S92000003,All ages,All,13034,13281,-1.9
2020,1,2020-01-05,S92000003,All ages,Female,6124,6274,-2.4
2020,1,2020-01-05,S92000003,All ages,Male,5621,5806.5,-3.2
2020,1,2020-01-12,S08000015,Under 5,All,22,25.5,-13.7
2020,1,2020-01-12,S08000015,5 - 14,All,13,12,8.3
2020,1,2020-01-12,S08000015,15 - 44,All,180,196,-8.2
2020,1,2020-01-12,S08000015,45 - 64,All,215,229.5,-6.3
2020,1,2020-01-12,S08000015,65 - 74,All,154,192,-19.8
2020,1,2020-01-12,S08000015,75 - 84,All,200,230,-13
2020,1,2020-01-12,S08000015,85 and over,All,162,138.5,17
2020,1,2020-01-12,S08000015,All ages,All,987,1064,-7.2
2020,1,2020-01-12,S08000015,All ages,Female,512,537.5,-4.7
2020,1,2020-01-12,S08000015,All ages,Male,405,462.5,-12.4
2020,1,2020-01-12,S08000016,15 - 44,All,51,45,13.3
2020,1,2020-01-12,S08000016,45 - 64,All,54,55.5,-2.7
2020,1,2020-01-12,S08000016,65 - 74,All,46,54,-14.8
2020,1,2020-01-12,S08000016,75 - 84,All,81,67.5,20
2020,1,2020-01-12,S08000016,85 and over,All,42,59.5,-29.4
2020,1,2020-01-12,S08000016,All ages,All,288,299.5,-3.8
2020,1,2020-01-12,S08000016,All ages,Female,148,146.5,1
2020,1,2020-01-12,S08000016,All ages,Male,117,136.5,-14.3
2020,1,2020-01-12,S08000017,Under 5,All,5,9,-44.4
2020,1,2020-01-12,S08000017,5 - 14,All,6,3.5,71.4
2020,1,2020-01-12,S08000017,15 - 44,All,52,62,-16.1
2020,1,2020-01-12,S08000017,45 - 64,All,73,60.5,20.7
2020,1,2020-01-12,S08000017,65 - 74,All,77,75.5,2
2020,1,2020-01-12,S08000017,75 - 84,All,90,97.5,-7.7
2020,1,2020-01-12,S08000017,85 and over,All,69,72,-4.2
2020,1,2020-01-12,S08000017,All ages,All,390,393,-0.8
2020,1,2020-01-12,S08000017,All ages,Female,196,182.5,7.4
2020,1,2020-01-12,S08000017,All ages,Male,160,182.5,-12.3
2020,1,2020-01-12,S08000019,Under 5,All,11,18,-38.9
2020,1,2020-01-12,S08000019,5 - 14,All,10,14,-28.6
2020,1,2020-01-12,S08000019,15 - 44,All,128,114.5,11.8
2020,1,2020-01-12,S08000019,45 - 64,All,145,127,14.2
2020,1,2020-01-12,S08000019,65 - 74,All,95,89,6.7
2020,1,2020-01-12,S08000019,75 - 84,All,122,132.5,-7.9
2020,1,2020-01-12,S08000019,85 and over,All,80,93,-14
2020,1,2020-01-12,S08000019,All ages,All,619,619.5,-0.1
2020,1,2020-01-12,S08000019,All ages,Female,280,291,-3.8
2020,1,2020-01-12,S08000019,All ages,Male,294,275.5,6.7
2020,1,2020-01-12,S08000020,Under 5,All,30,36,-16.7
2020,1,2020-01-12,S08000020,5 - 14,All,16,22,-27.3
2020,1,2020-01-12,S08000020,15 - 44,All,216,233.5,-7.5
2020,1,2020-01-12,S08000020,45 - 64,All,209,239,-12.6
2020,1,2020-01-12,S08000020,65 - 74,All,168,168.5,-0.3
2020,1,2020-01-12,S08000020,75 - 84,All,236,238.5,-1
2020,1,2020-01-12,S08000020,85 and over,All,182,176.5,3.1
2020,1,2020-01-12,S08000020,All ages,All,1105,1164.5,-5.1
2020,1,2020-01-12,S08000020,All ages,Female,530,556,-4.7
2020,1,2020-01-12,S08000020,All ages,Male,493,519.5,-5.1
2020,1,2020-01-12,S08000022,Under 5,All,28,22,27.3
2020,1,2020-01-12,S08000022,5 - 14,All,9,8.5,5.9
2020,1,2020-01-12,S08000022,15 - 44,All,137,131,4.6
2020,1,2020-01-12,S08000022,45 - 64,All,173,151.5,14.2
2020,1,2020-01-12,S08000022,65 - 74,All,147,122,20.5
2020,1,2020-01-12,S08000022,75 - 84,All,185,167,10.8
2020,1,2020-01-12,S08000022,85 and over,All,151,141,7.1
2020,1,2020-01-12,S08000022,All ages,All,870,791,10
2020,1,2020-01-12,S08000022,All ages,Female,411,376,9.3
2020,1,2020-01-12,S08000022,All ages,Male,381,332.5,14.6
2020,1,2020-01-12,S08000024,Under 5,All,60,75,-20
2020,1,2020-01-12,S08000024,5 - 14,All,25,22,13.6
2020,1,2020-01-12,S08000024,15 - 44,All,362,380,-4.7
2020,1,2020-01-12,S08000024,45 - 64,All,390,402,-3
2020,1,2020-01-12,S08000024,65 - 74,All,226,231.5,-2.4
2020,1,2020-01-12,S08000024,75 - 84,All,298,277,7.6
2020,1,2020-01-12,S08000024,85 and over,All,221,226,-2.2
2020,1,2020-01-12,S08000024,All ages,All,1673,1701,-1.6
2020,1,2020-01-12,S08000024,All ages,Female,803,791,1.5
2020,1,2020-01-12,S08000024,All ages,Male,709,752,-5.7
2020,1,2020-01-12,S08000025,15 - 44,All,5,6.5,-23.1
2020,1,2020-01-12,S08000025,45 - 64,All,10,6,66.7
2020,1,2020-01-12,S08000025,65 - 74,All,6,7.5,-20
2020,1,2020-01-12,S08000025,75 - 84,All,17,9.5,78.9
2020,1,2020-01-12,S08000025,85 and over,All,8,5.5,45.5
2020,1,2020-01-12,S08000025,All ages,All,49,39,25.6
2020,1,2020-01-12,S08000025,All ages,Female,31,20.5,51.2
2020,1,2020-01-12,S08000025,All ages,Male,16,16,0
2020,1,2020-01-12,S08000026,15 - 44,All,6,5.5,9.1
2020,1,2020-01-12,S08000026,65 - 74,All,7,7.5,-6.7
2020,1,2020-01-12,S08000026,75 - 84,All,6,10.5,-42.9
2020,1,2020-01-12,S08000026,85 and over,All,6,7,-14.3
2020,1,2020-01-12,S08000026,All ages,All,35,41,-14.6
2020,1,2020-01-12,S08000026,All ages,Female,14,20.5,-31.7
2020,1,2020-01-12,S08000026,All ages,Male,16,16,0
2020,1,2020-01-12,S08000028,15 - 44,All,13,7,85.7
2020,1,2020-01-12,S08000028,45 - 64,All,22,14,57.1
2020,1,2020-01-12,S08000028,65 - 74,All,8,15.5,-48.4
2020,1,2020-01-12,S08000028,75 - 84,All,19,20.5,-7.3
2020,1,2020-01-12,S08000028,85 and over,All,19,16,18.8
2020,1,2020-01-12,S08000028,All ages,All,87,79.5,9.4
2020,1,2020-01-12,S08000028,All ages,Female,38,32,18.8
2020,1,2020-01-12,S08000028,All ages,Male,40,40.5,-1.2
2020,1,2020-01-12,S08000029,Under 5,All,26,29.5,-11.9
2020,1,2020-01-12,S08000029,5 - 14,All,14,16,-12.5
2020,1,2020-01-12,S08000029,15 - 44,All,166,157.5,5.4
2020,1,2020-01-12,S08000029,45 - 64,All,170,186.5,-8.8
2020,1,2020-01-12,S08000029,65 - 74,All,124,131.5,-5.7
2020,1,2020-01-12,S08000029,75 - 84,All,153,179,-14.5
2020,1,2020-01-12,S08000029,85 and over,All,139,144,-3.5
2020,1,2020-01-12,S08000029,All ages,All,813,874,-7
2020,1,2020-01-12,S08000029,All ages,Female,408,438,-6.8
2020,1,2020-01-12,S08000029,All ages,Male,364,383,-5
2020,1,2020-01-12,S08000030,Under 5,All,30,30,0
2020,1,2020-01-12,S08000030,5 - 14,All,10,15.5,-35.5
2020,1,2020-01-12,S08000030,15 - 44,All,199,190,4.7
2020,1,2020-01-12,S08000030,45 - 64,All,197,170,15.9
2020,1,2020-01-12,S08000030,65 - 74,All,138,139.5,-1.1
2020,1,2020-01-12,S08000030,75 - 84,All,182,181.5,0.3
2020,1,2020-01-12,S08000030,85 and over,All,169,153.5,10.1
2020,1,2020-01-12,S08000030,All ages,All,966,909,6.3
2020,1,2020-01-12,S08000030,All ages,Female,462,439,5.2
2020,1,2020-01-12,S08000030,All ages,Male,449,406.5,10.5
2020,1,2020-01-12,S08000031,Under 5,All,57,77.5,-26.5
2020,1,2020-01-12,S08000031,5 - 14,All,27,42.5,-36.5
2020,1,2020-01-12,S08000031,15 - 44,All,541,584,-7.4
2020,1,2020-01-12,S08000031,45 - 64,All,628,694.5,-9.6
2020,1,2020-01-12,S08000031,65 - 74,All,353,394.5,-10.5
2020,1,2020-01-12,S08000031,75 - 84,All,485,515,-5.8
2020,1,2020-01-12,S08000031,85 and over,All,348,359.5,-3.2
2020,1,2020-01-12,S08000031,All ages,All,2588,2838,-8.8
2020,1,2020-01-12,S08000031,All ages,Female,1227,1325.5,-7.4
2020,1,2020-01-12,S08000031,All ages,Male,1111,1255,-11.5
2020,1,2020-01-12,S08000032,Under 5,All,31,45,-31.1
2020,1,2020-01-12,S08000032,5 - 14,All,17,21,-19
2020,1,2020-01-12,S08000032,15 - 44,All,300,297.5,0.8
2020,1,2020-01-12,S08000032,45 - 64,All,343,347.5,-1.3
2020,1,2020-01-12,S08000032,65 - 74,All,254,248.5,2.2
2020,1,2020-01-12,S08000032,75 - 84,All,304,304.5,-0.2
2020,1,2020-01-12,S08000032,85 and over,All,193,213.5,-9.6
2020,1,2020-01-12,S08000032,All ages,All,1503,1542,-2.5
2020,1,2020-01-12,S08000032,All ages,Female,761,751,1.3
2020,1,2020-01-12,S08000032,All ages,Male,653,693.5,-5.8
2020,1,2020-01-12,S92000003,Under 5,All,304,382,-20.4
2020,1,2020-01-12,S92000003,5 - 14,All,151,183,-17.5
2020,1,2020-01-12,S92000003,15 - 44,All,2363,2419,-2.3
2020,1,2020-01-12,S92000003,45 - 64,All,2635,2694.5,-2.2
2020,1,2020-01-12,S92000003,65 - 74,All,1805,1879,-3.9
2020,1,2020-01-12,S92000003,75 - 84,All,2379,2433.5,-2.2
2020,1,2020-01-12,S92000003,85 and over,All,1789,1809.5,-1.1
2020,1,2020-01-12,S92000003,All ages,All,11987,12381.5,-3.2
2020,1,2020-01-12,S92000003,All ages,Female,5827,5919.5,-1.6
2020,1,2020-01-12,S92000003,All ages,Male,5214,5482.5,-4.9
2020,1,2020-01-19,S08000015,Under 5,All,28,30,-6.7
2020,1,2020-01-19,S08000015,5 - 14,All,19,15,26.7
2020,1,2020-01-19,S08000015,15 - 44,All,159,196.5,-19.1
2020,1,2020-01-19,S08000015,45 - 64,All,209,217.5,-3.9
2020,1,2020-01-19,S08000015,65 - 74,All,163,157,3.8
2020,1,2020-01-19,S08000015,75 - 84,All,213,214.5,-0.7
2020,1,2020-01-19,S08000015,85 and over,All,166,173.5,-4.3
2020,1,2020-01-19,S08000015,All ages,All,994,1044.5,-4.8
2020,1,2020-01-19,S08000015,All ages,Female,479,515.5,-7.1
2020,1,2020-01-19,S08000015,All ages,Male,452,458.5,-1.4
2020,1,2020-01-19,S08000016,5 - 14,All,5,4,25
2020,1,2020-01-19,S08000016,15 - 44,All,41,45,-8.9
2020,1,2020-01-19,S08000016,45 - 64,All,56,60.5,-7.4
2020,1,2020-01-19,S08000016,65 - 74,All,51,41.5,22.9
2020,1,2020-01-19,S08000016,75 - 84,All,64,56.5,13.3
2020,1,2020-01-19,S08000016,85 and over,All,53,49,8.2
2020,1,2020-01-19,S08000016,All ages,All,279,273,2.2
2020,1,2020-01-19,S08000016,All ages,Female,137,126.5,8.3
2020,1,2020-01-19,S08000016,All ages,Male,128,128,0
2020,1,2020-01-19,S08000017,Under 5,All,9,11.5,-21.7
2020,1,2020-01-19,S08000017,15 - 44,All,62,62.5,-0.8
2020,1,2020-01-19,S08000017,45 - 64,All,74,59.5,24.4
2020,1,2020-01-19,S08000017,65 - 74,All,62,66.5,-6.8
2020,1,2020-01-19,S08000017,75 - 84,All,84,86.5,-2.9
2020,1,2020-01-19,S08000017,85 and over,All,66,63,4.8
2020,1,2020-01-19,S08000017,All ages,All,373,368,1.4
2020,1,2020-01-19,S08000017,All ages,Female,189,173.5,8.9
2020,1,2020-01-19,S08000017,All ages,Male,156,167.5,-6.9
2020,1,2020-01-19,S08000019,Under 5,All,17,16.5,3
2020,1,2020-01-19,S08000019,5 - 14,All,9,15.5,-41.9
2020,1,2020-01-19,S08000019,15 - 44,All,139,146.5,-5.1
2020,1,2020-01-19,S08000019,45 - 64,All,141,141,0
2020,1,2020-01-19,S08000019,65 - 74,All,80,83,-3.6
2020,1,2020-01-19,S08000019,75 - 84,All,122,113,8
2020,1,2020-01-19,S08000019,85 and over,All,93,90,3.3
2020,1,2020-01-19,S08000019,All ages,All,627,639.5,-2
2020,1,2020-01-19,S08000019,All ages,Female,312,288,8.3
2020,1,2020-01-19,S08000019,All ages,Male,274,295,-7.1
2020,1,2020-01-19,S08000020,Under 5,All,47,45.5,3.3
2020,1,2020-01-19,S08000020,5 - 14,All,24,20.5,17.1
2020,1,2020-01-19,S08000020,15 - 44,All,258,239.5,7.7
2020,1,2020-01-19,S08000020,45 - 64,All,243,220,10.5
2020,1,2020-01-19,S08000020,65 - 74,All,177,162.5,8.9
2020,1,2020-01-19,S08000020,75 - 84,All,259,203,27.6
2020,1,2020-01-19,S08000020,85 and over,All,192,193,-0.5
2020,1,2020-01-19,S08000020,All ages,All,1261,1117,12.9
2020,1,2020-01-19,S08000020,All ages,Female,615,539.5,14
2020,1,2020-01-19,S08000020,All ages,Male,527,503.5,4.7
2020,1,2020-01-19,S08000022,Under 5,All,21,31.5,-33.3
2020,1,2020-01-19,S08000022,5 - 14,All,10,15.5,-35.5
2020,1,2020-01-19,S08000022,15 - 44,All,114,137.5,-17.1
2020,1,2020-01-19,S08000022,45 - 64,All,146,173,-15.6
2020,1,2020-01-19,S08000022,65 - 74,All,136,140,-2.9
2020,1,2020-01-19,S08000022,75 - 84,All,171,158,8.2
2020,1,2020-01-19,S08000022,85 and over,All,123,134.5,-8.6
2020,1,2020-01-19,S08000022,All ages,All,770,841.5,-8.5
2020,1,2020-01-19,S08000022,All ages,Female,341,397,-14.1
2020,1,2020-01-19,S08000022,All ages,Male,344,363,-5.2
2020,1,2020-01-19,S08000024,Under 5,All,53,65,-18.5
2020,1,2020-01-19,S08000024,5 - 14,All,37,28,32.1
2020,1,2020-01-19,S08000024,15 - 44,All,382,417,-8.4
2020,1,2020-01-19,S08000024,45 - 64,All,356,351,1.4
2020,1,2020-01-19,S08000024,65 - 74,All,228,222,2.7
2020,1,2020-01-19,S08000024,75 - 84,All,307,278,10.4
2020,1,2020-01-19,S08000024,85 and over,All,216,208,3.8
2020,1,2020-01-19,S08000024,All ages,All,1678,1670,0.5
2020,1,2020-01-19,S08000024,All ages,Female,809,748,8.2
2020,1,2020-01-19,S08000024,All ages,Male,698,741,-5.8
2020,1,2020-01-19,S08000025,45 - 64,All,13,7.5,73.3
2020,1,2020-01-19,S08000025,65 - 74,All,7,8,-12.5
2020,1,2020-01-19,S08000025,75 - 84,All,13,13.5,-3.7
2020,1,2020-01-19,S08000025,85 and over,All,8,6.5,23.1
2020,1,2020-01-19,S08000025,All ages,All,47,43.5,8
2020,1,2020-01-19,S08000025,All ages,Female,21,22,-4.5
2020,1,2020-01-19,S08000025,All ages,Male,25,18.5,35.1
2020,1,2020-01-19,S08000026,15 - 44,All,12,8,50
2020,1,2020-01-19,S08000026,45 - 64,All,6,13.5,-55.6
2020,1,2020-01-19,S08000026,75 - 84,All,7,11,-36.4
2020,1,2020-01-19,S08000026,85 and over,All,6,8.5,-29.4
2020,1,2020-01-19,S08000026,All ages,All,35,52,-32.7
2020,1,2020-01-19,S08000026,All ages,Female,19,22,-13.6
2020,1,2020-01-19,S08000026,All ages,Male,12,23.5,-48.9
2020,1,2020-01-19,S08000028,45 - 64,All,20,18.5,8.1
2020,1,2020-01-19,S08000028,65 - 74,All,15,15,0
2020,1,2020-01-19,S08000028,75 - 84,All,31,17,82.4
2020,1,2020-01-19,S08000028,85 and over,All,14,20,-30
2020,1,2020-01-19,S08000028,All ages,All,86,85.5,0.6
2020,1,2020-01-19,S08000028,All ages,Female,36,38.5,-6.5
2020,1,2020-01-19,S08000028,All ages,Male,37,37.5,-1.3
2020,1,2020-01-19,S08000029,Under 5,All,34,29.5,15.3
2020,1,2020-01-19,S08000029,5 - 14,All,13,17,-23.5
2020,1,2020-01-19,S08000029,15 - 44,All,168,169.5,-0.9
2020,1,2020-01-19,S08000029,45 - 64,All,155,173,-10.4
2020,1,2020-01-19,S08000029,65 - 74,All,125,140.5,-11
2020,1,2020-01-19,S08000029,75 - 84,All,158,173,-8.7
2020,1,2020-01-19,S08000029,85 and over,All,127,149,-14.8
2020,1,2020-01-19,S08000029,All ages,All,812,882,-7.9
2020,1,2020-01-19,S08000029,All ages,Female,383,430.5,-11
2020,1,2020-01-19,S08000029,All ages,Male,371,398,-6.8
2020,1,2020-01-19,S08000030,Under 5,All,32,34,-5.9
2020,1,2020-01-19,S08000030,5 - 14,All,24,13,84.6
2020,1,2020-01-19,S08000030,15 - 44,All,161,189.5,-15
2020,1,2020-01-19,S08000030,45 - 64,All,164,181,-9.4
2020,1,2020-01-19,S08000030,65 - 74,All,145,132,9.8
2020,1,2020-01-19,S08000030,75 - 84,All,178,189,-5.8
2020,1,2020-01-19,S08000030,85 and over,All,160,152,5.3
2020,1,2020-01-19,S08000030,All ages,All,904,919,-1.6
2020,1,2020-01-19,S08000030,All ages,Female,395,441.5,-10.5
2020,1,2020-01-19,S08000030,All ages,Male,434,422.5,2.7
2020,1,2020-01-19,S08000031,Under 5,All,75,92.5,-18.9
2020,1,2020-01-19,S08000031,5 - 14,All,41,48,-14.6
2020,1,2020-01-19,S08000031,15 - 44,All,571,582,-1.9
2020,1,2020-01-19,S08000031,45 - 64,All,664,642.5,3.3
2020,1,2020-01-19,S08000031,65 - 74,All,377,412,-8.5
2020,1,2020-01-19,S08000031,75 - 84,All,426,478.5,-11
2020,1,2020-01-19,S08000031,85 and over,All,377,365.5,3.1
2020,1,2020-01-19,S08000031,All ages,All,2687,2775,-3.2
2020,1,2020-01-19,S08000031,All ages,Female,1290,1285.5,0.4
2020,1,2020-01-19,S08000031,All ages,Male,1152,1242,-7.2
2020,1,2020-01-19,S08000032,Under 5,All,40,55.5,-27.9
2020,1,2020-01-19,S08000032,5 - 14,All,25,28.5,-12.3
2020,1,2020-01-19,S08000032,15 - 44,All,254,272.5,-6.8
2020,1,2020-01-19,S08000032,45 - 64,All,341,349,-2.3
2020,1,2020-01-19,S08000032,65 - 74,All,237,227,4.4
2020,1,2020-01-19,S08000032,75 - 84,All,273,290.5,-6
2020,1,2020-01-19,S08000032,85 and over,All,201,204,-1.5
2020,1,2020-01-19,S08000032,All ages,All,1427,1487.5,-4.1
2020,1,2020-01-19,S08000032,All ages,Female,701,723.5,-3.1
2020,1,2020-01-19,S08000032,All ages,Male,635,664.5,-4.4
2020,1,2020-01-19,S92000003,Under 5,All,365,422,-13.5
2020,1,2020-01-19,S92000003,5 - 14,All,213,213.5,-0.2
